,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000039372,-0.005714795002507488,0.0877416847962245,0.08947754925170763,-0.012274332579981931,0.0008452344149682856,March4
ENSMUSG00000002477,-0.005714814704006872,0.0877405915083373,0.08947754925170763,-0.012274352279156454,0.0008452147128395243,Snrpd1
ENSMUSG00000097887,-0.005741743286149385,0.08625649449262347,0.08798989543264661,-0.012301277678849651,0.0008182852656856176,Gm26542
ENSMUSG00000047642,-0.005744510529567639,0.08610514103366229,0.08784446136876382,-0.012304044594693062,0.0008155179328376818,D930020B18Rik
ENSMUSG00000053841,-0.005851470204507575,0.08041754911721909,0.08205872358899907,-0.012410991531210152,0.000708554724259882,Txlna
ENSMUSG00000022912,-0.005868296467432348,0.07955123827566694,0.08118301691567195,-0.012427815776540277,0.0006917278917796167,Pros1
ENSMUSG00000001228,-0.005957190372094014,0.07509958276296388,0.07665569333771959,-0.012516698960518314,0.0006028309164760855,Uhrf1
ENSMUSG00000053801,-0.005976132959670465,0.0741777601714752,0.07572249915422131,-0.012535639250203947,0.0005838876611690445,Grwd1
ENSMUSG00000045532,-0.006031447683030476,0.07153873602688283,0.07304343069928816,-0.012590947236494551,0.0005285709610048953,C1ql1
ENSMUSG00000029627,-0.006117157032717665,0.06760197797849085,0.0690450188729352,-0.012676646067913466,0.0004428584689915444,Zkscan14
ENSMUSG00000031834,-0.006192891297104163,0.0642733714982364,0.06566547966718063,-0.012752370957981355,0.0003671213477772128,Pik3r2
ENSMUSG00000038462,-0.006202634723826184,0.06385513067744046,0.06524484589500405,-0.012762113173208278,0.00035737754805233954,Uqcrfs1
ENSMUSG00000053957,-0.006237431136058487,0.062379787425659895,0.06374390703623534,-0.012796905248698727,0.0003225797935582977,Gm12474
ENSMUSG00000022553,-0.006248153506202322,0.06193089025927583,0.06329166097013371,-0.01280762627929234,0.00031185700660008557,Maf1
ENSMUSG00000020399,-0.0062797566534539195,0.0606233367401057,0.061961709668955124,-0.012839225469576105,0.00028025262205300604,Havcr2
ENSMUSG00000038459,-0.006295099646791656,0.0599968307161153,0.06132764051529725,-0.012854566537123517,0.00026490902329590727,Abhd17c
ENSMUSG00000032959,-0.006384514414157359,0.05645166730415541,0.05771563981612863,-0.012943970020073605,0.00017549066626001676,Pebp1
ENSMUSG00000062432,-0.00638583905869804,0.056400487103471855,0.05767510696745256,-0.012945294496651756,0.0001741659677512249,Cyp26c1
