[34mINFO    [0m File                                                                   
         [35m/home/icb/jonas.flor/gastrulation_atlas/scvi/training/10k/2k_genes/[0m[95mmode[0m
         [95ml.pt[0m already downloaded                                                
[34mINFO    [0m Found [1;36m98.55000000000001[0m% reference vars in query data.                 
[34mINFO    [0m File                                                                   
         [35m/home/icb/jonas.flor/gastrulation_atlas/scvi/training/10k/2k_genes/[0m[95mmode[0m
         [95ml.pt[0m already downloaded                                                

Training:   0%|          | 0/200 [00:00<?, ?it/s]
Epoch 1/200:   0%|          | 0/200 [00:00<?, ?it/s]
Epoch 1/200:   0%|          | 1/200 [00:02<09:51,  2.97s/it]
Epoch 1/200:   0%|          | 1/200 [00:02<09:51,  2.97s/it, v_num=1, train_loss_step=735, train_loss_epoch=788]
Epoch 2/200:   0%|          | 1/200 [00:02<09:51,  2.97s/it, v_num=1, train_loss_step=735, train_loss_epoch=788]
Epoch 2/200:   1%|          | 2/200 [00:04<07:46,  2.36s/it, v_num=1, train_loss_step=735, train_loss_epoch=788]
Epoch 2/200:   1%|          | 2/200 [00:04<07:46,  2.36s/it, v_num=1, train_loss_step=734, train_loss_epoch=747]
Epoch 3/200:   1%|          | 2/200 [00:04<07:46,  2.36s/it, v_num=1, train_loss_step=734, train_loss_epoch=747]
Epoch 3/200:   2%|▏         | 3/200 [00:06<07:05,  2.16s/it, v_num=1, train_loss_step=734, train_loss_epoch=747]
Epoch 3/200:   2%|▏         | 3/200 [00:06<07:05,  2.16s/it, v_num=1, train_loss_step=795, train_loss_epoch=737]
Epoch 4/200:   2%|▏         | 3/200 [00:06<07:05,  2.16s/it, v_num=1, train_loss_step=795, train_loss_epoch=737]
Epoch 4/200:   2%|▏         | 4/200 [00:08<06:44,  2.07s/it, v_num=1, train_loss_step=795, train_loss_epoch=737]
Epoch 4/200:   2%|▏         | 4/200 [00:08<06:44,  2.07s/it, v_num=1, train_loss_step=757, train_loss_epoch=731]
Epoch 5/200:   2%|▏         | 4/200 [00:08<06:44,  2.07s/it, v_num=1, train_loss_step=757, train_loss_epoch=731]
Epoch 5/200:   2%|▎         | 5/200 [00:10<06:32,  2.01s/it, v_num=1, train_loss_step=757, train_loss_epoch=731]
Epoch 5/200:   2%|▎         | 5/200 [00:10<06:32,  2.01s/it, v_num=1, train_loss_step=738, train_loss_epoch=727]
Epoch 6/200:   2%|▎         | 5/200 [00:10<06:32,  2.01s/it, v_num=1, train_loss_step=738, train_loss_epoch=727]
Epoch 6/200:   3%|▎         | 6/200 [00:12<06:24,  1.98s/it, v_num=1, train_loss_step=738, train_loss_epoch=727]
Epoch 6/200:   3%|▎         | 6/200 [00:12<06:24,  1.98s/it, v_num=1, train_loss_step=675, train_loss_epoch=724]
Epoch 7/200:   3%|▎         | 6/200 [00:12<06:24,  1.98s/it, v_num=1, train_loss_step=675, train_loss_epoch=724]
Epoch 7/200:   4%|▎         | 7/200 [00:14<06:18,  1.96s/it, v_num=1, train_loss_step=675, train_loss_epoch=724]
Epoch 7/200:   4%|▎         | 7/200 [00:14<06:18,  1.96s/it, v_num=1, train_loss_step=758, train_loss_epoch=721]
Epoch 8/200:   4%|▎         | 7/200 [00:14<06:18,  1.96s/it, v_num=1, train_loss_step=758, train_loss_epoch=721]
Epoch 8/200:   4%|▍         | 8/200 [00:16<06:14,  1.95s/it, v_num=1, train_loss_step=758, train_loss_epoch=721]
Epoch 8/200:   4%|▍         | 8/200 [00:16<06:14,  1.95s/it, v_num=1, train_loss_step=697, train_loss_epoch=719]
Epoch 9/200:   4%|▍         | 8/200 [00:16<06:14,  1.95s/it, v_num=1, train_loss_step=697, train_loss_epoch=719]
Epoch 9/200:   4%|▍         | 9/200 [00:18<06:10,  1.94s/it, v_num=1, train_loss_step=697, train_loss_epoch=719]
Epoch 9/200:   4%|▍         | 9/200 [00:18<06:10,  1.94s/it, v_num=1, train_loss_step=728, train_loss_epoch=718]
Epoch 10/200:   4%|▍         | 9/200 [00:18<06:10,  1.94s/it, v_num=1, train_loss_step=728, train_loss_epoch=718]
Epoch 10/200:   5%|▌         | 10/200 [00:20<06:07,  1.94s/it, v_num=1, train_loss_step=728, train_loss_epoch=718]
Epoch 10/200:   5%|▌         | 10/200 [00:20<06:07,  1.94s/it, v_num=1, train_loss_step=703, train_loss_epoch=717]
Epoch 11/200:   5%|▌         | 10/200 [00:20<06:07,  1.94s/it, v_num=1, train_loss_step=703, train_loss_epoch=717]
Epoch 11/200:   6%|▌         | 11/200 [00:22<06:05,  1.93s/it, v_num=1, train_loss_step=703, train_loss_epoch=717]
Epoch 11/200:   6%|▌         | 11/200 [00:22<06:05,  1.93s/it, v_num=1, train_loss_step=711, train_loss_epoch=715]
Epoch 12/200:   6%|▌         | 11/200 [00:22<06:05,  1.93s/it, v_num=1, train_loss_step=711, train_loss_epoch=715]
