,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000055494,-0.0401312905088273,4.366855551982979e-11,7.832775972551584e-11,-0.05204591372017958,-0.028205244040801762,Gm14168
ENSMUSG00000111503,-0.040131643168856944,4.365150196620515e-11,7.830289152292458e-11,-0.052046265992271745,-0.028205596988709045,RP24-271G1.1
ENSMUSG00000097837,-0.04013645692479857,4.3419373976737275e-11,7.789218689732966e-11,-0.05205107445262903,-0.028210414674434157,Gm26794
ENSMUSG00000032735,-0.04013757803769684,4.3365485522018174e-11,7.780119843161054e-11,-0.05205219433211832,-0.02821153670264967,Ablim3
ENSMUSG00000046798,-0.04013761087982614,4.336390788859543e-11,7.780119843161054e-11,-0.05205222713811543,-0.028211569571592935,Cldn12
ENSMUSG00000015312,-0.04013784070359507,4.335286944301615e-11,7.778993280457009e-11,-0.05205245670903645,-0.02821179958300222,Gadd45b
ENSMUSG00000022487,-0.040138237130768806,4.3333835488927413e-11,7.776146242684884e-11,-0.0520528527000653,-0.028212196333843167,Gtsf1
ENSMUSG00000005893,-0.040139159886667664,4.3289562179087684e-11,7.7687693196474e-11,-0.052053774440743605,-0.02821311984315051,Nr2c2
ENSMUSG00000068885,-0.040140125076544526,4.324330026427214e-11,7.761034415850949e-11,-0.05205473856869212,-0.028214085821103987,Lce3f
ENSMUSG00000097103,-0.04014180284459526,4.316299929552948e-11,7.747188820117258e-11,-0.05205641449076361,-0.028215764959103756,Gm2885
ENSMUSG00000068887,-0.040142345928680066,4.313703759152318e-11,7.743095093925114e-11,-0.05205695697730094,-0.028216308486647773,Lce1j
ENSMUSG00000075410,-0.04014701357245375,4.291453358870358e-11,7.703718861372015e-11,-0.05206161948504451,-0.028220979942110352,Gm11744
ENSMUSG00000110382,-0.04014898638159953,4.2820828806222286e-11,7.68745970203546e-11,-0.05206359012325852,-0.02822295436244714,Gm45287
ENSMUSG00000085470,-0.040150020994547904,4.2771766654873084e-11,7.679213271739993e-11,-0.05206462359765413,-0.02822398982039995,1700012C14Rik
ENSMUSG00000041703,-0.040153270257293955,4.261804139477354e-11,7.652173119237093e-11,-0.052067869284542434,-0.028227241737098466,Zic5
ENSMUSG00000050541,-0.04015740664220069,4.2423127545332515e-11,7.61773295906534e-11,-0.05207200111693728,-0.0282313815009119,Adra1b
ENSMUSG00000033632,-0.04015834016852497,4.237925889289782e-11,7.610412261106111e-11,-0.052072933615764566,-0.028232315789866468,AW554918
ENSMUSG00000089942,-0.04016229676388859,4.21938211052246e-11,7.577665831142377e-11,-0.05207688585602318,-0.028236275617742442,Pira2
ENSMUSG00000020629,-0.04016354827113613,4.2135330879989724e-11,7.567715023888132e-11,-0.05207813598563353,-0.028237528147541078,Adi1
ENSMUSG00000027669,-0.040164607546065524,4.2085886782917186e-11,7.559387609146118e-11,-0.05207919409450252,-0.02823858828798633,Gnb4
ENSMUSG00000026779,-0.04016803677763155,4.192620853393828e-11,7.531257476772408e-11,-0.052082619550952745,-0.028242020321704222,Mastl
ENSMUSG00000066364,-0.04016813672404748,4.192156354400108e-11,7.530974084527069e-11,-0.05208271938733713,-0.02824212034979429,Serpina3b
ENSMUSG00000029361,-0.04016972108314886,4.184799798387371e-11,7.518308550417586e-11,-0.052084302002176966,-0.0282437060036328,Nos1
ENSMUSG00000060904,-0.04017113981126338,4.178223026315442e-11,7.507042205788272e-11,-0.05208571916832654,-0.028245125891181857,Arl1
ENSMUSG00000056718,-0.04017215698766703,4.173513945531142e-11,7.499130151542783e-11,-0.05208673522482868,-0.02824614389888749,Gm13199
ENSMUSG00000053896,-0.040173312773342504,4.168169466682806e-11,7.49007514791746e-11,-0.05208788973796521,-0.028247300629175374,4933409G03Rik
ENSMUSG00000085324,-0.0401774344916977,4.1491646544927495e-11,7.456469813871029e-11,-0.05209200691798173,-0.028251425716431022,Gm11680
ENSMUSG00000039178,-0.04017819871864207,4.145650212968965e-11,7.450699365259793e-11,-0.05209277030340713,-0.028252190568063506,Tbc1d19
ENSMUSG00000028986,-0.040180808980733874,4.133668379674355e-11,7.429709081827582e-11,-0.0520953776911364,-0.02825480296391964,Klhl7
ENSMUSG00000022575,-0.04018218930387146,4.1273460128136846e-11,7.418888594084603e-11,-0.05209675649422721,-0.028256184415471185,Gsdmd
ENSMUSG00000056952,-0.040184427805531525,4.117112992844684e-11,7.401036623248109e-11,-0.052098992530696,-0.028258424747202856,Tatdn2
ENSMUSG00000104870,-0.040185861414203196,4.1105724803932425e-11,7.389820278144167e-11,-0.052100424560516896,-0.028259859527974357,4930448I18Rik
ENSMUSG00000053522,-0.040186594956043084,4.107229795815956e-11,7.384351636414277e-11,-0.052101157294479235,-0.02826059366956753,Lgals7
ENSMUSG00000022952,-0.04018865530926624,4.097855169721858e-11,7.368036625925379e-11,-0.05210321537848833,-0.02826265570743091,Runx1
ENSMUSG00000057440,-0.040196660575547216,4.061629418357197e-11,7.303436756958101e-11,-0.05211121182703766,-0.028270667520151713,Mpp7
ENSMUSG00000021057,-0.040197085473604156,4.059715434418172e-11,7.300529799006444e-11,-0.05211163625703036,-0.028271092765718937,Akap5
ENSMUSG00000041598,-0.040201070155623034,4.0418090358173287e-11,7.268861371768756e-11,-0.05211561654934653,-0.028275080706889548,Cdc42ep4
ENSMUSG00000029470,-0.040207325749335936,4.013853369574694e-11,7.219114198944978e-11,-0.052121865250855895,-0.028281341417944455,P2rx4
ENSMUSG00000051721,-0.040207344441646205,4.013770119543484e-11,7.219114198944978e-11,-0.0521218839225702,-0.02828136012554723,BC068281
