,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000052837,0.0006098295470005935,0.9202624589730859,0.9236860264382979,-0.011329813956941538,0.012549299184801696,Junb
ENSMUSG00000065952,0.0005870207309926808,0.9232354012192592,0.926556391871127,-0.011352619847373605,0.012526493946146593,C330021F23Rik
ENSMUSG00000052253,0.0005767505055076489,0.9245743936551938,0.9278622731666593,-0.011362888751491062,0.012516225327396326,Zfp622
ENSMUSG00000020882,0.0005689631419850729,0.9255898227735812,0.9287674239307244,-0.011370675111412423,0.012508439180496237,Cacnb1
ENSMUSG00000051256,0.000545950205554877,0.9285912845499852,0.9317411099052366,-0.011393685073574637,0.012485429830923588,Jagn1
ENSMUSG00000085338,0.0005444876480640758,0.9287820733736321,0.9318563796113528,-0.011395147441612328,0.012483967500963561,2410004I01Rik
ENSMUSG00000095773,0.0005406456343248705,0.9292832788076326,0.932321145034529,-0.011398988957431074,0.012480126084684998,Vmn2r38
ENSMUSG00000032101,0.0005367467736829717,0.9297919288136738,0.9327933410792841,-0.011402887312424921,0.012476227829983559,Ddx25
ENSMUSG00000099370,0.0005244352466719131,0.9313982925958604,0.9342903611625087,-0.011415197240356306,0.012463918213982966,Platr10
ENSMUSG00000025468,0.0004629404276353356,0.939425969757495,0.942112017379545,-0.011476684017969913,0.012402432886066864,Caly
ENSMUSG00000022235,0.0004187693070301578,0.9451960193379519,0.9475502293407945,-0.01152084930678097,0.012358268527122074,Cmbl
ENSMUSG00000026805,0.00041574223707778533,0.9455915525945178,0.9478693422324991,-0.011523875975371831,0.012355241918844257,Barhl1
ENSMUSG00000068887,0.0004119718854039225,0.9460842257869715,0.9483244840173808,-0.011527645826825939,0.012351472141900854,Lce1j
ENSMUSG00000073967,0.0003912725177524035,0.9487893818305823,0.9509583973997573,-0.011548342442206122,0.012330775923493905,Olfr557
ENSMUSG00000024270,0.0003729716683366156,0.9511815733793801,0.9532004077392058,-0.011566640849746613,0.012312477849886795,Slc39a6
ENSMUSG00000051319,0.0003234018275181541,0.9576632326038835,0.9595391644992878,-0.011616204036316751,0.01226291548748551,1500011K16Rik
ENSMUSG00000110281,0.00031415417785378755,0.9588727606641292,0.9606726524045418,-0.011625450438084592,0.012253669226486385,Gm2516
ENSMUSG00000061482,0.000303630756001326,0.9602492658428707,0.9618947358210592,-0.01163597243740144,0.012243147382390629,Hist1h4d
ENSMUSG00000035910,0.000291024990108704,0.961898305500312,0.9635072904672864,-0.011648576495790595,0.012230543502976029,Dcdc2a
ENSMUSG00000067653,0.00026822688365878345,0.9648810785988191,0.9662979377450729,-0.011671371504506456,0.012207748798672799,Ankrd23
ENSMUSG00000001017,0.00025799399883001363,0.9662200526809754,0.9675994099369135,-0.011681602994888376,0.012197517436855834,Chtop
ENSMUSG00000029646,0.00023904503313512657,0.9686997755418548,0.9700035437458142,-0.011700549371784878,0.012178571284829812,Cdx2
ENSMUSG00000043614,0.00022931372323182562,0.9699733653235604,0.9712392359471473,-0.011710279348869554,0.012168841416564552,Vps37d
ENSMUSG00000022427,0.0001830281446976041,0.9760320049413714,0.9771463784586752,-0.011756558557090914,0.012122562664022774,Tomm22
ENSMUSG00000046711,0.00017717206645366737,0.9767986533512326,0.9778740280154725,-0.011762413825713974,0.012116707445762214,Hmga1
ENSMUSG00000074065,0.00016813281700308943,0.9779820683995374,0.9790188266878187,-0.011771451823853083,0.01210766952214631,Gm10617
ENSMUSG00000005625,0.00016164371210659298,0.9788316495391107,0.9797894104486402,-0.011777940029254,0.012101181367838342,Psmd4
ENSMUSG00000071489,0.0001450341861394716,0.9810063462360229,0.9819262021601709,-0.01179454724829035,0.012084574270419517,Ptgdr
ENSMUSG00000028394,0.0001425403333808599,0.981332880681586,0.9822129998570852,-0.011797040754103956,0.012082080781728823,Pole3
ENSMUSG00000040794,0.0001354411643216207,0.9822624325434696,0.9830632334830941,-0.011804138934713196,0.012074982648236825,C1qtnf4
ENSMUSG00000036442,9.24811896774426e-05,0.9878879993915347,0.9885724948465848,-0.011847092902169325,0.012032028914560709,Thap11
ENSMUSG00000028613,8.665641166689379e-05,0.9886508009656718,0.9892955031508467,-0.011852916862296035,0.012026204979346802,Lrp8
ENSMUSG00000020723,7.987713226409015e-05,0.9895386151966779,0.9900628420191873,-0.01185969518876902,0.012019426679828962,Cacng4
ENSMUSG00000073771,6.981838792844947e-05,0.9908559316000901,0.9913287445675708,-0.011869752517174745,0.012009369387374076,Btbd19
ENSMUSG00000021390,6.959947781335924e-05,0.9908846008648076,0.9913287445675708,-0.011869971396447859,0.012009150508829648,Ogn
ENSMUSG00000030256,4.4029978662667766e-05,0.9942333465940467,0.994490258491357,-0.011895537285271611,0.01198358468937556,Bhlhe41
ENSMUSG00000050930,4.044969344210651e-05,0.9947022531839854,0.9949048649600036,-0.011899117063722096,0.011980004918146554,Map10
ENSMUSG00000021919,2.7579024977743426e-05,0.9963879264887312,0.9965502839804191,-0.011911985907885048,0.011967136094888586,Chat
ENSMUSG00000004366,1.7003005290823643e-05,0.9977730817131119,0.997869630438275,-0.011922560425556105,0.011956561588474943,Sst
ENSMUSG00000068735,3.6585391212256215e-08,0.9999952083304628,0.9999952083304628,-0.011939524430290917,0.011939597590642621,Trp53i11
ENSMUSG00000102885,-8.501150749093019e-06,0.9988865858610191,0.9989272720483785,-0.011948060948487594,0.011931061070720487,Gm37280
ENSMUSG00000036422,-1.6886472442198444e-05,0.9977883442187868,0.997869630438275,-0.011956445072285583,0.011922676941839752,Pcdh8
ENSMUSG00000043421,-4.3924006190093985e-05,0.9942472256813639,0.994490258491357,-0.011983478732120962,0.011895643242748747,Hilpda
ENSMUSG00000050321,-5.710671156108418e-05,0.9925207173157635,0.9928442247203645,-0.011996659542356689,0.01188246240071395,Neto1
ENSMUSG00000052551,-6.421864820634617e-05,0.9915892974854421,0.9919529165897639,-0.012003770454872543,0.011875351467596733,Adarb2
ENSMUSG00000002031,-6.661574192854427e-05,0.9912753629241994,0.9916792726963958,-0.012006167203137585,0.011872954711843735,Ift46
ENSMUSG00000029044,-8.020144053422868e-05,0.9894961434914176,0.9900606942294108,-0.012019750941248195,0.011859370926110285,4930584F24Rik
ENSMUSG00000054836,-8.483923694807388e-05,0.9888887767804008,0.9894933059262502,-0.012024388067392183,0.011854733781691223,Elp6
ENSMUSG00000035397,-0.00011113870226759169,0.9854447258829648,0.9861677227471489,-0.012050683722111951,0.011828438003913257,Klf16
ENSMUSG00000078812,-0.00011321320339808826,0.9851730699412138,0.985936054016903,-0.01205275792195976,0.011826363792953256,Eif5a
ENSMUSG00000032952,-0.00013838777549696584,0.9818766058153786,0.982717150787949,-0.012077928829731317,0.011801192733954165,Ap4b1
ENSMUSG00000037940,-0.00016536637531805193,0.978344259682156,0.9793414711834425,-0.012104903485840065,0.01177421788218721,Inpp4b
ENSMUSG00000060548,-0.00018306953794148477,0.9760265860233316,0.9771463784586752,-0.012122604051185013,0.011756517169566863,Tnfrsf19
ENSMUSG00000022216,-0.00020386121215248723,0.9733048285427619,0.9744955611443556,-0.012143392665439044,0.011735728363234159,Psme1
ENSMUSG00000025582,-0.0002229467545234156,0.970806687005016,0.9720340026649466,-0.012162475389862641,0.01171664544432227,Nptx1
ENSMUSG00000055937,-0.0002502602567293105,0.9672320770649733,0.9685733728729596,-0.012189784844148191,0.01168933568144448,Krt28
ENSMUSG00000024732,-0.0002686968012146044,0.9648195921851347,0.9662757751307129,-0.012208218646228383,0.011670901650926793,Ccdc86
ENSMUSG00000043850,-0.00026880160520155753,0.9648058791245817,0.9662757751307129,-0.012208323434602722,0.011670796861207488,Clrn1
ENSMUSG00000040280,-0.0002785066701924518,0.9635360671264279,0.9650690458160184,-0.012218027052696784,0.011661093116293672,Ndufa4l2
ENSMUSG00000023156,-0.00028253811506333596,0.963008619341513,0.9645801086028406,-0.012222057895871467,0.011657062219116384,Rpp14
ENSMUSG00000022241,-0.0003048671027093642,0.9600875405833399,0.9617719734139362,-0.012244383543872615,0.011634736257957409,Tars
ENSMUSG00000022208,-0.00030545548206443665,0.9600105758527545,0.9617341136909102,-0.012244971835065501,0.011634147958190724,Jph4
ENSMUSG00000048416,-0.00030683089551172967,0.9598306622165251,0.961593112936717,-0.012246347042389945,0.011632772730759418,Mlf1
ENSMUSG00000028633,-0.00031624041741564845,0.9585998867144775,0.9604384582172557,-0.012255755152948258,0.01162336448022247,Ctps
ENSMUSG00000054256,-0.0003262716462220564,0.9572879000235975,0.9592022414144948,-0.012265784874830456,0.011613334604456838,Msi1
ENSMUSG00000097440,-0.00032957581497068737,0.9568557721990251,0.9588083796845345,-0.012269088546689977,0.011610030880857904,Gm6277
ENSMUSG00000033268,-0.000369100147622869,0.9516876954745945,0.9536686788005487,-0.012308606915366995,0.01157051185286007,Duox1
ENSMUSG00000037737,-0.00037546002565721007,0.9508562819707836,0.9529133203374293,-0.01231496583025179,0.011564152824916305,Actrt3
ENSMUSG00000000782,-0.0003845331480670932,0.9496702645330821,0.9517635862036179,-0.012324037576942712,0.011555080913590103,Tcf7
ENSMUSG00000024050,-0.0003876291021191078,0.9492655940059561,0.9513968593719327,-0.01232713306111863,0.011551985372337398,Wiz
ENSMUSG00000032224,-0.00039586610966844987,0.9481890030740254,0.9503954441099601,-0.012335368817414575,0.011543749461955785,Fam81a
ENSMUSG00000004843,-0.00041708234862330757,0.9454164447451158,0.9477325065891753,-0.012356581826029221,0.011522536041539709,Chmp2b
ENSMUSG00000055745,-0.00043811103185936495,0.9426690484846526,0.9450555524048668,-0.012377607296877008,0.011501510141320781,Ldoc1l
ENSMUSG00000066392,-0.0004404437528586702,0.9423643200413367,0.9447886310447506,-0.012379939660874131,0.011499177728392209,Nrxn3
ENSMUSG00000039018,-0.0004429420122677112,0.9420379763094298,0.94450001610377,-0.012382437537802733,0.011496679798771644,Mtg1
ENSMUSG00000032305,-0.0004468618202361041,0.9415259575355768,0.9440252096791555,-0.012386356745353032,0.011492760507946181,Fam219b
ENSMUSG00000028451,-0.00044902035933498745,0.9412440120513713,0.9437810579059572,-0.01238851495366023,0.011490602253468197,1700022I11Rik
ENSMUSG00000068523,-0.00044971354430962783,0.9411534707191522,0.9437288140942057,-0.012389208032382098,0.011489909159872023,Gng5
ENSMUSG00000027808,-0.0004553286667464131,0.9404200717213854,0.9430319229253167,-0.01239482229369889,0.011484294777220676,Serp1
ENSMUSG00000033453,-0.00045757139740387634,0.9401271596161649,0.9427767031367104,-0.012397064680206866,0.011482052341829817,Adamts15
ENSMUSG00000042857,-0.00046911441980052444,0.9386197107700466,0.9413419034690651,-0.012408605929414396,0.011470510837229577,Gm9776
ENSMUSG00000033088,-0.0004837232963448253,0.9367121959019795,0.9394672317722794,-0.01242321255724556,0.011455903877051083,Triobp
ENSMUSG00000052848,-0.0004990358564211178,0.9347131894420129,0.9375006424764206,-0.012438522754822693,0.011440593320178808,C130026L21Rik
ENSMUSG00000025436,-0.0005076468018317407,0.9335892376303226,0.9364115925443125,-0.012447132369233935,0.011431983498801158,Xrcc6bp1
ENSMUSG00000090588,-0.0005119813122840796,0.9330235214902161,0.9358823997886908,-0.012451466209028351,0.011427649553485885,Gm9573
ENSMUSG00000000567,-0.0005278181325253438,0.930956877690907,0.9338857307892603,-0.012467300575101238,0.011411814794248762,Sox9
ENSMUSG00000030763,-0.0005310488779575052,0.9305353346080019,0.9335010025045216,-0.012470530819142376,0.011408584468530469,Lcmt1
ENSMUSG00000000202,-0.0005455608786315164,0.928642071367283,0.9317539900371694,-0.012485040564572994,0.011394074350071328,Btbd17
ENSMUSG00000038965,-0.0005689694884476197,0.9255889951803971,0.9287674239307244,-0.012508445525967865,0.01137066876576837,Ube2l3
ENSMUSG00000049598,-0.0005713936250043955,0.9252728881443438,0.9285252983618053,-0.012510869283955785,0.011368244941778512,Vsig8
ENSMUSG00000031633,-0.000600949943500219,0.9214197123731442,0.9247719731098163,-0.012540420975461897,0.011338692422974955,Slc25a4
ENSMUSG00000033356,-0.0006052310331450609,0.9208617492463405,0.9242497615688068,-0.012544701393180388,0.011334411881967774,Pus7l
ENSMUSG00000024926,-0.0006389188231485599,0.9164725319658888,0.9200700688921534,-0.012578383880542575,0.01130072839391076,Kat5
ENSMUSG00000087029,-0.000638944156669101,0.9164692321759667,0.9200700688921534,-0.012578409210065285,0.011300703063615126,Gm14133
ENSMUSG00000051036,-0.0006442186817855824,0.9157822361203092,0.9194898565094602,-0.012583682902486378,0.011295429209601393,Ttc24
ENSMUSG00000042109,-0.0006452041147859824,0.9156538924547409,0.9193985918349746,-0.012584668179841689,0.011294443901908643,Csdc2
ENSMUSG00000009070,-0.0006471582461361121,0.9153993911652263,0.9191806409508255,-0.012586622002476235,0.011292490018977266,Rsph14
ENSMUSG00000055900,-0.0006599867163026688,0.9137288590848718,0.9176157946765285,-0.012599448443724705,0.011279663177364757,Tmem69
ENSMUSG00000028772,-0.0006759597092192489,0.9116493785334648,0.9155649176485307,-0.012615418904901681,0.011263692206702336,Zcchc17
ENSMUSG00000025337,-0.0006906554488464245,0.9097367140168652,0.9136814121959451,-0.012630112309855257,0.011248998322242675,Sbds
ENSMUSG00000039838,-0.0006939499369606524,0.9093080046208316,0.9132882032910884,-0.012633406273875278,0.01124570424931199,Slc45a1
ENSMUSG00000073705,-0.0007132053683709776,0.9068028412245279,0.910883862112127,-0.012652658636907056,0.011226451239358502,Apitd1
ENSMUSG00000078490,-0.0007227211754467622,0.9055651596539225,0.9097150490925984,-0.012662172924358072,0.011216936625669676,Cfap74
ENSMUSG00000070576,-0.0007340175440366792,0.9040961857624145,0.9083806946408799,-0.01267346748617029,0.011205641670962045,Mn1
ENSMUSG00000021963,-0.0007387320679303086,0.903483208295008,0.9078092789056286,-0.01267818125510664,0.011200927736249104,Sap18
ENSMUSG00000026156,-0.0007678259015853539,0.8997017449163603,0.9041947294795939,-0.012707270418097242,0.01117183752674885,B3gat2
ENSMUSG00000022610,-0.0007703336675712574,0.8993759039950128,0.9039042611193889,-0.01270977778054549,0.01116933007220374,Mapk12
ENSMUSG00000010311,-0.0007737330414547781,0.8989342410969192,0.9034973590720305,-0.012713176607178382,0.011165931120250544,Optc
ENSMUSG00000034570,-0.0007906677721035517,0.8967344689704396,0.9013233177288342,-0.012730108607466753,0.011148998487429788,Inpp5j
ENSMUSG00000027719,-0.0008254087139527766,0.892224223723542,0.8969735951543856,-0.012764843926656742,0.011114261827761028,Adad1
ENSMUSG00000031641,-0.0008381910698392348,0.8905656224142025,0.8953794906434684,-0.012777624206527022,0.011101481040180182,Cbr4
ENSMUSG00000023944,-0.0008848715240279759,0.8845126226144951,0.889475892296993,-0.012824297046084406,0.01105480628021895,Hsp90ab1
ENSMUSG00000054310,-0.0008990410031493212,0.8826765988888081,0.8877022838617956,-0.012838464203552563,0.011040638519241613,Obox1
ENSMUSG00000039737,-0.0009032943277915532,0.8821255928135893,0.8871844811879094,-0.012842716830356949,0.011036385709407948,Prkrip1
ENSMUSG00000032180,-0.0009062239624426409,0.8817461001568998,0.8868391401848431,-0.012845645984095202,0.011033456429099081,Tmed1
ENSMUSG00000027523,-0.0009152031809712298,0.8805831390947871,0.8857783198564083,-0.012854623727367794,0.011024478295339306,Gnas
ENSMUSG00000034259,-0.0009156690725999218,0.8805228052332861,0.8857539195348728,-0.012855089542399497,0.0110240124599419,Exosc4
ENSMUSG00000050914,-0.0009258765248787482,0.8792010951834722,0.8845330801895022,-0.012865295315176111,0.011013806238361745,Ankrd37
ENSMUSG00000075271,-0.0009497225947789138,0.8761147088977336,0.8814640959249745,-0.012889137451824937,0.01098996303385549,Ttc30a1
ENSMUSG00000108118,-0.0009504350653498955,0.8760225228828624,0.8814074658560789,-0.012889849804669742,0.010989250648687584,Gm44201
ENSMUSG00000030757,-0.000950757227868577,0.875980839076435,0.8814016458753589,-0.012890171913951422,0.010988928524782195,Zkscan2
