,train_recon_loss,val_recon_loss
0,5016.45361328125,5062.83837890625
1,4572.2841796875,4593.83935546875
2,4501.78759765625,4484.99072265625
3,4471.1669921875,4445.296875
4,4446.4306640625,4423.1005859375
5,4426.1923828125,4401.3193359375
6,4409.09375,4390.689453125
7,4393.51171875,4374.068359375
8,4379.08056640625,4362.3154296875
9,4368.2978515625,4353.60302734375
10,4358.3984375,4345.3154296875
11,4348.46826171875,4336.7138671875
12,4341.4404296875,4331.00439453125
13,4332.84716796875,4323.70068359375
14,4325.6845703125,4317.85302734375
15,4318.26953125,4313.00244140625
16,4312.16455078125,4307.89013671875
17,4306.02392578125,4303.01806640625
18,4299.87890625,4299.193359375
19,4294.8486328125,4296.0625
20,4290.55517578125,4292.259765625
21,4284.6787109375,4289.62451171875
22,4280.11328125,4286.53564453125
23,4276.19384765625,4284.6982421875
24,4271.40380859375,4280.69384765625
25,4267.45068359375,4279.9267578125
26,4264.65576171875,4278.77294921875
27,4261.26416015625,4274.6083984375
28,4257.47314453125,4272.82666015625
29,4255.34130859375,4271.5029296875
30,4251.40234375,4270.9345703125
31,4248.39599609375,4271.26953125
32,4245.31494140625,4267.9736328125
33,4241.3583984375,4264.8388671875
34,4239.435546875,4264.0068359375
35,4237.25439453125,4263.560546875
36,4234.25439453125,4262.06884765625
37,4231.4423828125,4261.73583984375
38,4230.15234375,4260.74267578125
39,4227.0654296875,4259.51318359375
40,4225.62890625,4259.0068359375
41,4222.943359375,4259.44091796875
42,4220.28515625,4258.66162109375
43,4218.58056640625,4258.7001953125
44,4216.97021484375,4257.70458984375
45,4214.60302734375,4257.98974609375
46,4214.1884765625,4256.60498046875
47,4210.576171875,4256.001953125
48,4210.6650390625,4256.39599609375
49,4208.451171875,4254.8134765625
50,4207.33984375,4257.2841796875
51,4205.646484375,4255.73779296875
52,4203.1494140625,4254.443359375
53,4201.81201171875,4254.21484375
54,4200.6669921875,4253.99560546875
55,4200.92041015625,4254.56982421875
56,4197.9931640625,4254.130859375
57,4197.53857421875,4254.1650390625
58,4195.62109375,4254.03564453125
59,4195.30029296875,4253.61328125
60,4194.4404296875,4254.7451171875
61,4192.27978515625,4253.95458984375
62,4190.89306640625,4254.609375
63,4189.57275390625,4253.76513671875
64,4189.02197265625,4254.71923828125
65,4187.6455078125,4254.16845703125
66,4186.96923828125,4254.2138671875
67,4185.6767578125,4254.26611328125
68,4184.25439453125,4254.92236328125
69,4183.833984375,4255.3447265625
70,4182.9365234375,4255.4345703125
71,4182.79296875,4254.201171875
72,4181.26953125,4254.21240234375
