,train_recon_loss,val_recon_loss
0,4992.91943359375,4900.60009765625
1,4887.0947265625,4872.47900390625
2,4867.1845703125,4867.087890625
3,4856.8154296875,4855.8427734375
4,4849.86962890625,4852.0146484375
5,4844.86962890625,4849.02294921875
6,4840.98681640625,4847.11474609375
7,4838.1728515625,4845.56787109375
8,4835.30224609375,4844.40087890625
9,4833.6689453125,4843.45458984375
10,4831.4736328125,4842.2705078125
11,4829.63525390625,4841.927734375
12,4828.18505859375,4841.27880859375
13,4827.07861328125,4840.99853515625
14,4825.7099609375,4840.28515625
15,4824.65625,4840.18115234375
16,4823.58935546875,4839.96875
17,4823.30029296875,4839.763671875
18,4822.02099609375,4839.42822265625
19,4821.14794921875,4839.412109375
20,4820.80224609375,4839.10595703125
21,4820.36962890625,4838.92724609375
22,4819.8662109375,4839.28271484375
23,4818.9169921875,4838.84716796875
24,4818.2060546875,4838.5400390625
25,4817.58056640625,4838.416015625
26,4817.029296875,4838.44384765625
27,4816.91650390625,4838.46435546875
28,4816.25244140625,4838.45166015625
29,4816.119140625,4843.0615234375
30,4815.9775390625,4838.26806640625
31,4815.63037109375,4838.5341796875
32,4814.80908203125,4838.35693359375
33,4814.40380859375,4838.419921875
34,4814.3857421875,4838.44140625
35,4813.78515625,4838.42578125
36,4813.50439453125,4838.88818359375
37,4813.57568359375,4838.4580078125
38,4812.88720703125,4838.57470703125
39,4812.6015625,4838.3515625
40,4812.26806640625,4838.3408203125
41,4812.5341796875,4838.4921875
42,4811.99853515625,4838.4658203125
43,4811.66064453125,4838.66796875
44,4811.65625,4853.49365234375
45,4811.3125,4838.5546875
