,train_loss,val_loss
0,4992.91943359375,4900.60009765625
1,4888.4208984375,4873.44677734375
2,4868.59814453125,4868.33740234375
3,4858.45751953125,4857.375
4,4851.8125,4853.84521484375
5,4847.0859375,4851.19384765625
6,4843.57568359375,4849.62060546875
7,4841.095703125,4848.42041015625
8,4838.56005859375,4847.591796875
9,4837.26806640625,4846.95947265625
10,4835.39453125,4846.091796875
11,4833.8857421875,4846.1064453125
12,4832.7578125,4845.75
13,4831.97607421875,4845.80859375
14,4830.9150390625,4845.38623046875
15,4830.1669921875,4845.560546875
16,4829.40478515625,4845.70166015625
17,4829.42919921875,4845.73779296875
18,4828.4296875,4845.67333984375
19,4827.833984375,4845.99609375
20,4827.7880859375,4845.91796875
21,4827.63720703125,4846.0615234375
22,4827.3896484375,4846.64404296875
23,4826.73486328125,4846.45361328125
24,4826.29541015625,4846.46923828125
25,4825.93603515625,4846.62353515625
26,4825.6650390625,4846.9541015625
27,4825.8212890625,4847.16552734375
28,4825.39794921875,4847.4541015625
29,4825.55029296875,4852.54248046875
30,4825.66259765625,4847.73681640625
31,4825.5615234375,4848.306640625
32,4824.99755859375,4848.28662109375
33,4824.84716796875,4848.71875
34,4825.10009765625,4848.92138671875
35,4824.7177734375,4849.1708984375
36,4824.685546875,4850.013671875
37,4824.99755859375,4849.595703125
38,4824.54638671875,4850.07177734375
39,4824.5048828125,4850.06103515625
40,4824.4033203125,4850.25732421875
41,4824.921875,4850.533203125
42,4824.607421875,4850.78759765625
43,4824.494140625,4851.28857421875
44,4824.71533203125,4865.82861328125
45,4824.5947265625,4851.5439453125
