,train_recon_loss,val_recon_loss
0,5769.45849609375,5738.791015625
1,5345.44140625,5369.34765625
2,5282.73583984375,5276.07861328125
3,5241.73046875,5238.04736328125
4,5207.23583984375,5198.65966796875
5,5178.8779296875,5180.171875
6,5154.74462890625,5158.8837890625
7,5132.98779296875,5143.80810546875
8,5114.28369140625,5129.18603515625
9,5095.6806640625,5129.05908203125
10,5081.0068359375,5110.53515625
11,5062.20361328125,5098.90185546875
12,5047.69482421875,5095.34130859375
13,5035.06884765625,5088.19287109375
14,5020.2255859375,5086.32373046875
15,5007.82861328125,5081.49658203125
16,4993.86962890625,5076.17529296875
17,4980.71142578125,5072.4853515625
18,4970.70166015625,5074.6083984375
19,4957.92822265625,5071.26953125
20,4944.36376953125,5074.541015625
21,4935.12255859375,5071.63818359375
22,4923.30859375,5070.33349609375
23,4914.65380859375,5070.24658203125
24,4903.6611328125,5074.64306640625
25,4893.5849609375,5070.50634765625
26,4882.8193359375,5075.1455078125
27,4872.06298828125,5074.32861328125
28,4863.36279296875,5078.19091796875
29,4854.3935546875,5080.986328125
30,4845.2490234375,5086.51953125
31,4835.99853515625,5085.72314453125
32,4827.8974609375,5089.5185546875
33,4819.32861328125,5091.0068359375
34,4811.91015625,5097.3505859375
35,4803.70263671875,5097.73876953125
36,4795.47216796875,5098.97509765625
37,4787.23193359375,5106.75
38,4783.02099609375,5107.36328125
39,4773.2724609375,5109.22412109375
40,4766.0029296875,5115.99853515625
41,4761.9404296875,5119.52880859375
42,4754.455078125,5121.58740234375
43,4747.26220703125,5125.1904296875
44,4741.21435546875,5129.78857421875
45,4732.876953125,5132.5576171875
46,4730.58154296875,5134.7041015625
47,4721.5908203125,5138.76318359375
48,4717.94677734375,5146.314453125
49,4712.8125,5149.20361328125
50,4706.68017578125,5152.1396484375
51,4702.59228515625,5151.390625
52,4697.4013671875,5158.140625
53,4691.8828125,5163.2001953125
54,4687.48095703125,5167.3388671875
55,4684.04736328125,5170.58447265625
56,4678.40185546875,5173.9072265625
57,4673.00439453125,5173.458984375
58,4669.71923828125,5173.69140625
59,4666.279296875,5176.318359375
60,4662.59814453125,5183.4384765625
61,4657.75,5187.24658203125
62,4655.09814453125,5190.537109375
63,4651.87255859375,5193.55224609375
64,4648.3076171875,5195.83251953125
65,4646.6435546875,5199.04150390625
66,4639.62109375,5203.44189453125
67,4638.0302734375,5206.1484375
68,4631.99267578125,5212.5478515625
69,4631.08837890625,5210.9755859375
70,4626.95361328125,5213.16064453125
71,4623.73876953125,5217.482421875
72,4623.06591796875,5223.46728515625
