,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000023031,-0.08511284453447722,2.4864395432250607e-143,5.128794437345423e-143,-0.09162168620651112,-0.07859673050780612,Cela1
ENSMUSG00000071632,-0.08515157814059923,1.8462964137673186e-143,3.8099389471054864e-143,-0.09166037492097197,-0.0786355057443782,2510002D24Rik
ENSMUSG00000027305,-0.08527179254455376,7.323111066993665e-144,1.5130394766515837e-143,-0.09178044987312615,-0.07875584947899253,Ndufaf1
ENSMUSG00000025155,-0.08529605614890026,6.075293021088622e-144,1.2560043458938643e-143,-0.09180468530811067,-0.07878013920996683,Dus1l
ENSMUSG00000033658,-0.08550419242793984,1.2208820358433068e-144,2.5298011517681453e-144,-0.09201257963001958,-0.07898849992436971,Ddx19b
ENSMUSG00000062646,-0.08557866101364209,6.869330706487416e-145,1.4239906107975573e-144,-0.09208696150863532,-0.0790630489485512,Ganc
ENSMUSG00000025911,-0.08558298905291675,6.643422456086549e-145,1.3774460825391973e-144,-0.09209128450634803,-0.07906738166507023,Adhfe1
ENSMUSG00000021981,-0.08565202490218643,3.896224953293779e-145,8.0834542599456e-145,-0.09216023990531706,-0.07913649215358164,Cab39l
ENSMUSG00000003970,-0.08579227396113251,1.3159945036193772e-145,2.7342499555773473e-145,-0.09230032533407807,-0.07927689303796594,Rpl8
ENSMUSG00000021811,-0.08582003252699304,1.0613583263633986e-145,2.2065661670756727e-145,-0.09232805148316091,-0.0793046816842722,Dnajc9
ENSMUSG00000044912,-0.08582822332206126,9.960903182701568e-146,2.0713044671868512e-145,-0.09233623271099463,-0.07931288135719367,Syt16
ENSMUSG00000045005,-0.08597474183427004,3.1973415840988105e-146,6.655581981887616e-146,-0.09248257993423559,-0.0794595588270886,Fzd5
ENSMUSG00000036390,-0.08620744580658653,5.238737512586999e-147,1.0918585895345974e-146,-0.09271501128369536,-0.07969251583940455,Gadd45a
ENSMUSG00000110843,-0.08628826858313635,2.791770761792293e-147,5.823468422595522e-147,-0.09279573920689373,-0.07977342666834876,RP24-165I13.1
ENSMUSG00000037685,-0.08637415313258875,1.4293157881290995e-147,2.984580889808101e-147,-0.09288152286875424,-0.07985940487882426,Atp8a1
ENSMUSG00000007050,-0.08640140268372233,1.1556244344348649e-147,2.4145934693582632e-147,-0.0929087403899654,-0.07988668416709475,Lsm2
ENSMUSG00000019732,-0.08644091860461814,8.489823679588756e-148,1.7749997239365997e-147,-0.09294820984541052,-0.07992624322861851,Calr3
ENSMUSG00000079436,-0.08646613060202618,6.973062648551848e-148,1.458799717270261e-147,-0.09297339218618669,-0.07995148276138724,Kcnj13
ENSMUSG00000022856,-0.08656882738298391,3.12603119403675e-148,6.545291444800565e-148,-0.09307596807988064,-0.080054291789265,Tmem41a
ENSMUSG00000025077,-0.08669196808857621,1.1930156084507341e-148,2.5000327084047234e-148,-0.09319896365097775,-0.08017756726959073,Dclre1a
ENSMUSG00000030357,-0.08684594970314849,3.5700283491154854e-149,7.487475564420061e-149,-0.0933527635023068,-0.08033171769397048,Fkbp4
ENSMUSG00000003812,-0.08688268029924276,2.676354695221764e-149,5.617872995847531e-149,-0.09338945069493522,-0.08036848860379005,Dnase2a
ENSMUSG00000031808,-0.08710735904658815,4.581122173364381e-150,9.626228563488928e-150,-0.09361386356139433,-0.08059341433359136,Slc27a1
ENSMUSG00000036752,-0.08717892776788858,2.608354452041038e-150,5.485498321852867e-150,-0.09368534745068464,-0.08066506186751006,Tubb4b
ENSMUSG00000095567,-0.08723101690372033,1.730651079289041e-150,3.6419425069213825e-150,-0.09373737480191549,-0.08071720840705483,Noc2l
ENSMUSG00000008318,-0.08726032360826498,1.3738081847221576e-150,2.8916189954160333e-150,-0.09376664672921341,-0.0807465474240983,Relt
ENSMUSG00000028295,-0.08726808811076356,1.292264223786592e-150,2.720556260603352e-150,-0.0937744020159621,-0.08075432048934429,Smim8
ENSMUSG00000020191,-0.08738009408123507,5.3423471305845954e-151,1.1254154477742986e-150,-0.0938862749578069,-0.08086645006892972,4930415F15Rik
ENSMUSG00000048752,-0.08744340237936232,3.241010151201452e-151,6.83180891905871e-151,-0.09394950799247681,-0.0809298283066438,Prss50
ENSMUSG00000021720,-0.08783618523619609,1.4469507885458007e-152,3.0584459702933852e-152,-0.09434182272009739,-0.08132304626591928,Rnf180
ENSMUSG00000021243,-0.0879483060922706,5.941527960329148e-153,1.2572001608821728e-152,-0.09445380957680204,-0.08143529169507102,Fcf1
ENSMUSG00000025572,-0.08795999250277646,5.41474966656096e-153,1.145978765409727e-152,-0.09446548201101482,-0.08144699109939581,Tmc6
ENSMUSG00000023995,-0.08797987710966616,4.6233966695439065e-153,9.79118312059277e-153,-0.09448534283291636,-0.08146689781959307,Tspo2
ENSMUSG00000026202,-0.0880259992632798,3.2043753229923603e-153,6.788930769051612e-153,-0.09453140979754401,-0.08151307128481484,Tuba4a
ENSMUSG00000032849,-0.08809848153323759,1.8003481424897095e-153,3.8167227951870033e-153,-0.09460380528015369,-0.08158563424890712,Abcc4
ENSMUSG00000022956,-0.08819458976675841,8.375894839516407e-154,1.7771896540454927e-153,-0.0946997983314475,-0.08168184958569603,Atp5o
ENSMUSG00000003526,-0.08834251836200985,2.5751316178190618e-154,5.4720178874183204e-154,-0.09484754940325534,-0.08182994327018038,Prodh
ENSMUSG00000018509,-0.08849125079005149,7.850603931994822e-155,1.6706967295158166e-154,-0.09499610305427196,-0.08197884197447619,Cenpv
ENSMUSG00000029480,-0.08864905399885213,2.221147967020282e-155,4.735923170618939e-155,-0.0951537162661731,-0.08213682191812316,Dhx37
ENSMUSG00000041645,-0.08864973666852195,2.2090382122975243e-155,4.7111072985658445e-155,-0.0951543981131922,-0.08213750535307343,Ddx24
ENSMUSG00000000248,-0.08865431132438273,2.1295729102676554e-155,4.543573523080127e-155,-0.09515896725620897,-0.0821420851373334,Clec2g
ENSMUSG00000034278,-0.08867043615428649,1.8715587754975285e-155,3.995642133854672e-155,-0.09517507265215462,-0.08215822804610491,Dnajc17
ENSMUSG00000026974,-0.08872483724561206,1.2103099639105675e-155,2.584475686334759e-155,-0.09522940815310474,-0.08221269015616196,Zmynd19
ENSMUSG00000075520,-0.08877347496898941,8.194929278549602e-156,1.7510532646473508e-155,-0.09527798720207414,-0.08226138246674787,Malrd1
ENSMUSG00000042389,-0.08881573359954195,5.838864587543989e-156,1.2486878929734792e-155,-0.09532019482852254,-0.08230368855035089,Tsen2
ENSMUSG00000104818,-0.0888662838939816,3.891635191422997e-156,8.326134341940515e-156,-0.09537068408050318,-0.08235429563954297,Gm43661
ENSMUSG00000025134,-0.08888043600889838,3.4736473645999614e-156,7.436624629843634e-156,-0.09538481909991127,-0.08236846366079693,Alyref
ENSMUSG00000078813,-0.08900517643346387,1.2749337680578222e-156,2.7306356137456036e-156,-0.09550940872676147,-0.0824933444018083,Leng1
ENSMUSG00000046230,-0.0891151803322895,5.26136733785919e-157,1.1280804755272705e-156,-0.09561927947364775,-0.08260347221012858,Vps13a
ENSMUSG00000097605,-0.08917284883472452,3.3066872590581344e-157,7.091330171688043e-157,-0.09567687810912169,-0.08266120573448293,9430098F02Rik
ENSMUSG00000053553,-0.08918718017394195,2.94609115498427e-157,6.319371846813107e-157,-0.0956911920787746,-0.08267555323923559,3110082I17Rik
ENSMUSG00000050714,-0.08921193336866737,2.4133075969664263e-157,5.1776605813482645e-157,-0.09571591526632497,-0.08270033436155007,Zbtb26
ENSMUSG00000016757,-0.08921195203050171,2.4129446308695895e-157,5.1776605813482645e-157,-0.0957159339055334,-0.08270035304444251,Ttll12
ENSMUSG00000041920,-0.08932039756743167,1.0062617973985615e-157,2.1616794788368666e-157,-0.0958242478842444,-0.08280892102910761,Slc16a6
ENSMUSG00000091794,-0.08933005146830998,9.308396828270319e-158,2.0000852660658185e-157,-0.09583389006624826,-0.08281858583786474,Vmn2r18
ENSMUSG00000034620,-0.08940027418237965,5.280051913407929e-158,1.1352508951640355e-157,-0.09590402750020519,-0.08288888793297422,Tmem5
ENSMUSG00000045509,-0.08949505111242288,2.454648607338619e-158,5.2810856440159624e-158,-0.09599868922851766,-0.0829837721033545,Gpr150
ENSMUSG00000012777,-0.08950753970847605,2.2188603854900845e-158,4.774823295653291e-158,-0.09601116263586136,-0.08299627483908868,Acpt
