,Neural Crest/Mid-HindBrain_2_corr,Neural Crest/Mid-HindBrain_2_pval,Neural Crest/Mid-HindBrain_2_qval,Neural Crest/Mid-HindBrain_2_ci_low,Neural Crest/Mid-HindBrain_2_ci_high,gene_annotation
ENSMUSG00000042462,0.6925913868142136,0.0,0.0,0.6863272283960251,0.6987527952735638,Dctpp1
ENSMUSG00000025362,0.6585168466528157,0.0,0.0,0.651701222682656,0.6652261323452876,Rps26
ENSMUSG00000040952,0.6546753529284959,0.0,0.0,0.6477993389781476,0.6614447073613002,Rps19
ENSMUSG00000047675,0.6459060670493562,0.0,0.0,0.6388935475931313,0.6528112554405507,Rps8
ENSMUSG00000071415,0.6301960745337314,0.0,0.0,0.6229437067291278,0.6373401199179326,Rpl23
ENSMUSG00000024608,0.6248635624058193,0.0,0.0,0.6175311522264499,0.6320873744825294,Rps14
ENSMUSG00000036781,0.60665357408663,0.0,0.0,0.5990530606424623,0.6141447755629614,Rps27l
ENSMUSG00000060938,0.6000740359481311,0.0,0.0,0.592378643145426,0.6076599440283015,Rpl26
ENSMUSG00000028234,0.5899980155246266,0.0,0.0,0.5821593698358549,0.5977269979016568,Rps20
ENSMUSG00000042380,0.5864034440700644,0.0,0.0,0.5785142928544273,0.5941828931523199,Smim12
ENSMUSG00000007892,0.5781445110100635,0.0,0.0,0.5701405111662843,0.5860387684957077,Rplp1
ENSMUSG00000005732,0.5725512766090615,0.0,0.0,0.5644704416899783,0.5805223803008556,Ranbp1
ENSMUSG00000032959,0.5666306950605112,0.0,0.0,0.5584693589531563,0.5746823450999884,Pebp1
ENSMUSG00000028044,0.5553545789479579,0.0,0.0,0.5470422856838991,0.5635573658372132,Cks1b
ENSMUSG00000004885,0.5448598781486484,0.0,0.0,0.5364098713481508,0.5532006543946795,Crabp2
ENSMUSG00000039001,0.5443227392929934,0.0,0.0,0.5358657561970397,0.5526705087298304,Rps21
ENSMUSG00000035960,0.5370258894114739,0.0,0.0,0.5284748315309569,0.5454679896538,Apex1
ENSMUSG00000053565,0.5361045192180812,0.0,0.0,0.5275416747158417,0.5445584419015779,Eif3k
ENSMUSG00000020018,0.5352571514392914,0.0,0.0,0.5266834852308581,0.5437219294587656,Snrpf
ENSMUSG00000028081,0.5340440320352219,0.0,0.0,0.5254549035379809,0.5425243216330966,Rps3a1
ENSMUSG00000020267,0.5257784597117717,0.0,0.0,0.5170849324570598,0.534363519530341,Hint1
ENSMUSG00000042606,0.523857272008715,0.0,0.0,0.5151397171948896,0.5324664545629301,Hirip3
