,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.6119552752499778,0.016118818635309333,0.06034449763596086,9.86966244983723e-05,0.028465566699778427,0.01825581647956037,0.0007388604453450087,0.008760033966066585,0.015712398783496232,0.00047640778174568867,0.0023790155155576343,0.012165973699024923,0.011075932354771745,0.03111674214128628,0.00578870801277015,0.008512856302118154,0.0023608756804017195,0.00023842417776203558,0.06543441011782627,0.009362959152679193,0.0037739120283713425,0.0013682498609824748,0.014978984130403558,0.004767345653695778,0.003172150296466399,4.792861650835746e-05,0.02839417337499947,0.0003154346144885584,0.0338195519681472
B_cells,0.03922360344562672,0.222433773062577,0.11947787413372903,0.00019202545584568793,0.07276502166544822,0.032833177212429905,0.0007757769108380781,0.013143473151128555,0.03490238968451638,0.0007744407539974324,0.002982611500242953,0.016716722203536684,0.015863403492458097,0.0609019540579943,0.009039287349688422,0.010092683949777397,0.0037567435790181705,0.000642221413494191,0.11150718349969216,0.01631643976564724,0.006535916978440811,0.0027151617369726233,0.024101994649886143,0.011854668940574244,0.005668636345148126,8.342046105785498e-05,0.08201943987074453,0.0002529010496334232,0.08242705367985563
CNS_neurons,0.0022578535172665514,0.001963041290716471,0.8948053405529338,1.5445746863799537e-05,0.003746117317838423,0.002028782646094612,0.00020974751586853865,0.0012921546438614327,0.004645267495690467,0.00028726609884361726,0.00020956392892464967,0.0012761630219710084,0.0011666698827075906,0.05696633997578062,0.0005216911720574577,0.001103586288857024,0.00021143080849174404,2.2306106539776946e-05,0.008747427767855386,0.0012063807747670389,0.0005711697742881567,0.002281663242131455,0.00426969307914201,0.000826611448937609,0.0014377458424533853,3.8477992990282e-06,0.003980977056716021,2.265616010102629e-05,0.003923059043001309
Cardiocytes,0.041636500429130294,0.005081815635522142,0.026122057761199444,0.07515753791474124,0.021956318948020005,0.029211768825437696,0.00780702194590399,0.035167071902045634,0.004808340678243547,0.0002634654515114558,0.003856107585315972,0.17814359035299865,0.1017358748187719,0.014251827235484793,0.00988954955710947,0.010714010315314746,0.0052911075663694875,0.011291332521618059,0.09235902113198982,0.20965157409737178,0.003932700485030586,0.0058084800729964895,0.013477346834474645,0.0036576322676604702,0.002233998845778073,4.7837289367526986e-05,0.028329878992099558,0.002721432125655331,0.05539479841283717
Definitive_erythroid,0.02501615070773649,0.022439829220522168,0.07704212886652863,0.00014313132083788912,0.5072337632664925,0.02142750574767056,0.0006244777768960523,0.009674836414910588,0.024142234814637818,0.000554107214400522,0.0023059396715322997,0.013593658526603616,0.012136923732279967,0.039531832597341596,0.007192388988098161,0.008326618400871651,0.0031449016297426208,0.0004958219016673982,0.06772417155406468,0.011564292569188122,0.004546136348041656,0.001623526992038656,0.01811880705375678,0.00471346149512559,0.004547561271649271,5.9597411698573784e-05,0.054268113150503026,0.00020423135246119275,0.05760385000270195
Endothelium,0.038087691053762876,0.021517190726466365,0.0700842787232336,0.0001345778385825666,0.0428954504668124,0.27434458269684264,0.0027987260468779872,0.02311827404274218,0.02445252038418773,0.0005600619871300051,0.00642662959476227,0.028362441931592937,0.032771343797679466,0.03574618574971856,0.016266589260819614,0.016588405936370017,0.005961205762116919,0.0009197896641342633,0.13207807571781072,0.01869261023178386,0.00800806712561204,0.002663228148838759,0.021635269398680743,0.007673995175444023,0.0043530602262632214,8.64977179483724e-05,0.055140402304287794,0.001602084022452318,0.10703076426704579
Ependymal_cells,0.03474812893303381,0.008969874894174527,0.07277148088457482,6.715202352659281e-05,0.031311280472491654,0.037566031597287226,0.12141896569894867,0.04726735791542249,0.014678443522828584,0.00045876672729044477,0.025076152313996704,0.07429814207482857,0.06138871874288874,0.019674135024622043,0.050398866687333434,0.0511993719536922,0.006485420630341717,0.0003163662857854726,0.1395909314539517,0.007057558620518141,0.004177033361792128,0.0024243453089447136,0.03889634018995699,0.017429001321578208,0.0029089250088148327,3.7740005852574584e-05,0.037011257650546595,0.0018554289963276375,0.09051678169864878
Epithelial_cells,0.05292689282332732,0.015792906962062737,0.129054402882778,0.00013060143661486852,0.05057063915785424,0.04360612296433038,0.0074188819544838466,0.07371096629320004,0.028212416265136788,0.0011191625861161514,0.01072313310029159,0.02930602743324525,0.07840895244193963,0.055083001533636294,0.019967717044125276,0.03265776625350922,0.010570878616614515,0.0027152599069421046,0.14461967969667508,0.015330433572081508,0.010811453217800235,0.0072581542976593045,0.03350736717130677,0.011632859274763934,0.0058394896509803215,9.420521786976587e-05,0.045607792308108464,0.008868502833548916,0.07445433310299746
Eye_and_other,0.020081495663741136,0.014443782012590528,0.1949364076275059,0.0001182125549255325,0.029222806621050413,0.01861796323067983,0.0009086952103898714,0.009538100936224227,0.35323276759733563,0.0006828901754769006,0.002164612968051579,0.010183067889675726,0.013279120303936206,0.10996292420638469,0.004972020579671266,0.008733409368868607,0.0025970749295211332,0.00023054433172059965,0.06946230609726609,0.008866241112379233,0.0055817691046574245,0.004621673328777772,0.03429341654181532,0.005950099262962885,0.00977896050936579,4.0905778902561314e-05,0.0315415148237606,0.00030874125930305295,0.035648475973059514
Glands,0.006435291337006597,0.003252531617477705,0.6667027319471914,3.363365108458432e-05,0.0061238793991482705,0.005026008335718086,0.0004014142007373287,0.004039675730848611,0.0067301443583902935,0.1505877624464127,0.000804485457275416,0.002844173882617267,0.003776182438107372,0.04236376193924122,0.0015588883412881427,0.006005088265556842,0.0012367551336552724,6.00118659123519e-05,0.032401064696568595,0.0024079514401380035,0.0013433225412290356,0.007506532160972463,0.025357251805572054,0.0054904184219403355,0.0025992201967675542,8.293034265628797e-06,0.0067049385768983005,0.0001368335888181289,0.008061753189160406
Gut,0.06257878943267056,0.011765091594045575,0.14636568618188067,0.00011386901959249739,0.029362814286430762,0.05595957074413739,0.035504627713477774,0.04492878881058638,0.022029258149869745,0.0011115643347438119,0.04334535045550196,0.03922189743477222,0.08866283232770014,0.036288454863580344,0.039012495143335074,0.07629754338557007,0.01097266740531953,0.0007301098031673592,0.09585248608901824,0.010114736781141286,0.00737773528521032,0.005901160606846932,0.024809600604138983,0.00770761346401964,0.004441551831701377,9.787161908561316e-05,0.03448717270930413,0.006350113498225154,0.05860854642492646
Hepatocytes,0.019923988257246655,0.00977901627251126,0.08238445746938784,7.92919798023998e-05,0.021055595344197865,0.013334827797389835,0.0005447333622246151,0.007105789711494721,0.013965126352921249,0.0008266134150101506,0.002013051413623673,0.6241801841657841,0.008809354055112089,0.02627024677959609,0.005923482826507378,0.017251610596657384,0.0015747722255296612,0.0001524892835274122,0.06512419861231616,0.009422382166843948,0.003164904985312827,0.0017262563647343085,0.011450628339322274,0.0028874186208810776,0.0023949655691241395,3.128569730361042e-05,0.02256344366868179,0.00030180750137140253,0.025758077165584058
Intermediate_mesoderm_and_kidney,0.03568979559883293,0.009659189360252732,0.1171161153350285,0.00010335820715839346,0.021589777754294097,0.028470251499207126,0.003890155807571595,0.029794257001038802,0.023529417316005066,0.0005583576600080226,0.005980089653961151,0.01052110982664027,0.3821328504175172,0.042761443802379645,0.011002659505023748,0.02144518805354681,0.008851107723706354,0.0019436334223887203,0.11715280199601733,0.009866479425653036,0.006137767697270542,0.004893153258581709,0.023755469807082687,0.00819544169195603,0.005380049194515104,6.0253394481708394e-05,0.02552317231037791,0.008464076116262,0.03553257716324079
Intermediate_neuronal_progenitors,0.00227390702494114,0.001831644854205583,0.07778735702787168,1.527335600860653e-05,0.003567095957799637,0.002049400302588149,4.973911719844615e-05,0.0009917257431831818,0.003961347633400934,0.00027750939768204626,0.0003353886527876973,0.0011754238880972623,0.001173174976839685,0.8742958581439972,0.0005170595412239099,0.0008066888802337712,0.0001973321112054793,2.165316322734822e-05,0.007965187791923813,0.0011311632470119627,0.0006115133483808497,0.0004343642058091771,0.008701654423960503,0.0008678294524750159,0.0012033407488081039,3.8450253965279224e-06,0.003889716119481283,1.9815589151441157e-05,0.0038439902751095222
Intestine,0.057143714318794926,0.022018816764649878,0.07162023618845142,0.0001283092778079049,0.08605226319365275,0.046228837965664425,0.0062474543856119585,0.0289099104683741,0.027012620241731452,0.0009064063776576504,0.020308243663659437,0.07448275651975451,0.04452969591721758,0.0362749821394286,0.08857621426330615,0.03512481000982868,0.008897013388464062,0.0015109805579898844,0.10337633717915849,0.017584015412541974,0.007303432090428963,0.0028915501197428945,0.019940246473194968,0.0076071163389898775,0.004106535311436681,0.00019517453816641424,0.07282869048101193,0.00283777695473651,0.1053558594585459
Lung_and_airways,0.037895677527579476,0.0109764053982491,0.09126306753626931,0.00012135985731593828,0.025852206445404126,0.03532513769400094,0.01941494176037089,0.030350345680347748,0.018456804501207826,0.0010158586559869585,0.01649966540903436,0.029158625257925088,0.04688945632755911,0.028800462793301163,0.036158190874940536,0.3219193073238666,0.006905654769472928,0.0012599418996916585,0.11031746637140381,0.011533261818204521,0.005362012675291813,0.0034012123210750136,0.020747794812376177,0.006114294108188373,0.0037236329519137494,5.586452142188422e-05,0.03048225262807314,0.00228019092691678,0.047718907152610984
Mast_cells,0.03818340597133745,0.008598229842436944,0.041778303656510085,0.00012646277892826015,0.02020022830585862,0.03845347461664478,0.0053463755141822805,0.029042957332332912,0.012017579741663061,0.00048155753726565506,0.008783709252312904,0.00749517976765977,0.12339973441940619,0.019034413608849887,0.02133900857118843,0.023026702911070535,0.2807787058970472,0.00253990269106215,0.06252425160049208,0.003993179180940133,0.0038204700661992634,0.0024411769102795967,0.019752623500909235,0.006132299076631579,0.006162889297898147,3.319869936333498e-05,0.028473319467863314,0.007733186236372271,0.17830747354729395
Megakaryocytes,0.026353201598785077,0.022722757094722493,0.03383413792276,9.07711315954659e-05,0.14812079466121028,0.0237081802239177,0.0025199503377040557,0.04033802184506309,0.015330024471491193,0.00030623636208406514,0.004689284259429496,0.026874276593147294,0.09601459907662785,0.01966887206020376,0.014237265481392968,0.013192415588452886,0.014649688656019217,0.11049486990726828,0.07255668386161991,0.010365600042183355,0.004482955325468848,0.0016295842794307807,0.013816935377897846,0.004404259962803762,0.008076828188037039,0.00015836129444598375,0.08230453948626892,0.008367747291055652,0.18069115761891272
Mesoderm,0.024002774895162966,0.015633075353443316,0.1524240004236388,8.735052400268541e-05,0.03015781718267348,0.025121602562674993,0.001436348960374799,0.017865748112442428,0.018384818912881018,0.0015355960540251552,0.0025765650339658317,0.04152509034035238,0.0234969661288543,0.04349853317295205,0.0076667539908310866,0.01573777464255049,0.0021982024133021115,0.0005531622724516408,0.42829923997001385,0.021754090837655306,0.007349906859130939,0.007883163565739966,0.017294517657265033,0.006435209743424844,0.0035143861918713964,5.0044966673420365e-05,0.031802104523807474,0.001893950488734907,0.049821204219103375
Muscle_cells,0.023644383790438057,0.02305881654327303,0.12794124486258301,0.006868597135550613,0.07954887857992873,0.027294196237842853,0.0007775927623636607,0.017645876228158133,0.0208745296766572,0.0007988490374651048,0.002763655928781949,0.041265751332005704,0.020877504321168902,0.043662327606441176,0.011782930126690563,0.013230772684516556,0.0020668203062039242,0.000565115052747771,0.15440129825274707,0.15802619968218096,0.007371740932104307,0.010138740541994004,0.016962158750623818,0.004951638982124714,0.0029423837282903736,0.00010928206794900871,0.07581458771850776,0.0009023881334592657,0.10371173899720178
Neural_crest_PNS_glia,0.030557335987202047,0.017094134896108493,0.1841869707756574,0.00012045613271755362,0.04357709161807576,0.029970444517638643,0.0014641768466486787,0.02275210133107954,0.03507632672836654,0.0031097285079895918,0.003815758005238688,0.02529260369377486,0.02623651762530429,0.10688222282366427,0.010070601083442028,0.011045661231732978,0.003445840685433179,0.0005554075902053841,0.1528444237906778,0.017952324321223092,0.06155257606603466,0.008268199703613368,0.06281240947443449,0.007348855455350815,0.019908574582183917,8.929952588992587e-05,0.045992372089167836,0.0007637529792380416,0.0672138319319061
