,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.0020253168565019827,0.0901703203524164,0.13914639708288784,0.0001615447773591418,0.05417608632188686,0.11020094474024801,0.001632725058145327,0.04273047877565796,1.1325072152593019e-05,0.03182279940237876,0.0013114010872332415,0.0046606560293205365,0.01110920732606352,0.0062257402956474965,0.014070068871797733,0.002031317134786929,0.008572498935362684,0.011532205641149155,0.004293775019453724,0.1531871944873004,0.005631109015602241,0.03773788216414766,0.013780481579030246,0.09650942309009566,0.02598334934396177,0.0010323010683258949,0.0009661559222967067,0.0040829403605421285,0.012831632481674217,3.320709818970661e-05,0.1123395146083835
CNS_neurons,2.7822655606082344e-05,2.720864123409951e-05,0.7900144966714,1.1170334517258657e-06,0.000172551648204717,0.00046394892332101735,0.00017751440384119503,0.0007562050523998231,3.6424287633610346e-07,0.014815272413485344,0.008643791263338056,0.0115173532911989,0.0009060260871146018,0.00015927649006267788,0.08750654000275786,4.079033362492602e-06,4.415375933754932e-05,4.40892070471787e-05,1.1768206496549376e-05,0.001781897232439461,3.7391772316022314e-05,0.0008172849068512851,0.03393570040246995,0.027320652700134253,0.00997505623265718,0.010532459264618956,7.0160793555979445e-06,1.2041044879044766e-05,2.6868528443826496e-05,6.788819141508407e-09,0.0002600460204790897
Cardiocytes,3.784348077850153e-05,1.4656328969273089e-05,0.016642529440790255,0.5650110778465958,9.142404113546928e-05,0.009996374835519376,0.0008362360139118654,0.04017750450697717,6.185702393382273e-06,0.023914768367859777,0.003925730016848406,0.0011379116751507876,0.0002643162716919566,0.0007853692762893963,0.004078668998262855,6.597294809355188e-05,0.0003652527677365355,0.0003950396034155234,0.0004816184830768827,0.015972029419261156,0.13950535519554708,0.008978782106746885,0.0012740685749721595,0.10859225170054075,0.0014915291111763215,0.012462576330372352,0.04210260392374006,1.5015631857924734e-06,0.00017260477205656218,1.7421144717414414e-09,0.0012182149547896853
Definitive_erythroid,0.0001354877394589619,0.002613344619704754,0.009748257351378862,6.0617378046136624e-05,0.820678641068053,0.01668641816561889,0.0009786884190313956,0.01245741714181247,6.99266271316399e-06,0.010458188760206103,0.0007428613472309144,0.0018049779967581007,0.007685843385898942,0.0018375317972343357,0.0043241076908440415,0.0004942052479861528,0.001799528362385102,0.003908084940429119,0.0031227273415635926,0.013052445689765903,0.0014321455661682506,0.009102753910814401,0.0012243222017168434,0.030995294452529784,0.0010205106259121059,0.0009299642383429191,0.012925363922851643,0.0017226153157670538,0.003230628984561811,1.3778571802333155e-05,0.024806255103412955
Endothelium,0.0009539451691033589,0.0015698072213216954,0.028229868548064554,0.0008447025497400611,0.006751832694058153,0.2848501366836796,0.01567654422727604,0.08025079580661738,1.4013554628890362e-05,0.04703418684899954,0.009079805139790693,0.013269146267883567,0.01627983447307798,0.008983604179060148,0.026988519923772807,0.001234891415945696,0.012691654587483598,0.003501219972667204,0.0016054093533351226,0.16920979999490043,0.004020556149007361,0.10843735413174943,0.007105473088144622,0.10819202142562152,0.008115842549139943,0.002511150781687701,0.0034440288530871496,0.000702906308042133,0.0025562896564077526,0.0007138616295848365,0.025180796816121034
Ependymal_cells,6.090723169807454e-05,0.00010914108448767073,0.01812357014430949,3.8135741228363935e-06,0.0005671793264069223,0.007345806995168261,0.7028174730614296,0.006779752415350638,2.7234501765342444e-06,0.021583835709512562,0.03515022860171523,0.0003978138988352125,0.0004530334091799686,0.000469400733421825,0.007469549027010544,2.596289497937432e-05,0.0002852889193842528,0.0002754894272093826,8.504648982493552e-05,0.016500768559083494,0.00015101939217958358,0.0050396018618540615,0.0008718212154713675,0.16069752860378808,0.007934537416175162,0.005009266358439499,5.924795326488238e-05,2.872353689396813e-05,0.0001710015720985425,1.1071620631858304e-11,0.001530467125456442
Epithelial_cells,0.0008409863609365132,0.0007355672835973464,0.04594022302059011,0.0002173459310892724,0.004404641120512479,0.03152150587975034,0.015546523606950314,0.2849598461161889,1.3466518483382026e-05,0.05232088519531499,0.025832473635288646,0.007536648598647515,0.013279350167877435,0.029801610169175843,0.026262867589403726,0.0007178843204890551,0.010384246467206612,0.00179637778128122,0.0007136867915345166,0.10934708760043108,0.0021246701454066385,0.0740779025140531,0.00969309523673572,0.213642070725184,0.016804959237005555,0.00704282226543993,0.0031365008766231664,0.0004580056305467852,0.001225741784658857,0.00012028245414195191,0.009500724975454974
Eye_and_other,0.00022388066690178857,0.0002564793441224004,0.06450557826472166,5.111235534578152e-05,0.0011801382276486196,0.005261778461855649,0.015112145148364517,0.005871724910168089,3.52796957558722e-06,0.6943229563598287,0.0030804146643429037,0.0004187049129563361,0.0013251794976833998,0.0014031647262147439,0.015662452491877806,6.042478818252162e-05,0.0005678723204217667,0.0004959392335443608,0.00014179799731714826,0.013074757769918366,0.00043716486177152326,0.02842457271837227,0.0018897037133883163,0.13368921225885988,0.002014625155815175,0.007232498043903744,0.00014872961308779478,9.955245513791417e-05,0.00031463004990099776,7.113052321521849e-08,0.002729209888247048
Glands,1.2859524942364576e-10,2.6880978719313835e-12,0.02734334103891987,1.2481384079048408e-09,5.844467446706428e-11,3.2895096488379768e-06,3.52421458621915e-05,2.2427556123401704e-05,8.668353621721936e-12,0.001417004662263819,0.7778999442931149,0.17271258455441219,7.816175674854932e-08,9.899004295895813e-07,5.035081418278218e-05,7.452875873697194e-09,3.0402103081768815e-08,8.171467081824268e-10,5.882705055379077e-10,6.579567904896532e-05,8.945810583297244e-09,9.387195232055503e-06,0.017950840833249035,9.712170431680616e-05,0.001442275519008037,0.0009492718666780568,2.5159659556086658e-09,3.108475755519344e-13,3.2497969180965127e-10,6.267826290047017e-12,2.065486732594592e-09
Gut,0.00063639511236036,0.00079781694359878,0.053420881595599844,0.0010467472973762295,0.004996331773601263,0.03857793953763319,0.005567815042595148,0.07082840657560685,5.227038749753528e-05,0.1672522987995381,0.03736955597200005,0.11227518093840544,0.029270477003122606,0.012626819989454977,0.023307920895231024,0.001595688369567077,0.01606743936646109,0.0037658991464584127,0.001509860942449014,0.11845069884985271,0.001948465553896128,0.056805829304185,0.006045893644156586,0.19539935493115254,0.009226232581189462,0.011779332296116184,0.003252302696584576,0.00020883960985242957,0.001943543979849746,0.0002582750987836852,0.013715485765823994
