,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.37257733760628303,0.00022547128792149034,0.000276504054024869,0.0007915522981282139,0.0010190119451849629,0.0026984840966450953,0.01584503233209147,0.0019937765222336036,9.020261451919261e-05,0.0012573449578706674,0.38335478120146943,3.0038256536535094e-06,0.0008313303074582638,0.0005305520582393707,0.00455499391659352,0.0012655657421969827,0.0009632481331850276,0.05556220906884605,0.01385784608119457,0.0009652872057446115,0.13182625110675167,0.004239798968612386,0.004414929055646461,0.0008554856135054481
Cardiocytes,6.839068883175258e-07,0.8289358168881562,0.000146440407566123,0.0006274848823575004,7.525937342090394e-08,0.00042020806750565367,0.000118900507323569,0.00010953377401669421,4.479621646682632e-05,0.00013431006178087505,4.1354801571840257e-07,5.7279612639352695e-11,0.00038185992848374043,0.00027880634798944584,0.001885836162986412,0.15958550859349524,6.495480309621853e-05,0.000145785935166959,2.8754530438612304e-05,4.482542943717255e-05,3.871454806849968e-06,6.466158199909446e-06,0.006411805398570304,0.0006228616805986566
Definitive_erythroid,0.00013543874255540468,0.0010703583858019446,0.2915626017317564,0.002463285450897679,4.413378291062193e-06,0.0021342929744780203,0.00148009256714006,0.0006121016023463057,0.020565994881884826,0.0001705206289391014,0.00024189040617052959,7.689932181516634e-10,0.0024031315617479006,0.12321743476299737,0.016119915157540465,0.0008102026348610411,0.002825172937441808,0.0004453823554736089,0.004120365968878904,0.00043591898355601906,9.480248500402298e-05,0.15766485709350503,0.24572813728947843,0.1256936872502608
Endothelium,0.0011140367443081905,0.0003355959988801677,0.0021148288572556706,0.8362256084653548,4.5036739532154245e-05,0.005391172001947368,0.004914578396217033,0.0039190565211754905,0.003308481688974267,0.0015133941409942054,0.0013933333927067073,4.730946214458427e-06,0.006206666899398428,0.00459746912088844,0.02493116943849837,0.002631164557413001,0.003908552134112503,0.002278368864540339,0.002653593598430637,0.0027348188947954235,0.00038824759175662703,0.021706388734062502,0.04746987554926707,0.020213830723276212
Ependymal_cells,0.0025507395616331803,0.004315714350977191,1.3485207088761148e-05,0.0050851171826174725,0.6487104295398068,0.034408800297113774,0.12732128796437242,0.05995067580345745,3.4291759213851395e-05,0.01484201848212655,3.092033147664494e-05,8.425086705904806e-05,0.0040778308167419095,0.000982364755860403,0.017631042745193948,0.0010165262499671347,0.0002796785556156738,0.0019536069590450223,0.060171306121340105,0.00020223544557294434,0.00019370658261120476,0.005743002052211546,0.0031938997556642153,0.007207068613232749
Epithelial_cells,0.001013572505624556,0.0003702602631785519,0.003038464763844492,0.00972847140669699,0.0008219925137058719,0.5207776146783434,0.07530494490594415,0.04857865642816651,0.006364317996500469,0.02238514037470631,0.016861003913934407,0.00031970533500502664,0.04142196354923444,0.0019640278795590286,0.05978373427845464,0.009919655179043826,0.006055743800477899,0.004448300962725265,0.010406102684370293,0.01571550129213352,0.011231342079806323,0.02223171428446743,0.10388778779581113,0.00736998112826552
Eye_and_other,0.05364066913527268,0.00012128311498536221,0.0003514284781263964,0.0024749626442157227,0.0029354834799249787,0.03532725817406554,0.48551521930310976,0.028332558367630222,0.0022926308782859036,0.0436615332078538,0.11807155927358572,2.179945489254002e-06,0.015588446888066943,0.00024256273751119587,0.0644204816775954,0.011329031139848062,0.007944300483572003,0.00943937397897433,0.06809068970102572,0.0008625657917174669,0.010531866542246129,0.021008285865694375,0.016131651935945377,0.0016839772552576632
Gut,0.0009288244397629292,0.0003342883087092664,0.0011300335182419761,0.006716807618087753,0.004098066175845808,0.07288302481753063,0.032936662796435055,0.32236718818812404,0.017326731327557493,0.06339293070797172,0.033450056175895304,4.3175346173384716e-05,0.17272159183020683,0.003794902082324331,0.0771874781084261,0.007384280385537478,0.00702595825250735,0.0038071885541349176,0.01052206740336766,0.01169913980815746,0.013767498070360268,0.026421382187037785,0.10542920645005775,0.004631517447546696
Hepatocytes,4.1631587165058235e-05,2.843621039821219e-06,3.0544486064762784e-05,9.841922031388897e-05,5.735336957560849e-07,0.00028852138988810495,0.00019321774932427413,9.01719292430599e-05,0.9883615843274018,9.621043774732118e-06,6.012293955329965e-05,1.5480340467427445e-16,2.8497286153564082e-05,1.2495832062592756e-05,0.0013392305171056012,0.0003452668188427932,7.723602541521905e-05,5.003217175615133e-05,0.0003148297113655927,1.549224594582094e-06,3.84631657703212e-05,0.001443562399135899,6.599273405389704e-06,0.0071649857469276304
Intermediate_mesoderm_and_kidney,0.0007471496901699909,0.0048675918716465745,0.0031218752114151346,0.006539931954884997,8.749416113935787e-05,0.033953036948916146,0.0679570656711913,0.1299426847378931,0.0017546992664202094,0.40795510810216223,0.004512608495159861,0.00017959035089553806,0.06577567724398214,0.0012218924180245334,0.10597897269784853,0.011338165906428605,0.004429257919102185,0.003029113155125152,0.011639120932316463,0.02074864124168309,0.050980560235249196,0.018514504566747702,0.03767804038202871,0.007047216839569214
