,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.9355558790384032,4.901735044913987e-06,0.00047641055491081454,5.995269754166957e-05,5.31460639290488e-07,0.0004741699675530712,0.00027396545739236285,3.057276443782209e-05,7.74264707763939e-06,2.1489126619652657e-05,0.01815732460074248,9.162317290626684e-07,8.842477013256329e-07,5.931501264555905e-06,2.3827841173899894e-05,0.0030363030315504846,0.00026621985172863526,0.00033723881084137946,0.0048021191657432235,0.03500756784838812,3.250173782289429e-21,0.0012045123593576825,3.0186885867786375e-05,4.153531087727877e-06,0.00021719864320320087
Cardiocytes,0.020184827134541568,0.7429734847112397,0.0003466392403645627,0.005187414850917756,0.00010592862048344267,0.010408719600730375,4.167888831536237e-05,8.647863873731421e-05,1.3568032736928473e-05,0.010150765586157195,2.194054580237246e-05,1.355840209704058e-06,8.638758558010044e-07,0.0008677755109844553,0.0007614178272586372,0.0602681183237876,0.1396122049912351,0.0007239416959844647,0.0010956161981029702,0.005389408017436715,1.2852217471213114e-27,5.576469914088255e-05,5.7792519545238637e-05,5.157988006460997e-06,0.0016391366624253915
Definitive_erythroid,0.0014078521282627787,2.698427966296688e-06,0.8209098967856233,0.0009721562139178787,8.211763223488096e-07,0.0025925768355367093,1.0986018148595243e-05,0.00027468805677238365,0.0001392852392771012,7.632828591993491e-05,7.614852611562301e-05,4.808623423308679e-07,6.52709588410339e-06,0.0001174907563501314,0.009316308190444598,0.016832083041919188,0.003028667223189736,0.001412667647929491,0.0005801900843070548,0.009050096158419074,8.60523276264866e-25,9.434418407258564e-06,0.09480092436957799,0.0007508373631159569,0.03763085509425009
Endothelium,0.015318130969317926,3.2315257700456004e-05,0.012689154668002748,0.7538828935816264,0.0003879846800734927,0.01718528266216946,7.981385175575816e-05,0.0013214126499467144,0.0001610202052893426,0.0008131387326235827,0.00028759093639341333,9.582043537411316e-06,3.890384060117641e-05,0.0008162574406766761,0.010725850445085172,0.10111684413134095,0.006465980811324668,0.005822965015666979,0.0020139933132569164,0.019290693661843397,6.949577907345695e-15,0.00022008278722672925,0.0015051567607214588,0.0006514568954493131,0.049163494658362714
Ependymal_cells,0.1549572290032868,0.000991683183012891,0.0015934542150600438,0.0005401792964711873,0.39117355656486796,0.04712278590332687,0.0003599327037988736,0.00034079195924193454,3.9815846635549066e-05,0.033271598303568024,0.011896758822016618,3.7266462142239743e-06,1.1117981137444557e-05,9.010072631649066e-05,0.06432074065312941,0.021135700067814702,0.0015905580347930863,0.001299887380797172,0.0028189489483922575,0.2568764589505122,1.5955649406836248e-20,0.0006021757498981888,0.004452510568612368,4.0831577556059946e-05,0.004469456913539631
Epithelial_cells,0.047613826939802664,0.00010505584404557278,0.012073070124889822,0.003994574566087466,0.001644325009291325,0.6104746744823343,0.0007531428324541781,0.006567273418839654,0.0002797836935051332,0.005700229375672522,0.000706063023523049,0.0007316843465249641,0.00036022111794313587,0.0008454661733314886,0.0021693088402070715,0.19677256531737172,0.017353343821398907,0.009885382333104367,0.0062988467087861525,0.0589195236240258,9.451876297974811e-12,0.0014750275705194516,0.0008766886446337354,0.001445571352389654,0.012954350829865888
Eye_and_other,0.21915921725607782,1.9554766087716345e-05,0.001957384517537105,0.0003292366836610309,0.0006877109572047407,0.027012543971973967,0.21420535632090168,0.0010354852372358573,4.992899326680344e-05,0.0014382561492201193,0.0030814151267520495,9.532641126783321e-05,1.024645126978034e-05,0.00011986322350071502,0.0003488662556834168,0.04004367942368669,0.0038316603747089897,0.006108501554419298,0.007075891399525285,0.4702057850386918,6.077083140985311e-22,0.00028806795010468203,0.00044994423105979936,3.871353820637329e-05,0.002407364167956415
Gut,0.12798214068480201,3.102475265450128e-05,0.012133580736548782,0.009028903286092516,0.001300146115916192,0.21685345656849145,0.0004653591062263897,0.06870339869758867,0.0005378008400569672,0.019276814700551776,0.0010429767515534763,0.011896256459437423,0.0005506259087189844,0.0013727898594357018,0.0027253930690628765,0.3839251133937161,0.01928888464122229,0.01003665765040266,0.02894056799491316,0.04969421071701834,8.476972994041826e-14,0.004597314672849328,0.0021168543207363702,0.0034691253974475245,0.024030603674471684
Hepatocytes,0.0022425657154637336,1.483831232643246e-06,0.006931201382093304,0.000521106725695068,2.8460307314572556e-06,0.0042554938170159436,8.781169897729551e-06,0.0002884264808036906,0.9496019883924244,5.6899715349509844e-05,6.384474087703134e-05,4.952054478148638e-07,5.741271949570376e-06,3.8780873912411585e-05,0.00020048983543898515,0.019623554209681864,0.0027256080635647477,0.0009764450782058568,0.0028858598144286636,0.006348304718797864,7.723131998661725e-25,9.772927527695844e-06,0.0002675382242446766,0.0005667102762645692,0.0023760614989507866
Intermediate_mesoderm_and_kidney,0.07073641183482449,0.007657750899534462,0.003900017322218782,0.0013354810168992894,0.0025757664263265736,0.12258235989217627,0.0009461227936846349,0.0067120770615613085,6.569557051750531e-05,0.3070779003073699,0.0003068505185876935,0.00020441955297664108,9.232373592377684e-05,0.0006803970082600271,0.008606761200801033,0.3873453933502294,0.009257183881509376,0.008689757878908392,0.0059656117354562254,0.03995073417562007,7.31180251641236e-17,0.0011962875168714073,0.0018399954778902492,0.003582576472161509,0.008692124369690968
