,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.24603192297680787,0.00755354894494498,0.06129945760890058,0.00011298174509715691,0.06332350851616093,0.024635115056966625,0.0003819146857853497,0.053692213258123525,0.003985527644461775,0.0003452667331145975,0.008340722383723796,0.0031562484114028024,0.013048903763945885,0.01682198135126617,0.01692437096044453,0.006331813850991642,0.0017539059956974239,0.0004108925563709635,0.2950189565075234,0.09004117271698707,0.007636474376962861,0.005151700030723818,0.03556485659077294,0.008316863760766444,0.0004899509040272755,5.16393001389058e-05,0.0015690318193478702,0.002623201018655097,6.827011739365698e-05,0.02531758641249404
B_cells,0.011193251813991908,0.3295636942913123,0.1050862575077568,0.0002343813514725643,0.1336376735877892,0.018989033112800566,0.0005548226467283327,0.026935390653231313,0.005055050626082151,0.00019428059295586525,0.0034763395714781957,0.004159420477331268,0.006318814912417278,0.020328567479403932,0.012641161400219456,0.007101893790904237,0.006159115900045503,0.0013640289664850615,0.13313228577869915,0.03330093421257627,0.005097259098661038,0.005322470603935728,0.03684582378569099,0.008224999955886662,0.0005627870849661587,8.000794744705693e-05,0.000801870116835511,0.005717992611544104,9.836168426071506e-06,0.07791055395292532
CNS_neurons,0.00014079283714573974,9.897711228513193e-05,0.9336977921549845,1.7535258121112996e-05,0.00398513916932055,0.0006861686648090322,6.785769895507268e-05,0.0019010815857444933,0.001547826193140565,0.00030105494179255554,0.0001541766834412767,0.00035891000439934703,0.000386180378303145,0.025663984406402572,0.0003665680072810717,0.0003663184710620295,0.00013823897626156085,2.536618503333292e-05,0.009953135626738628,0.001852904157041611,0.00047179525388483693,0.003912521626650095,0.010663405927998618,0.0009053477288734725,0.00040587994439312717,1.027082493767349e-06,1.893315316623576e-05,9.375660590832498e-05,4.632353374786184e-07,0.0018168609290306827
Cardiocytes,0.001506656399711329,0.0008727951158318416,0.04373332833126675,0.20318379882248488,0.028569323779017844,0.027338245727562487,0.0003257216576058423,0.031078945667995517,0.004179548913974332,0.00018515348969063949,0.001638300940357714,0.0018531550780348442,0.02525336467218507,0.01745584410897625,0.003917866364113605,0.0033619478153048272,0.001465598112921154,0.008737138422633921,0.1464329949604989,0.32865226081203863,0.0069779064108057695,0.008421198416869611,0.035549625551471856,0.011643644355841509,0.0006304932140152733,7.156707356527169e-06,0.0003643353972745857,0.0009514772628149151,0.0009299471222808113,0.054782226369062784
Definitive_erythroid,0.0014462135494362597,0.0010138611375344474,0.025691818023451857,9.07865454415274e-05,0.8509574988626221,0.004671465528681084,0.00022085282763052152,0.009740215566031378,0.001959948302614077,7.862935906666851e-05,0.0011435327863408527,0.0018407420418218579,0.0018890910704113734,0.007537153891214791,0.003508909314913308,0.002505365252275478,0.0013866242724632197,0.00044968505232615476,0.03468578624313415,0.010287277231332504,0.0017429128933945557,0.0011017165198435545,0.013800075050761534,0.0008219720777003144,0.0002775962884525522,8.509609912058041e-05,0.00022243939381795085,0.001885143426913136,5.765760325407148e-07,0.018957014815219726
Endothelium,0.0050907343273632255,0.0021729736506605445,0.06517592653193084,0.0012494683881934538,0.04249055948994896,0.3821955524865608,0.001293964884210736,0.07329098695475668,0.0077065455646591705,0.000321987135132608,0.0071277663176947965,0.00273973604274768,0.013834133395389307,0.022303435389053404,0.022218545338517845,0.010715996576335127,0.0057439867821287615,0.0008741740964639112,0.17599844488747032,0.036923415027796544,0.009468270226973564,0.004210366761311317,0.039563554272773124,0.005429981139467003,0.0008295760862885558,2.613350559424582e-05,0.0014476169234179663,0.002917787917887301,0.0012145404164818068,0.055423839482790414
Ependymal_cells,0.0012595146733731324,0.0007122389436472266,0.17707720138769953,0.0001119463439930784,0.029216446745131366,0.014944171034608785,0.13091707750527498,0.15752487814232094,0.011542661957283578,0.0022856275336704435,0.014045958702190808,0.0019619761254688287,0.01224793961286219,0.016957088184427743,0.031564169755341556,0.016254144423579628,0.003478144131302642,0.0017570167917755181,0.13816637433036352,0.011700861090721751,0.006902339065877059,0.003341895575828073,0.1324888522294438,0.04440358590694127,0.0010142247586368458,1.4912789555387842e-05,0.003403308858477118,0.002477026226517681,0.0015006515872806186,0.030727765586404915
Epithelial_cells,0.003900154491060387,0.0014207561024914565,0.11282539359897632,0.00015971460368649452,0.0487039647660662,0.0256125572892285,0.0029317673741186085,0.2521029709031663,0.016081837926149062,0.0016638347867581735,0.01733672803935293,0.003043376605722297,0.03449158368117003,0.032892223424885465,0.03720143062291874,0.017862610506617912,0.003881076580963185,0.0015913087398019233,0.19909277544601325,0.03208527711802104,0.015675844613831678,0.006570851425766973,0.07889812434240887,0.011031174093330601,0.0011343938523533594,2.9902779694870055e-05,0.006458201906848156,0.0026499668583631546,0.001321954186094407,0.03134824333413965
Eye_and_other,0.0012000573534298891,0.0006877698002995474,0.21810031302397406,0.00012467056721589853,0.029709822064421618,0.006522218805985695,0.0006684887451297493,0.01841379174131027,0.43570411934865527,0.0004234160949595332,0.0014872453424520009,0.0020686178814551784,0.006042721782480431,0.047388617742828355,0.0041294759830887255,0.003535399039801843,0.0012695889666923927,0.00022019583052863294,0.07943823321560313,0.014723267652762006,0.006209347035401414,0.006208779859943976,0.0935391128824891,0.0035561540293859726,0.0031880478442827998,1.2722565983708739e-05,0.00022889285557007167,0.0008679478341762548,4.1158204801616836e-05,0.014289805904890833
Glands,0.0002816767225389632,0.00014238105337742094,0.7004708279189921,3.09065419170137e-05,0.006424435076365687,0.0012651760396797398,0.00034415423223544523,0.00415625494457971,0.0032973497302493924,0.07962873159121711,0.0006772938293757469,0.0011844198993304284,0.0011758436994379789,0.021403462431264238,0.0008188661455549862,0.0007991069158132301,0.0002693614664329682,4.254143781421738e-05,0.03474651094253792,0.003508752027322733,0.0010994626794833796,0.041424734201101515,0.015026457748483116,0.0774190161622992,0.0012326780058096358,2.0931223652187425e-06,3.1171434053957724e-05,0.0001590832751365007,1.909804168026943e-05,0.0029181526835502557
