,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.999989150326228,6.372171224737208e-09,1.3754660582537928e-11,7.670275069259747e-09,2.634129482688531e-06,7.159854919500827e-10,2.215249647664331e-06,1.0872600579916912e-09,2.6092203555237746e-07,1.1074632859382565e-10,3.8177523302709734e-09,4.571255866386875e-11,1.478364308562054e-07,8.434164997105398e-08,6.305434386568038e-08,5.343660616399332e-09,1.4044195472573863e-06,2.2796977601837857e-09,5.5893796167013316e-08,9.87358587946933e-07,4.029553351092093e-10,1.247669130421911e-07,3.862934271718875e-11,9.593834044894294e-11,2.1872526723052466e-06,7.027401937800743e-08,3.008679238621873e-07,2.853121823037796e-07
CNS_neurons,4.622148948193383e-05,0.4877837833823586,0.00020928250244872386,0.00037608244035374253,0.004728404166669732,0.0014782710100495252,0.0163984071675161,0.053580738820570774,0.005431241088211321,0.00018015837600237263,0.008365226711429228,0.17174979215641256,0.0026051130819507063,0.0022331102995842614,0.0010761321466364597,0.000373437368183631,0.016884412199526903,0.0011121574451885422,0.015826834091547545,0.08060840174024995,0.03138172202802355,0.04342454830631382,0.035460742990766105,0.0006817131896250798,0.0006154079207080258,0.002621758608079452,0.004743466910296615,0.010023432361814697
Cardiocytes,3.638765803402865e-06,0.00045158502470462366,0.6616447438972349,0.0009935356286378818,0.10223392021969482,0.004775968788256179,0.021965180910771383,0.00197494380886866,0.005873293437958026,0.00017221968596520205,0.005192051072711002,0.0005367461702297825,0.0009106191157907372,0.003027941699827611,0.0025232682964926607,0.0024746819015908786,0.0086073353768126,0.10832943325320257,0.035982712885688474,0.0008921933663323051,0.002544318745509395,0.0002643912740911006,0.00013795461507378292,0.00584978359912187,0.0022062323898255826,0.003319448893368634,0.0038114807582916256,0.013300376418144308
Definitive_erythroid,0.0006046211203947226,0.0007241976507611439,0.00016227476312998722,0.5623626521292264,0.007240334585793165,0.00035439463344561547,0.012005986586298575,0.00321621541005028,0.004632873331400885,0.0004311467659342796,0.0027152972404922656,0.0012143895446177896,0.005394047517857647,0.005116712207853473,0.016289410432861157,0.00752669022124878,0.007579750466145267,0.0023594539928843065,0.011663987216936893,0.00171088742408506,0.005185865708007912,0.0005278090049071315,8.86106927961716e-06,0.14520938258785202,0.04320701525434569,0.034315841901640685,0.01779469790629144,0.10044520332625782
Endothelium,1.4764335315191245e-05,0.0010370391182420277,0.0008561773180295975,0.001239788978497636,0.751593069797174,0.003833625549569389,0.024943929711753448,0.00521963892757193,0.007508814033614898,0.00022677271541335936,0.011432589282074473,0.0017582171515890146,0.005063622369472473,0.013040613668581258,0.0035997436704385375,0.0015199912346290775,0.04127551705611658,0.0037124683962010425,0.04556292022687716,0.0032513302997108674,0.0063743918667179145,0.0010446184543508432,0.00040905486989466856,0.002080326945435255,0.006026134026863611,0.00757371837092223,0.0219182432771593,0.02788287834778422
Ependymal_cells,8.363146142430445e-08,0.0002491665248094851,6.0291335708241746e-05,0.0001447790520642576,0.001656859414841331,0.9305048643752268,0.02200488155971749,0.002996963892570231,0.0009256233530549791,1.667313635168405e-05,0.0008847218745904619,0.0003779123046505862,0.00016997317757392526,0.000828327494760908,0.0004196151280392953,0.00012321357783939355,0.003517447287032085,0.00015314633114985572,0.00787719022040518,0.0003164307786259908,0.015012755183934707,0.0006878708856926239,0.0027541399077708893,0.0005127485853123378,3.094501007083852e-05,0.0011178126646851658,0.0005020920424176473,0.0061534712696421565
Epithelial_cells,2.774045934158406e-05,0.0020957737890307158,0.0012190511758327911,0.001499227345177111,0.0209257879384752,0.003696647192087248,0.5841478033886199,0.02508950201043129,0.04691596268595443,0.0003262838830458451,0.02432322470709939,0.003671679598337614,0.012289456864360523,0.040868434526985783,0.004607009641906935,0.002650142380254763,0.034879233237466556,0.004834965274598729,0.07543317876151946,0.009601987774289375,0.014930021756212329,0.006615131542298915,0.0016848866144432584,0.004174850827159452,0.008051169000850763,0.010646255549326538,0.030779307310466866,0.0240152847644266
Eye_and_other,6.59458022674352e-06,0.012057420198345414,0.0001717346809661646,0.0006075969711626618,0.0045267853498545995,0.0030787029170359216,0.009491978672725386,0.8537758760477557,0.0023416179465408087,0.00011153439291287707,0.0032992766461525493,0.010053202010196865,0.0009449634347745344,0.002659839212937902,0.0017583872248943754,0.0007557431442352364,0.009844396705378785,0.0014588421184037344,0.02205440292411993,0.006441054545572451,0.030992629328696064,0.0023734379777048294,0.000944203359176105,0.0017699681041187824,0.0009446681473253973,0.0033717537951212352,0.004746994233370756,0.009416395330294104
Glands,4.778580388805915e-07,0.0017739881452872195,0.0004500417598242563,4.56024892208114e-06,0.0011209092863652484,0.23303838241497526,0.2549231205716599,0.06177078954415239,0.004813846858772537,4.840108156635624e-06,0.0919419698381042,0.0011293574293753544,0.007648289235155356,0.0016084274062570514,0.00014654144511397024,0.00020733449769944127,0.018680090886954975,0.00016408038732993263,0.051870380377853464,0.006255800015020899,0.006496218595704257,0.1706868015198094,0.027158119105461367,0.012349969006392151,0.00022235981498111584,0.00017650636890148962,0.04467515766345003,0.0006816396102811514
Gut,6.08688773579283e-05,0.002476880967058897,0.0004675327690167723,0.0013542187779901887,0.029067033217638875,0.004853319262470993,0.1173227699798069,0.01623750998603395,0.18952869922850119,0.0006840025146612014,0.03793699950091691,0.003244529169052462,0.04627783860117191,0.2581976293348319,0.005104324194599112,0.008411053370147728,0.03321352895403276,0.004882325769035932,0.0671308620864268,0.005326127042426226,0.010509115396438659,0.004480276151344199,0.0006580308972571951,0.003285519701394833,0.007564528201537551,0.012470750775953065,0.10391995066179487,0.025333774611100954
