,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,T_cells,White_blood_cells
CNS_neurons,0.7414899926239009,1.3806616436604195e-07,1.7176486986554577e-05,3.0250639659811623e-05,2.563266138179104e-06,0.00024210097075002052,0.0106577972942666,0.0006463931457635057,1.2159713901825224e-05,0.0001458370187723953,0.21404066513293882,2.0539489373153625e-05,0.00011761894710143281,3.957245797796971e-08,4.652119403834474e-07,0.0008125597879936627,4.506051032787778e-05,0.0001234089944572265,0.014612522878451375,0.011550981333276731,6.43654169558195e-05,0.005247632365577316,2.9275137410332533e-05,8.464847428197541e-05,7.751636611588068e-08,5.730004785612205e-06
Cardiocytes,0.00853046642852975,0.49013689906701957,0.00016732139157756175,0.0007956161499624463,0.010269592979393708,0.07761795465049459,0.012732522913163676,0.014228691629770588,0.00014578633335473137,0.05106574064211018,0.001699382827464913,0.00335330943194909,0.005250511917335049,1.0657383851082323e-05,1.713170890206657e-05,0.027792260646742065,0.2739584023069224,0.0019102116641765616,0.0016085401142780372,0.009451858268538197,0.001233045304806759,0.00012826623567191054,0.0001765485132207695,0.00726332389242117,0.00025140845118714396,0.0002045491471559518
Definitive_erythroid,0.006611513902060306,1.3892938176069445e-05,0.4975223889290983,0.005393529222454078,6.327533343824962e-05,0.01713457078393583,0.009947870622573211,0.028382627416268773,0.018609910642556012,0.0027360710832382857,0.00654716509558844,0.023844271703599873,0.01503275905654812,7.209110985496921e-05,0.021123921113690148,0.04189487094690967,0.0038047288877686857,0.008559497672054207,0.0033669993308370855,0.04234775824546475,0.0005526140253130098,0.00023489895290096507,0.18301966576543652,0.054118853122870375,0.00019315356517491937,0.008871100532189145
Endothelium,0.013234041209578483,0.0002425516208888204,0.003259491770055996,0.7980023964311641,0.0012445315554967375,0.017739984572972937,0.00634087927926217,0.021141303029616223,0.004594115859675664,0.005262345839268858,0.0056468758795602215,0.008186121210412227,0.014056317991701803,6.768316564283944e-06,4.115137431511012e-05,0.06032572867000399,0.002044476037899549,0.004121161866015953,0.0037037533459204647,0.020792956732840987,0.0022518727210941933,0.0004024002572837313,0.0013803991747802105,0.005465216760556352,2.759025940893991e-05,0.00048556823366203316
Ependymal_cells,0.008621127320772427,1.7768876029003317e-06,3.86799224328965e-06,0.00045075365430048545,0.7434699721871656,0.01874918501730549,0.005576946893981926,0.00021553935307061568,5.840908034743467e-07,0.00038348960186468546,0.07630167214522238,4.553409684518092e-09,3.961402815961982e-05,3.085465719056834e-08,1.1264442085701876e-06,0.0013207922682848552,1.8048627761140932e-05,3.925948525967805e-05,0.00035414961983941086,0.11553247743961172,5.8410560777591306e-05,0.02884884668554967,8.77620642829607e-06,2.9562424511359846e-09,9.483122486231599e-08,3.4502942519829807e-06
Epithelial_cells,0.024255376060549717,1.2824295350107243e-05,0.00048753147212279516,0.0016070378313902322,0.0015644321523446995,0.5752604544805784,0.07723233024592469,0.05229885450045736,0.0006381125938867536,0.01461935773408836,0.014415509851045874,0.054906229857110016,0.02684800299306192,4.29896995369996e-06,2.3696811452235837e-05,0.06495038353390706,0.004116406156399681,0.011642838708931803,0.006219169061217212,0.0595607714210745,0.003342240083233833,0.0021351913237026214,0.0009027412650780728,0.0026303752987196145,1.708487962556496e-05,0.0003087484187931838
Eye_and_other,0.0977376578138361,5.749403223746142e-06,5.485946995716616e-05,0.00019540150761867644,0.001190876880444013,0.0074924213017839945,0.5476851201048836,0.007000361234000689,0.0002711220165336724,0.02375204374894058,0.07555824156379277,0.0003141534247871774,0.0014385945871753737,7.786581672935361e-07,6.462490236786977e-06,0.013002973358530491,0.000691998833249082,0.002683117624408765,0.03141211940427198,0.18658544719790343,0.0018417154488177111,0.00039954321524710457,0.00016861475080265796,0.0004641232440580324,1.5582561836295104e-06,4.494446114547701e-05
Gut,0.021498455061927317,7.388574089108143e-06,0.0005836252910447408,0.0017996779916941803,0.00028459841702277244,0.07948149861680767,0.045944866492351376,0.24842982372305936,0.02145623448368703,0.07557823624021252,0.013492420521120855,0.16113567597571749,0.1421197972473128,3.85998152032933e-06,2.0345856992679216e-05,0.1011834905052251,0.004554585623034493,0.011790622205202224,0.006845863640206332,0.05235176613149209,0.0010534656627272198,0.00229550738587819,0.0007279621897246572,0.007104387149322588,1.1761491074909095e-05,0.00024408354155193974
Hepatocytes,0.0019218350190898644,6.910227103527523e-07,0.0001550884345691847,0.00018227021914082753,3.0875970176053025e-05,0.0016418267151437698,0.0025062086228544718,0.002003943328201089,0.9822082585333538,0.0005219563643957185,0.0007318689071244216,4.959363228891684e-06,0.00031967598111328995,3.067404200096268e-07,4.2924798723277575e-06,0.00335846540905438,0.0001702979800524471,0.0003262376434605331,0.00030362347227903136,0.003163161010252352,5.18615200981156e-05,5.106754940804272e-05,0.0002398195663468263,5.983882551006754e-05,2.616253158768419e-06,3.895306898533086e-05
Intermediate_mesoderm_and_kidney,0.0178486437767051,5.039955162597113e-06,0.00014975264839302006,0.0018235827386451067,0.002677037751971399,0.06151706136074104,0.0778697552661639,0.0480349866511993,0.0021774055600365634,0.627367355175853,0.008291848643022952,0.01944783633968116,0.010325959519794314,1.3987008249499983e-06,1.1090640846608334e-05,0.06524257132006195,0.0025223201649003826,0.0029102986584357755,0.003608922346925634,0.03343498589009202,0.006104766176115813,0.0073194394103073615,0.00023035534020502145,0.0009818146590652305,1.2822298688885456e-05,8.29490061609626e-05
