,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,8.432686230460873e-06,0.07509861598083849,0.04820780376666874,1.0914762906141538e-05,0.3698086665427066,0.018762006633877313,0.0001251009019722777,0.02332471825448431,1.1090773788499267e-05,0.0014219657451279859,1.4636829272207627e-05,0.00024032150401309015,0.01041736982776176,0.000183472857558007,0.004317260144158434,6.853511566260297e-05,0.0006342966029539922,0.004869400819689123,0.005355314211589352,0.1587978101966981,0.025559378479379814,0.0033307925029334912,0.005158871260303479,0.04123262939234474,0.0027573345508655777,1.044443952039428e-05,0.00018197192927434292,0.0005874822157028519,0.00522780589882297,2.6619882917895544e-10,0.19427555490669599
CNS_neurons,4.42568713607664e-06,2.6875236322643715e-05,0.8625489109066274,4.870575607093281e-06,0.005194133180433899,0.0008367270568619861,0.00015241105582661493,0.003011802966117671,7.400697796537402e-06,0.0013932400788870503,0.0004098986203225864,0.00021715090307640743,0.002090272694270726,2.799316003251272e-05,0.058017445708370516,6.336432460233361e-06,4.57704962444701e-05,0.00011969812897495172,0.00010130521940491479,0.011758333269229261,0.0018783162288008486,0.0008655758241173071,0.013321089905449153,0.032862964446232545,0.0025935962491402285,0.0004571554165893176,2.15877464852557e-05,8.598850315486374e-06,4.935696889181647e-05,8.478154814744228e-08,0.001966671508426294
Cardiocytes,2.3417378192949865e-06,4.8335151883344284e-05,0.01248324420543232,0.07608871035683636,0.008454340162834436,0.006848024500533894,0.0004261431931679448,0.0148580296520513,6.922910474159593e-05,0.0013177022371539688,0.00010157146245369327,0.00013054055464397274,0.0009178634981214226,8.918858800606372e-05,0.0020063988735527453,6.063890391571599e-05,0.00019514322635540385,0.0012904665184846897,0.0012331016942188164,0.037914033324547375,0.755053417124595,0.003194189271672878,0.0007929910464421223,0.05586419138299313,0.0004637422638515109,0.0011490097699158942,0.00030686286889029134,3.2494728115281303e-06,0.0005849328474874294,5.457784725799475e-13,0.018052367004040084
Definitive_erythroid,2.621496116451828e-07,0.00017126750915917515,0.0021183394064556854,1.799041208632528e-06,0.9544809956391918,0.001255957009311895,0.0001442603026938905,0.0032863595367211337,2.355773981010817e-06,0.00040973480590686184,3.0909786132902993e-06,4.0232275112052724e-05,0.002174353572784633,2.3768675744014798e-05,0.0005733546283801285,5.9757925021272825e-06,5.0238401735455106e-05,0.0009304785536530956,0.001328670721593638,0.005439167193453599,0.003072937411606584,0.00039524589971888833,0.0002769189157463976,0.006755795215040037,6.480462952901058e-05,1.9119644177303347e-06,0.00035719956613225294,0.00018695868009384605,0.00040611618095907453,3.9593880232575303e-10,0.016041449173003593
Endothelium,1.4346447036003975e-05,0.00169540807386761,0.0199649592256271,0.0002461138678051665,0.10716745615195528,0.262070955958693,0.001119656486415248,0.0721243692726056,3.9309695633486035e-05,0.0017817300258817714,0.0001685444262148171,0.0036072564225300215,0.01884149747198935,0.00048044577869053086,0.007152327512000702,0.0003405229294377121,0.0016562168599153948,0.009729565024560271,0.01134552779874747,0.12443963613597865,0.03859537432102731,0.022454285484366846,0.0024804244456814663,0.056656056616893005,0.0010081059398429032,4.7662424970447706e-05,0.0008579545795606087,0.0007417353134149988,0.004105218718079992,8.187236970916723e-05,0.22898546422086805
Ependymal_cells,1.9326652229158984e-06,9.46244164323629e-05,0.028934451440723947,5.653980527101303e-05,0.020372256864518202,0.01131820298142036,0.5766829454319888,0.03170998967697548,1.3659507587054688e-05,0.006892649204890913,0.004136664082736665,0.001766022340825177,0.001978439172084231,0.00020725599540929584,0.010863746514026286,2.0300529438933438e-05,0.000480178166401507,0.0007671771883809071,0.0004852818423380606,0.07467445939311057,0.004766023830939712,0.006137691315837188,0.0010666973454613383,0.20441431768194793,0.0019591975853346724,0.0004618614119136024,0.0001504328716733826,1.7051556625470166e-05,0.00023916206815219023,8.692067100459923e-11,0.009330787025411137
Epithelial_cells,2.0427238028674593e-05,0.000565693881695168,0.04118480112400041,0.0002008879795562447,0.101700014170109,0.03796260014236721,0.002957839716832616,0.36586251424650773,6.092459008163591e-05,0.003461771603942264,0.0010526950812969995,0.0016343476989894808,0.01901165559882365,0.002991019712977609,0.010426225949403395,0.0005107184346310629,0.0021400018343499835,0.006685223817439742,0.003911411343711235,0.15294059931191265,0.034829862006199516,0.018405969969545192,0.0035480821553604052,0.11997470118578996,0.002962295629638463,0.00015966410677314624,0.0006376682356448779,0.0013734804072018036,0.0022686794133423747,7.674287099481687e-05,0.06048148054285271
Eye_and_other,1.8204959056433672e-05,0.00020625582135627842,0.13343857339241535,4.4843698932026497e-05,0.04603045844401402,0.007500029231122405,0.004060782991444895,0.03323264075019711,2.612494630542371e-05,0.16056929661662733,0.000766052288758154,0.00020104364542045624,0.005722576334026008,0.0002999517043742424,0.022301580941557184,0.00015362782996690053,0.0005198257901905932,0.00442821955249542,0.0010790147442304848,0.06897778121125327,0.018173204885393472,0.032463584364034334,0.00586964893358188,0.4256310498193415,0.001712089418639669,0.0004838401841014255,0.0002542177410890459,0.00010211623969521379,0.0006647140308372784,1.5944731178622617e-07,0.025068490042230426
Glands,4.4302772151457904e-07,1.6693562936162044e-06,0.23470573411964632,3.270283755526431e-05,0.0021615120403477785,0.004976832052270876,0.000527932863576848,0.16376436405724826,5.407342718762577e-06,0.002203644372967584,0.09779773895333856,0.0014855148439105708,0.01977700265997548,0.00015839251050750417,0.00711528780648433,3.6820461828721854e-05,0.00011454203334492689,0.0005203428178141914,0.0005605561021599012,0.17917673859661168,0.0018413425641666085,0.04481147372054014,0.02700839984285774,0.16314982530001476,0.04311324434585087,0.001046413385583419,5.4735043621924144e-05,1.071614137901036e-07,0.00015570931210018198,4.381898863862971e-06,0.003691188568664017
Gut,1.1969795238567014e-05,0.0013660491599488448,0.042592428287406586,0.0004394333286051895,0.15860570738729837,0.039034377163283986,0.0016632100027597274,0.11796408339921496,0.0003219608881039159,0.007208466171929893,0.0005284320634179723,0.042805865086744756,0.07917690161863918,0.0008939940145778606,0.009324056838068518,0.0010896144370234268,0.001897544983842708,0.009568241254653474,0.0053197205573027526,0.15010973515099763,0.03038653786795055,0.013225264036653283,0.003390536214777129,0.17981700539453863,0.001984240179395433,0.00042880501633057457,0.001960325676422148,0.00033171020642115586,0.005135732180116436,9.46706389005007e-06,0.09340858457444631
