,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Hepatocytes,9.237503865330632e-08,2.154952550570482e-05,0.0006394186021144321,2.1492858927039179e-07,0.01226195965508042,0.00041362445102920825,6.181379341549939e-06,0.000845690660538801,3.3700257328153117e-06,5.058356663250026e-05,1.0274526345152605e-06,1.3453752141415161e-05,0.9769237582508677,6.845918012562904e-06,0.00016435082851097444,2.4478351723195696e-06,1.8161625018868866e-05,7.05552297978677e-05,6.627516230734084e-05,0.002235408859778231,0.0010577217849015187,0.00014402915176856885,8.3644357329943e-05,0.0018956387541614393,2.2638525351645042e-05,5.004038115674049e-07,1.789677652522516e-05,5.370355180957539e-06,4.9589961866302416e-05,3.4686650058145582e-12,0.0029779998417888832
Intermediate_mesoderm_and_kidney,4.355281280263071e-05,0.0004070704704076677,0.0312669996777195,0.000118184723227241,0.05735875198861732,0.024683700726206438,0.001824599658507518,0.12444983153969155,2.9817932344593232e-05,0.0033887454341856075,0.0003240813411785548,0.000801795562602607,0.006651732994382037,0.157983260397455,0.01278981648499918,0.010381271216936869,0.0017832594169413863,0.0029768089201373136,0.0017108500239865231,0.33116436287001716,0.03326832604585091,0.013630407683270725,0.007497174520227042,0.12821911720950904,0.002802126579813481,7.890566569784169e-05,0.0002881283055025809,0.0005119085127688038,0.0018506623693889375,9.989586128724842e-06,0.0417047593294952
Intermediate_neuronal_progenitors,4.020927299608952e-06,3.1220859898421785e-05,0.061697547138164194,1.4729027883291166e-06,0.006866677230476224,0.0009790072926999477,4.216690227585008e-05,0.0028547846918182997,2.1148220353057806e-06,0.0006138961624959431,3.728962744480769e-05,1.8666359653450122e-05,0.000746008237399298,3.0258168781782893e-05,0.8510082384700046,5.86486018371477e-06,6.221793315228793e-05,0.00010732324931344564,8.955888837179777e-05,0.008814383936873338,0.002700744858137321,0.0006186414259804466,0.0006561498051067761,0.05935551283716537,0.0004142239640739166,3.320756026893639e-05,1.4752629954633471e-05,1.5747361662442873e-05,5.443394578556008e-05,3.130023045519367e-08,0.0021238356505034607
Intestine,2.36601947507075e-05,0.0016309627699327193,0.02340395686923918,6.920420122557681e-05,0.18918728314180278,0.040811284778041454,0.00036867319891246346,0.13175354992214192,9.306242023672142e-05,0.00266714458967453,0.00023189624060854732,0.00761433563549295,0.04479718478762219,0.0022027723020085046,0.006422352296673674,0.009925663350958895,0.00360590879786404,0.07663281940141997,0.006616517200426213,0.10708013532561574,0.04473595964805354,0.02003467243246727,0.0029029021223721746,0.09253160420220043,0.0012312070326315043,7.579665468303892e-05,0.0003961741038893477,0.0007129594277540211,0.00414524928521501,1.2764715859749244e-05,0.17808234295022518
Lung_and_airways,7.826330441696188e-06,0.000738344474044222,0.02348102531184011,0.00016189886690997824,0.14258221327774925,0.03386099018778143,0.0004018674813862008,0.1030778327587603,1.3620950597172748e-05,0.0030982153257802926,9.480878717881493e-05,0.004556915894079187,0.03199143082948088,0.002170485293123563,0.006529144256864613,0.0004705262139822011,0.29766754434840514,0.005053124114825204,0.0023654157719307785,0.13101572290805036,0.034042970625701836,0.01786925524587452,0.0022167731909751055,0.09259208639817273,0.0006041652750083366,0.00020955652204154016,0.00029172440923227425,0.0003829006307799164,0.0017521391350018443,0.002988605639547196,0.05771086954445331
Mast_cells,3.2806765253624044e-06,0.002339178454759423,0.015435262525889514,2.683661831765533e-05,0.2794641245956706,0.01511507289460291,0.0001914825399747644,0.02403807817415558,3.405969242609229e-05,0.0013865748136047563,2.8191236092351257e-05,0.0002426152050335114,0.009056117352003104,0.0002209407094579392,0.003938542664329551,0.00010719517700855371,0.00045935530044956496,0.08832786944497534,0.0136971193788541,0.0386298036631221,0.019188776541039444,0.004006548769798062,0.0018312864636067224,0.04128703459669797,0.000486488219407032,3.127870138297576e-05,0.00017014886480449043,0.00031615348299001973,0.010576225777937065,5.640838442051884e-09,0.42936435182424504
Megakaryocytes,5.399126398240867e-07,0.0006194404303247066,0.0047685134116811365,0.000348945104766393,0.08674422293088052,0.013390106527039371,0.0010835208948007972,0.021392083774190156,1.8268431786054104e-05,0.0003531788970156478,2.1169606987485438e-05,0.0008729881595509096,0.001754416429585513,4.6700826604331075e-05,0.0008554772586035856,3.9497516086598985e-05,0.00010963736987721706,0.011871177212605786,0.45292909061917785,0.015242781791553509,0.005905570683979564,0.001661266364428838,0.0005292092464115855,0.018656342450753968,0.00014906589897454783,0.00017306605162683284,0.008874604111765333,5.916154742597176e-05,0.0030454249259813395,6.67219515933641e-11,0.3484845315461727
Mesoderm,6.0571195233385136e-05,0.0005452647830692411,0.030901594775007216,0.00011295773881739571,0.03991367888659557,0.01803602209645564,0.003006405548418271,0.04461088234414073,4.3777754553561436e-05,0.0025310892580547224,0.0006560921070263038,0.0008268277428475616,0.03079420397301214,0.0011233485575126451,0.009472972353174628,0.00018983988417168327,0.0019699539240103027,0.0011351025464492453,0.0009640541608777925,0.6737015587197588,0.03473342823028897,0.010499037402964175,0.0034556988243915118,0.07008046390346466,0.001500974817864736,0.000335662904003823,0.0002363175063865969,0.00010799879554211144,0.0005056566832149499,4.446604920375244e-05,0.017904096533487898
Muscle_cells,1.5629876305819645e-05,0.0004302450873557311,0.021617974152881816,0.0007542600830310295,0.09300849241595234,0.015609738156851745,0.000145427204984578,0.03382187482114259,1.1323134945391915e-05,0.0013358487623520504,4.367200205226701e-05,0.0006680392248959456,0.02206054983524034,0.00020937417311760523,0.008398464310687446,0.00015560798725058195,0.001840751115220911,0.001457853654687283,0.0027696491478704705,0.11385906232228876,0.5715495593737797,0.007273055460114407,0.0020988165372071745,0.05996982638612594,0.000615448484583952,2.01327629400446e-05,0.00013509313283696715,0.0006841054131138078,0.0009760849481129701,7.230297653071842e-05,0.03839173705553962
Neural_crest_PNS_glia,4.8543311364534056e-05,0.0004370314324212633,0.03715273783002467,9.742370326371047e-05,0.08453942835327354,0.036224064018657146,0.0004574165683838325,0.07595426664909578,3.666974993996327e-05,0.004842046687186659,0.00033869559336355417,0.005507087780963211,0.01513622288372947,0.0007889899311933711,0.020093694421012356,0.00040020781418121477,0.001369253728004492,0.005113482024620103,0.0036398998047720206,0.14436710098610928,0.04964735293931172,0.24151788013517433,0.0048236502739915895,0.20083008426732993,0.0013098639911473214,0.00047144513729656254,0.0004434576158274195,0.0005053983323031305,0.0015746531784434025,1.9949398908341524e-05,0.06231200145870611
Neural_crest_PNS_neurons,1.8651827880088446e-05,0.00021241526938162424,0.11147783094445099,1.6375120534622676e-05,0.01947026109802038,0.00598206139318702,0.00017755082767418,0.01891825871349875,2.166515687106413e-05,0.003581518126931269,0.0015858796058486463,0.0004426145812994691,0.012130243738562144,0.00017092221148096786,0.013892106887034298,4.796890443765443e-05,0.00023057559537179056,0.0006409511480626832,0.0005318430326734903,0.046320024841839925,0.013228100846800709,0.0051305759127992,0.6799176280835911,0.047272142062736604,0.008313394813781589,0.0006078111375509801,7.491248703487241e-05,0.00010941796206887196,0.0002479615702352335,2.713544051983827e-06,0.009225622554307752
Neuroectoderm_and_glia,1.3206916541045542e-05,0.0001423816168215131,0.059745547680901505,1.364924202255364e-05,0.03279515424469955,0.004067973318907385,0.002683207681686242,0.016045470126549694,1.3487706665190604e-05,0.006469393750092416,0.00012708069964415883,0.0001355766463531741,0.0034448225772210875,0.000150243580226504,0.03897825710105629,3.0517047618855734e-05,0.0003168741889499956,0.0005129337185324082,0.0004110618405868662,0.04004886830234054,0.01171055926307352,0.0077435925361102565,0.0019267618593793521,0.7601608197060172,0.0008602978376066639,0.0013881866179399547,7.077897464925832e-05,0.00014803918330199393,0.0002776576497036073,3.755648315457877e-08,0.00956756082831804
Olfactory_sensory_neurons,2.475513210501865e-05,0.0002497526547177745,0.07174692941665578,0.00013161681804851294,0.021284937543121538,0.0047516142245234245,0.010891945871215863,0.019853086847871054,1.9817010686046053e-05,0.001912244567246241,0.0009131145644643789,0.00018501783505145221,0.001947323064329885,0.00016669752702323882,0.01843085485202864,6.695747916536147e-05,0.00013211044810957362,0.0006177284430429718,0.00047095861402833377,0.034036103131583784,0.006009695962409827,0.002800846430871734,0.09823136631098878,0.05948989005134848,0.6357272769168133,0.00012998965201562336,0.0003087387258064164,4.838303285538761e-05,0.00027027676296317063,3.2354047849839556e-08,0.009149937754860544
Olidendrocytes,8.050984605193588e-06,6.101033925744417e-05,0.06991024464191081,7.565166176467732e-06,0.01633467746283625,0.0026188530585401306,0.00019117081362755026,0.011738912452330837,2.361397178242566e-05,0.002880346324148013,0.00010056169626653091,5.716225981636246e-05,0.0017341667922601547,9.26148006036871e-05,0.011333596202616416,1.3787238751982903e-05,0.00018429840958017138,0.0005615876408642515,0.00038380392014369984,0.04115610284804847,0.006213713103942989,0.008324572062392692,0.0029769561421599286,0.4051867213679851,0.0007956728974249565,0.41024885454956106,4.026103573998869e-05,5.476811682638225e-05,0.00016850489550445727,5.47422951965533e-11,0.006597848749553296
Primitive_erythroid,4.864912264488349e-07,0.00010314802983161803,0.024247998838250538,0.0031872429566871486,0.35696054191734056,0.017652016472693863,0.001920902556444909,0.061508466741710156,0.00023628240614784502,0.0019319247593275496,0.00036334520672099,0.0020301563590210537,0.0032801787068735314,0.00016743272457639548,0.002287851923391344,9.337563276432694e-05,0.000261908402117618,0.007538831472157251,0.13945505291313415,0.04776733833068316,0.0029065849353059866,0.006411227055311062,0.0011106934612109545,0.0744106038820269,0.0008016289366042622,0.0004623316142719117,0.13798451689126506,1.682657453416918e-05,0.0013906400685467445,6.402622695932056e-13,0.10351046373918223
Primordial_germ_cells,6.29297841126979e-06,0.05499431092800738,0.012149086988541913,1.0200073763884409e-05,0.532293710912578,0.01284722040435773,0.00010011485478100195,0.09681273862566236,1.1027554833130978e-05,0.001015498366945029,1.5444428819461663e-05,0.000249963327714414,0.007435734387223184,0.0001600614005867276,0.0030421691072030697,9.429967625822163e-05,0.00214465744354281,0.010790211829317567,0.0017770028164413997,0.028615601303519124,0.022645817635663115,0.010505912556963627,0.0012431500565393933,0.0445861062224788,0.00047390200859251445,1.463108766523565e-05,3.640369552637799e-05,0.007712418700065352,0.0021021998416712903,9.580509381144625e-05,0.1460183056925151
T_cells,5.023166119065246e-06,0.002171403517675466,0.021964809149342436,4.734522783960927e-05,0.4074610513159436,0.031001475023567066,0.0006600940317915369,0.041142203332128716,5.440567893701463e-05,0.0020159834735206223,4.971366120647435e-05,0.00032634949061396284,0.015509385773299354,0.0003075206799970208,0.005175687425315102,0.000441417364468516,0.0008959046190437865,0.010293927148353447,0.010022229616930306,0.057788838288726406,0.031075237634871838,0.006858141696901889,0.002619613687137828,0.060931269699045776,0.0009705943619810177,5.1996172788999825e-05,0.0008473084394368287,0.00030495596311960196,0.0071008168882984515,1.140293981954083e-09,0.2819052963313043
Testis_and_adrenal,9.9810105277047e-06,0.0012140756095641559,0.02390105710141571,0.00010600739553831853,0.17697659470541938,0.05449605550311077,0.00027451253767004,0.09170770846193481,3.547631424603358e-05,0.0025828588158936703,7.817395168551929e-05,0.001025236201071123,0.05046493335643237,0.0015212663388959149,0.008742175035551917,0.00013171345830462178,0.001409220654614471,0.01798876188013422,0.00631208736376056,0.22956054790803326,0.043401111669550026,0.012610271011370298,0.002402887229040338,0.0704181639481914,0.0009232536910772184,3.1671370009050263e-05,0.0005941465527896359,0.00021856885795632725,0.003454285098838652,0.0007315333523177207,0.19667566361505476
White_blood_cells,2.2533554586443044e-06,0.0026186416224648137,0.01309116479057203,9.794740729355509e-05,0.23016777897452298,0.017265700000988506,0.00033962240946868274,0.019276181456026727,4.6744051894068874e-05,0.0011199124983804962,4.7791793440454395e-05,0.00020990763972394125,0.012010716039003609,0.0001682709572494066,0.005103221687089299,8.963317043288632e-05,0.00035806632194698116,0.015930246743675266,0.0232432002993203,0.03531747724212208,0.017001185760325693,0.0036246821232540087,0.0016835403122401093,0.03288808502559307,0.0004909510663893532,2.821689154577716e-05,0.0005153539882217145,0.00031139416742889783,0.005668298871722208,2.1851340897550314e-07,0.5612835948187954
