,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.006033385833828865,0.008980525017478092,8.8921136167279e-06,0.08832703817260192,0.05315234684480103,0.00011883284263389584,0.05252700096856783,0.0005230354314805746,5.1439574085055305e-05,0.003906929526531931,0.023297182108572304,0.00034114143287778445,0.004793117443955622,0.006109410163721717,0.0017446339463409453,0.003036922175213752,0.004676100483950265,0.4233635205249578,0.11847773578572811,0.013832191453969701,0.0012126907633912332,0.02412800941639761,0.00271638864148181,2.67419051138856e-09,6.796147720119133e-05,3.724742903456323e-05,0.0005956744037049017,1.2082774284411544e-08,0.15794063126690996
CNS_neurons,9.106921794292541e-09,0.9144581021046266,8.30634695867807e-05,0.000589390134398122,0.0006639161340633515,0.00014215236919986308,0.002737157119407278,0.0007189784825886491,0.00014362684192406976,0.00011296719524534381,0.0004968956054836677,6.78581597027809e-05,0.021464683721701905,9.691289757278575e-05,5.715108665916831e-05,1.3657110795098844e-05,3.410690788305082e-05,0.015531254023169409,0.002628766544889111,0.000607321759992488,0.004747843091928722,0.03275206865882497,0.0007060097582885861,0.00020693936920133897,5.232504248159855e-05,2.17986813341209e-06,1.4498806255565143e-05,1.8197873786262292e-07,0.0008699826503365546
Cardiocytes,9.818844184602351e-14,0.0001899865793113879,0.19240496013527908,7.940386495454044e-05,0.00018886916673210115,2.434432208282809e-06,0.00045932563348350275,9.438568710696092e-06,3.692583820429537e-07,1.5730083527941373e-05,2.892805715313832e-05,5.701202219284609e-06,1.856518798317045e-05,6.124386508733983e-06,4.407528912365773e-05,2.2953086087064278e-06,1.2253210442565588e-05,0.06228143605091399,0.743719474006021,4.115950338529478e-05,3.117413458129738e-05,0.00032354548228729745,4.907108672633467e-06,8.812513564205733e-08,6.423413276495025e-07,1.7172081668207177e-07,1.3399374198639058e-06,3.5726181176120072e-09,0.00012759765209354327
Definitive_erythroid,1.7003215616545564e-07,0.007353044615643634,0.00013060488671626667,0.7646758108476582,0.00875863381582749,0.00010173787581877107,0.014270131571709425,0.0007396349832258221,0.00012213136518276452,0.0010974699919840823,0.009644178108741817,0.0006019843506069714,0.0010543284553023971,0.0009390552909497384,0.0006225136093320931,0.0009544666995964695,0.003374099533816024,0.056049604411186164,0.018387815769351213,0.003242160236551476,0.001626557226016244,0.024891201811423687,0.000382261357464768,8.515896708165145e-06,0.010960673271366116,0.00021761254355216278,0.0011206961278966844,3.329413207740934e-06,0.06866957590100738
Endothelium,0.00020079205787220815,0.01318819930769394,0.0009195489294547543,0.018204092633612116,0.2437388205963835,0.000665916127225415,0.09186196347576131,0.0010995198724526865,0.0002473967821654298,0.008054529987853826,0.012985803337591617,0.0016328167599481344,0.0019405518412746977,0.0050492332798835445,0.0028989922808170176,0.003012213641308292,0.004232501498118495,0.38620129465364844,0.09273652014967983,0.012831881780214507,0.0038669918160616863,0.031531321649474225,0.0009879775702880261,7.602576894451051e-06,0.0017035219607970833,0.00021308762690934867,0.0011657592647689261,0.0005949792598667271,0.05822616928197976
Ependymal_cells,1.0365663190949668e-07,0.049794379711565986,0.0006229652801590091,0.005944931424702132,0.011862045175372895,0.2332770679628741,0.09595805423879875,0.003706153954545366,0.0005630329261445664,0.0016714243714114083,0.002823708584037767,0.0010672316440074646,0.003591547028120957,0.0009032514079003451,0.0019173518556297475,0.00025960744871089886,0.00029886458705073515,0.29729214364273243,0.01750109720406814,0.007998935892705745,0.004513270229791885,0.24301730140176972,0.0025474620097634512,0.00032731946034727307,0.00017540935400384096,4.392399576965278e-05,0.00023261763313836523,1.647540276069471e-07,0.012088633164217849
Epithelial_cells,7.934374706944482e-05,0.027955857153652758,0.0027289606522386935,0.01184517516554603,0.04281345270514392,0.002218259553926664,0.31796585042439557,0.003100747970994051,0.00034139368670423547,0.011480149715932158,0.012025139325528823,0.0038993565678431003,0.0026386041804843494,0.005884224534267251,0.003582772709174478,0.001072501899237023,0.0019459273813711288,0.3696366522814685,0.05847816052907997,0.020063682516019015,0.006170284521212862,0.06364093725842351,0.0019321073660245058,4.254522626912309e-05,0.0003013067015002123,0.0004889023241789935,0.00043089977343669294,0.0003664930979209214,0.026870311030956016
Eye_and_other,1.397078362318873e-07,0.08194439847709631,0.0002550100904419352,0.00591389275330331,0.006941555990334521,0.0010843083714226144,0.02912931326773605,0.3039872940464103,0.0001675137025488341,0.0014504037080394537,0.006732325992311788,0.0011540693216155393,0.007216570423992305,0.0014909337022816244,0.00085181573995325,0.011148262754714538,0.00042539002552197114,0.15420326570800663,0.01956446093796911,0.019344940756832622,0.008528782975188009,0.326763242064896,0.0014788854149798889,8.292173141244522e-05,9.606076479468446e-05,9.650424168665892e-05,0.00016409010256126873,1.482957825749501e-07,0.009783498930329558
Glands,2.2134663276706762e-10,0.27492098408726917,0.0004946242802076675,0.0013699075899030525,0.00790283403228312,0.018089693953334412,0.09769440935761017,0.0024373197296473333,0.062803919805245,0.0033634462695654164,0.003186978095060959,0.0008935152305828854,0.0038577199068060308,0.002222598409781021,0.00038098784458082547,0.000251750125226675,0.00027227702878075677,0.29238180802826685,0.00881724010983833,0.008264690123700935,0.06283179987924686,0.13257535471574863,0.0050025934086225295,0.0011518535320351475,0.00021417320739963684,6.392097161534647e-05,0.00011425148690694941,6.386681090158377e-11,0.00843934850552086
Gut,2.4802022451845823e-05,0.02413890331452059,0.02172516851393894,0.023045675895110078,0.03677332411816185,0.0006221582898076942,0.12965357340782738,0.001870642537956433,0.00024240878771158715,0.035498634082502825,0.1430372152852171,0.0018823387853739105,0.003005180283681609,0.00788645634825562,0.00566182799397555,0.0013572124337564511,0.0012621916866718634,0.36589068279239545,0.06654537488222921,0.019656319227532307,0.005588649788126671,0.05685470642054764,0.001280437692944742,1.2768543492931041e-05,0.0002937210091892569,0.00033123054985835927,0.0006423364411824728,4.6694768363670794e-07,0.045215591917895995
