,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.8272989116646358,0.001868351435006732,0.002425917518217167,0.005419579544456952,0.006007611984230742,0.001651225908349992,1.5482598118352106e-05,0.0017106892272276946,4.651997913334234e-05,0.0009479414805965826,0.000332879584835013,0.013990424183946946,0.0013843215373980896,0.0022681170090304427,0.06936732948264612,0.054160231959357874,0.00016028970169443407,0.0008116571430615366,0.001125083348516045,0.009007434709540211
Cardiocytes,8.595804306666808e-05,0.9908703969514888,0.00019697973841967337,0.0005312522042103619,0.0006355546906759624,4.619264843347248e-05,8.712405943236537e-07,0.00014339412739625783,6.306864436443019e-06,5.92210841699045e-05,3.557294039127785e-05,0.0016304604442464992,0.0029646429510434323,0.00013647635034150988,6.0155771913018045e-05,0.0014125847367836993,1.879574378329588e-05,0.00018698366364394852,6.156170526011804e-05,0.0009166380997012888
Definitive_erythroid,0.004893318251476452,0.01982834549357551,0.018173145008363357,0.05252768809128226,0.039199538265951746,0.0030045292604323477,7.003162998757644e-05,0.007432870051320743,0.0004307991446898318,0.0032371703783816257,0.005423232410974595,0.10510297794167894,0.009318187770321899,0.012449225327304261,0.0033676840604675473,0.10335269501017184,0.0011995616288477625,0.05223172868021608,0.0064907371562406505,0.552266534438315
Endothelium,0.0024367782128408744,0.01245800213448217,0.004812903573107883,0.7922252374474804,0.01796332686076195,0.010852415873423818,3.387542401852179e-05,0.003931129160454916,0.00035062105867322726,0.002357245354883702,0.0017910513649338688,0.039571522707865715,0.004041008933797096,0.004671548819833321,0.0017758254039275505,0.034353806245220046,0.0005978146054600034,0.0038547972584105027,0.0019146866572495595,0.06000640290317481
Epithelial_cells,0.006037478272691576,0.02394760747791264,0.0028858203142115794,0.01920113878933465,0.5775734722418779,0.07342866732150292,7.790733717511363e-05,0.03674286938414223,0.0016201557423811638,0.011660499377518932,0.0013965386752732263,0.07021901683822462,0.015304472138972314,0.014790960434420146,0.01287172721410412,0.08894441184698446,0.007109067794836276,0.0019237319739661282,0.0032090476847481124,0.031055409139721834
Extraembryonic_visceral_endoderm,0.002319572557062773,0.059861780855036316,0.005462656413109635,0.02373077412971168,0.02519467914671324,0.47060169080379416,1.247959096544668e-05,0.04019447526325672,0.10114679017959892,0.0031036421110993157,0.0016861876236881517,0.03299705774700147,0.16784185631538842,0.0029455314732696703,0.0024483809919234947,0.021131983606539288,0.00047032053242704715,0.004296434695411123,0.002705304259138467,0.03184840170486463
Gut,0.027914356048334244,0.030602538707847873,0.0038313741951641026,0.017473517906369983,0.09260846417293861,0.12688221705869462,8.012412276132653e-05,0.36573277850599734,0.033448604766463885,0.024513663152927145,0.000822059446018338,0.09096760036988703,0.019687983313347555,0.010951300728617707,0.007920640006729476,0.0967575362637677,0.018409197257285976,0.002727314042192891,0.0019189257720059068,0.026749804162648303
Hepatocytes,0.004697203728993229,0.006659328603467558,0.001045043717301005,0.012184750529513858,0.024475552625340066,0.139930042409469,2.2909764536765e-05,0.12786124899336684,0.38715524246445887,0.00446868882963433,0.0001261067688938491,0.061773875086348885,0.18262492481160222,0.0061017019948647255,0.003278572642772657,0.03337486899287719,0.0005804799844669734,0.0009422472398665814,0.00022130529833568426,0.0024759055138897338
Intermediate_mesoderm_and_kidney,0.011325833709106553,0.05688450924206516,0.006171216855923005,0.02698225382704069,0.0891914245140962,0.018153012683975636,9.471550801398207e-05,0.030526243369060634,0.00033184890012479657,0.46848953227679135,0.0014393292756541924,0.09114346162421309,0.01647642166104927,0.028371217064156535,0.013562959819832281,0.08997829518972603,0.0016718029774127803,0.0017839815903917206,0.008273566627520875,0.039148373283845204
Megakaryocytes,0.006021188474610165,0.028470704210458418,0.01635831321976455,0.08755784272160722,0.03109567430044366,0.051668203801609726,3.51148431592465e-05,0.008080067607173756,0.00027558017111915497,0.0035796540184455227,0.27729810980010816,0.07737587865517896,0.005042400053799592,0.02949193114094437,0.004317758868934203,0.07197257571482259,0.0012097141746755197,0.051010842760632905,0.0021949565449075436,0.24694348891760473
