,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
CNS_neurons,0.9213736231942065,4.422976955709448e-06,0.0014543709388029698,0.00010157244297903897,2.0866284498801782e-05,0.0006162207108389792,0.0005771972464849442,4.15159382694711e-05,1.4249741340796815e-05,2.407791225946714e-05,1.7225946393445452e-05,0.035234325301996106,1.983372650410558e-06,7.975219128845305e-06,6.7920183406073315e-06,3.1224605346153566e-05,0.003618070225830899,0.00028276074398815083,0.00026631600262663394,0.0016747027720209419,0.031647138897478125,6.654882453137633e-06,0.0024174089070455947,2.9804187416818255e-05,0.0001644150210512562,5.241039715873434e-06,2.9712831514464315e-07,1.2913349923248593e-07,0.00035941720806596133
Cardiocytes,0.05368995402108705,0.35841478132492016,0.021626886778000707,0.05896222301041752,0.00047895522408621186,0.04021522577253249,0.00018343242670016972,0.000608222179896673,0.0011876236528185658,0.00027791953557605416,0.003128273724195276,0.001186564622688058,5.212093053878488e-05,0.0006285301332973894,0.00028899264030080415,0.0053803620073076255,0.14342711159597746,0.2325573598064908,0.003444332925487954,0.0014851715382838081,0.031783039047786045,1.9784100849196797e-06,0.0004963799484570551,2.874318028597674e-06,0.01070574804574298,0.00027087632164087504,3.927805471292223e-06,1.7475832513597815e-05,0.029493656419671062
Definitive_erythroid,0.0021215833666900926,0.0004126732899272368,0.9414257588684593,0.0008450961485448577,8.798664372541882e-05,0.0021277105380266125,4.7151058424312124e-05,1.7340214860784103e-06,2.752575945439521e-05,0.00018256123064003192,1.322779124201943e-05,0.0002510874813400597,4.3270507301003245e-06,0.0007037653257775203,0.00011794264946735863,0.006886945238861584,0.008555033409123912,0.0029374329008221545,0.0007200204556852565,0.0006951979146254798,0.007454957025425037,2.1584744969205488e-18,5.853095102856976e-05,9.611321923785018e-10,0.012392262235773992,6.567908111921622e-05,2.5112452051250345e-06,1.7677793436834765e-07,0.011861120579327806
Endothelium,0.024181690948680886,0.007758539452891447,0.0574061295457914,0.506409961566735,0.0033638022203769536,0.03611418363988616,0.0004318025469815161,7.646638101984765e-05,0.0016006806983257307,0.000922488664381833,0.0005221133077881998,0.0019135260487988814,0.00014128286208100772,0.0012826311171158901,0.0018060157966801142,0.015567632959621295,0.13263078517475976,0.012965118053877364,0.01647369251111132,0.002576563368425474,0.04131999017442957,5.90204501858579e-13,0.0010977323800073384,2.964960225522184e-07,0.007819979736701425,0.001410606834312007,0.00041508999187455715,0.0015151104278043317,0.12227608709292788
Ependymal_cells,0.00681662812888304,4.935411346723764e-06,0.005278556301121771,0.0008257586408664161,0.4409471287134248,0.0863744270016591,0.00034633824132389486,0.005221547716304626,9.283612878514904e-05,5.614502684773782e-05,0.00011494029950845944,0.0009079765569314802,1.7871549828067762e-06,6.477366164005875e-05,3.0162454094998955e-05,0.0005505957108189872,0.018618135342952587,0.001211467119131284,0.001343180815200583,0.0004173431205640686,0.39775393612148596,2.9358821814921415e-11,0.02893893507931224,4.522164226622072e-06,0.0018905440216809596,2.6486807544538096e-05,2.2394426544334168e-08,3.599315727384721e-07,0.0021605299040030244
Epithelial_cells,0.04070571023218257,0.000306860162291807,0.04025464836217871,0.0062598324670390575,0.0018781870411012965,0.5532315912750833,0.0024395144760108387,0.000534204760677716,0.0030279438632251337,0.0012657424538088445,0.0020157606134292533,0.0038278339969589573,0.00041955933126767124,0.003280629137426102,0.0005806540661568464,0.0015373765333340013,0.16413330863532732,0.021195029622585595,0.0127225647307489,0.00457745226995299,0.10405397308486829,7.892436325197611e-05,0.002366529287723535,7.305425167626934e-05,0.007393361459127872,0.001908807413641555,6.163035805484706e-05,0.00010100151745201483,0.019768314233416788
Eye_and_other,0.10284364467703223,3.125885253787701e-05,0.019532652068171185,0.0014186039943910268,0.0015491062528413344,0.019091914888998144,0.47999286797231205,0.00036462383234922997,0.0001587721152205689,0.00030250570098936796,0.000964985810664263,0.008742611727472637,2.8597076553413705e-05,0.0002312553853670202,0.00016118167925983763,0.00047369179165289893,0.060943581231490476,0.005216834434685884,0.006413102304374549,0.0020713819941125602,0.2796657342665785,1.0037804911624515e-17,0.001699662794276695,4.989292356574784e-07,0.0037617893057639764,3.6241209429756775e-05,1.663862090821672e-08,1.6350027474056065e-06,0.004301248062870554
Gut,0.05888368408478829,0.00018003240515435635,0.06349732561409299,0.009323048162494818,0.001114195183698351,0.27498542546177007,0.0012406985883582557,0.0016114383050506336,0.050683675876252554,0.001904659622094799,0.002604025813905662,0.007116528973870668,0.008594301305357249,0.013269850638551739,0.0009920801708957218,0.0017012573801133057,0.22750053707219256,0.04175376783326191,0.032692025495333114,0.017865281086706784,0.11257096086761237,2.075027739983091e-08,0.0041158920013156615,3.199982559953559e-07,0.005745553261878466,0.021176715761137544,0.0005838972713505494,0.00022772613144998052,0.038065074882778195
Hepatocytes,0.0017857843597245038,1.9203016370078953e-05,0.01208256638542745,0.00014952948399109733,4.92899057044097e-06,0.001606158895999623,1.3661078672763894e-05,5.636621779157556e-08,0.00011905917806970845,0.9706722996190187,2.1352311490286802e-06,8.935217102606036e-05,7.542708355180472e-07,6.841988510319863e-06,3.588542276927177e-06,0.00016883759065391794,0.0028866955253961752,0.0013577026411074015,0.0016234414488426388,0.0005585261913554975,0.000572061742480282,1.2919127699351198e-16,9.40919462279247e-06,1.0610465643558575e-07,0.00075671151682161,4.558699356039217e-06,5.3601346820614885e-08,3.370925833367332e-07,0.005505639072917043
Intermediate_mesoderm_and_kidney,0.04951652398369435,6.630816490324965e-05,0.028276981137253947,0.006366222019491583,0.0008407982921142702,0.07806664526201117,0.0024472420939464323,0.0004676741848057424,0.0014137113142570713,0.0005341911915156014,0.27041720723690016,0.0038799519226285694,0.00028016353547524655,0.0025261327976179473,0.0002246366733146131,0.0034410575546749123,0.37876047815289793,0.022983375409535968,0.027706540485451733,0.009196347346055263,0.08521640850332735,1.3965706492867443e-08,0.0032904268418957514,8.544962642630336e-06,0.0077777572986029815,0.00014208395115605137,1.7834488562755918e-05,0.0010297194585554962,0.015105021771004742
Intermediate_neuronal_progenitors,0.2133204737317845,9.954423126665705e-07,0.001977396012537058,0.0001910219110337217,3.447819876945013e-05,0.0008818382386819752,9.460287971181662e-05,1.0260371431364131e-06,1.3213557067654216e-05,4.358100660737838e-05,9.039033165914406e-06,0.6815993743942309,2.6873776491236855e-06,9.039849892080155e-06,8.444340101938725e-06,3.3735516379432244e-05,0.005411216017020165,0.0005293867520957032,0.0004192195091102968,0.0003445107400200327,0.09412180496451124,1.5227681073274457e-26,0.00036630560707889256,1.7838610695384377e-08,0.00017776945397181892,3.655999875039976e-06,1.9124734726628602e-10,2.3644584519902822e-08,0.00040514175480537844
Intestine,0.07239297300176245,8.530705401122349e-05,0.01208587283688299,0.0038344890145374255,0.0005139675583867654,0.2906000422593239,0.0013465852520266118,0.00030057421300931484,0.13108769685124505,0.0003799319133224769,0.0026685377220704485,0.00858042146324984,0.1408167686614644,0.0050372184658820755,0.000516293187117589,0.0004251130459909882,0.2090568404663385,0.014221749262250699,0.017251009846939554,0.004145709990102554,0.06345223962195316,1.672449404179681e-17,0.0043319223386857455,1.8286243846024304e-07,0.0033709011146726493,0.0006590159757545622,0.00010338435868684532,0.0021934919941561594,0.010541759667737566
Lung_and_airways,0.006531433626516725,2.9325528699037574e-05,0.032693519980746495,0.00713873463806756,0.0005100473030681522,0.07403088314019489,0.0005469414720043048,0.00013729884725897126,0.008940516914284536,0.0007616403115050929,0.001040791969657177,0.0007042162424874526,0.0006072827343454229,0.4325475963307954,0.0003363400734560124,0.0005384401267665497,0.349260864424392,0.009424125715857051,0.012233841155277578,0.0025751993362262892,0.04594749928149046,1.779946255944055e-18,0.0005570657632333444,8.939667616029764e-09,0.0020503839347709063,0.0004094336155882356,6.115631510788384e-06,0.00012782595795907825,0.010312627004172811
Mast_cells,0.05008028632394308,0.0002364855374719743,0.4326894121069266,0.01581220455788681,0.0013456127567491797,0.043999394614912535,0.0010343534716963105,0.0001474402906042351,0.0005331882075736196,0.001577148736928185,0.0008554547937231797,0.004822352720299795,0.00010191607343466433,0.0007771683449050935,0.006213983753549898,0.015921772792037204,0.10094785311830433,0.010546729504521242,0.010257697279616123,0.0032673497856277717,0.08704860182076295,6.097116921057654e-36,0.0010004073472009052,2.6112165672153544e-08,0.06793667866388925,0.0004624541442682382,1.200613874380469e-08,2.933527529485583e-06,0.14238108160733295
Megakaryocytes,0.004605110611221335,5.9383623785449445e-05,0.18263856933606018,0.005404943536248516,0.00010991295219334277,0.004273391646285221,0.00012177483035781775,2.504924491085686e-05,6.731683015433318e-05,0.00018771592234423728,9.112842185012814e-05,0.00047308963862715793,7.99496197321755e-06,5.7595447929529744e-05,0.010381159212674313,0.5541803652558244,0.0119926007062371,0.0035434749747746807,0.0014567570679132214,0.00045622973018314035,0.009681838352658454,1.3229368526083594e-17,9.731479071934879e-05,4.5345507787422675e-07,0.055181231724642454,5.6706267635345325e-05,6.599865936734049e-05,1.5993492803910039e-06,0.15478129344907063
Mesoderm,0.028252337939335688,8.06983215158922e-05,0.018727775594244593,0.0075744126561894795,0.0003921523926051364,0.027446621060813164,0.0006939674361123241,0.00024051739158047647,0.0004004774260333392,0.0005966396969056056,0.0018122670467047143,0.0037554174979340135,0.0001073500059887028,0.0012186643341940415,0.00011987944381467168,0.0004637140477046735,0.8183430185300343,0.019211910546209885,0.006274634790725158,0.0022959215526863774,0.05231015962269847,5.388519993117774e-06,0.0009194188967166862,2.1701989261576015e-05,0.0022452729766735493,0.0001954387933774755,2.0381806906409762e-05,0.00013677516880266838,0.006137084514237794
Muscle_cells,0.022704920007065386,0.004935937978603502,0.026634661723498036,0.0039846776416421065,0.0003275045339991605,0.02711471567424847,0.0006943327670859426,0.0002311701558175749,0.00029069168059558275,0.002247498624018454,0.0009123683640987023,0.0033998769086475704,0.00014971135669842215,0.0005021824081555908,0.0001304778427832616,0.0008364874014489031,0.1869775520912524,0.6319451985725989,0.009443502027915501,0.0037492858587629906,0.061454784685108524,6.494686181422248e-09,0.0008551562864961425,6.023893784328272e-05,0.0015132702093635423,0.00017326352984675113,7.1663703891350185e-06,3.290199704648523e-05,0.008690457870283528
Neural_crest_PNS_glia,0.04698619077615268,7.123552804383795e-05,0.040262622641282705,0.007198832309844882,0.0006928889497629822,0.045611234496166844,0.0030372626067680627,9.554590047041878e-05,0.0009748338911403264,0.0008969242141991986,0.003290068267960136,0.007430763305944712,0.0004424196859735856,0.0020558073610811834,0.00045486288370555973,0.0013380849848279803,0.15043697413199728,0.03658750811855309,0.43724926221198107,0.01520810342189374,0.17606525886273489,1.1467735591929621e-10,0.002162398864180635,7.221748632379023e-07,0.0035749244656242555,0.0010027853275378492,0.00011641098312606838,7.05608793967354e-05,0.01668551264010869
Neural_crest_PNS_neurons,0.15307914678422113,2.153959319591234e-05,0.01304886258467288,0.0011194245500525666,0.00015786283799060032,0.010689742491464083,0.0003651039315089971,0.0008280725163240834,0.0001264316335128591,0.00029938565108159385,0.00014050534321360657,0.004692568746202275,5.0165292197576226e-05,0.00028713229860112446,6.152483333399055e-05,0.00037532662249762093,0.03539898495962939,0.0045105976346758335,0.006390895006602515,0.6553460727736473,0.055442081699099324,7.347618702210725e-09,0.051814535693629024,5.060891732232855e-06,0.0010613938424461765,0.00012025702326552897,1.1736642183013398e-05,5.088542643942002e-06,0.004550492232756095
Neuroectoderm_and_glia,0.09463142437961541,3.105022497247655e-05,0.019174124709850447,0.001627938909826289,0.0023280293273151976,0.013309176778243456,0.005406482050537237,0.00020171927109641265,0.0001319833076735334,0.000351852411065026,0.00040229566389462856,0.013135634132727874,6.234763604865219e-05,0.00018058537946110095,9.062028971639368e-05,0.00035926588414832746,0.05635144090343869,0.005929181248453665,0.006584351767064182,0.002723329420020737,0.7697387798970461,8.204513726074959e-05,0.0009624918288614149,1.4619286701950878e-05,0.0016779817812673078,8.425768317291088e-05,7.683835840080065e-06,6.237240431743194e-06,0.004413069614247994
Notochord,2.1972321392020905e-20,6.334194165140793e-36,2.121336453837915e-07,5.7948364841562325e-06,0.0,6.388319984725844e-05,0.0,0.0,6.373941914220662e-09,7.667363009071158e-39,2.713071847288193e-30,0.0,0.0,0.0,0.0,1.067481080462074e-12,0.9166996020231093,0.08323010181818356,3.4169841512702087e-07,1.399047814084259e-17,2.8276508294634324e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.788702937060776e-08
Olfactory_sensory_neurons,0.14576509112994432,1.6783447235770307e-05,0.0029990385691963405,0.0003343968017762862,0.0002080333292157324,0.005623838212672438,0.00012832720979995193,8.293626613988813e-05,0.00020734512551159038,4.006211979110671e-05,9.79650398574555e-05,0.01424249214529688,1.2571321843108329e-05,8.352865276137686e-05,2.919323645872138e-05,8.561731818888015e-05,0.02653672830942633,0.0007331927530206049,0.0011086640512969644,0.020590855990566457,0.022342625266727978,1.0943950532453549e-20,0.7554890859689695,3.832459115696005e-06,0.0019807919670665735,1.0311299434004022e-05,1.6293993810619984e-06,5.435865480101217e-06,0.0012396267438248773
Primitive_erythroid,0.00011173749196468984,4.840597411471407e-06,0.9194325777634963,4.055784754906905e-05,4.190353763760098e-06,0.0018942480554388628,6.679661512184289e-06,3.6305977273152724e-07,9.421188949968552e-07,3.1973263610290482e-06,2.257517582418134e-06,8.206777591530202e-06,3.142436853146448e-08,8.917640421248418e-07,3.646056691930709e-05,0.0014622442131790713,0.00028522255410843146,2.9294262110026166e-05,2.6364085020248654e-05,1.0070010148062692e-05,0.00016169992518432448,7.162338334424462e-21,4.741846757182229e-06,1.0939607366869686e-09,0.07587637983119876,9.39292697246053e-07,4.7645047697782345e-07,6.681732935965183e-09,0.0005953774267568481
