,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Aidpocytes,0.4772687956033223,0.05547271815521619,0.0020002875593760324,0.0011872488056146563,0.01673045872560667,0.04020389750778097,0.00447512539504667,0.026640699091388154,0.002815742862289475,0.008029027514994763,0.016304740018216874,0.03693393094922134,0.009914142607210203,0.007210526321725087,0.028048612897708314,0.003883696235873628,0.010126862262524598,0.0004057250460683823,0.023215406560159968,0.013734676315815125,0.013807980712677711,0.0007235944791303552,0.005746756446267163,3.4246719193538157e-06,0.0038853393216589775,0.00022143530630674266,0.08108061221838538,0.05786403032918411,0.02424653893310305,0.027817967146207778
B_cells,0.03762501855052108,0.5022446617722168,0.0038191819085658116,0.001941778507049616,0.03182627694288788,0.025454626721609766,0.004661341207287794,0.013285655159485751,0.004313850353204558,0.01082167016611412,0.010745934090435401,0.029802528087455156,0.009469528687157601,0.0077888478353340925,0.02054974608187683,0.004654385625319957,0.03145090555327808,0.0008092421712047796,0.019750066031440514,0.007982530781271336,0.013309620880953029,0.0014320153040140078,0.006848123185726575,3.573468907687419e-06,0.0038225432842392956,0.00037982284914636806,0.005309152362988711,0.10398170079467761,0.00944176503260271,0.07647390660302711
CNS_neurons,0.004935411548203419,0.005588705034366775,0.3893040041466231,0.0011312203186504173,0.005799313401909288,0.00765866643038188,0.008961558845847366,0.0087247551667758,0.011644141471921691,0.18732025782467826,0.008167474058534326,0.019035651487496117,0.013862429034800056,0.1534888383619152,0.0044811417074255774,0.0018635132466473085,0.00448162506386898,0.00016239266009433363,0.015516785845880312,0.0025855129641401656,0.022764296619516424,0.020850562731531876,0.02235435820144412,4.17846946067136e-06,0.016431818708791297,0.011892578301926858,0.016912196782432568,0.01514035641592673,0.009810331829139266,0.009125923319669839
Cardiocytes,0.012572432056591367,0.0015765928114965422,0.0005260162920493863,0.5371948531764859,0.003907004408493088,0.04634951099190014,0.008946614425149164,0.03349865259839534,0.0018612623857636923,0.0060592578369746556,0.00981737589499766,0.006719408620810034,0.00731597056129024,0.0014387883848626672,0.010265251719363233,0.002474773465940737,0.031065767926783935,0.002353515032740375,0.016378903917487607,0.06173550768874748,0.02112928052997149,0.0006697374692638014,0.0026098622723364933,4.49518215379526e-06,0.0009216020204349613,9.685177157201442e-05,0.0035730817229830234,0.031436238737268335,0.10088093674887595,0.036620453348816924
Definitive_erythroid,0.022467124471816646,0.01217914798480417,0.0029497841804579064,0.0016095119700156677,0.6177696383453679,0.017272689745723657,0.005532993753948741,0.013496613619539738,0.0039448159386974695,0.010745926408413289,0.01080550497420653,0.0177297455974821,0.007062213264221163,0.005690916720773465,0.024810056321380846,0.0036749519601888356,0.023042102521468055,0.001615492224902178,0.013898162647667888,0.006025760703000673,0.011525874580190089,0.0010732505119229797,0.005870084551813668,3.0924746976852662e-06,0.0018757997863701505,0.0003636920472776643,0.00532876077361703,0.09868747417971024,0.008553338888470935,0.04439547885185267
Endothelium,0.026481690495717143,0.010519225201406098,0.0027415182207786936,0.0025720093472958523,0.015627570047106895,0.4460636197863347,0.021644983599399918,0.04090376952817798,0.004231991175903598,0.017614293625847228,0.03188453912478889,0.019181709665304792,0.01536557687520676,0.006262995421911935,0.044974159924148965,0.00794670525646103,0.032249330760752766,0.0013890795077115003,0.024338072576114554,0.00891076484092956,0.02049254631149405,0.0010552136048790734,0.007031044648070058,5.150015593987042e-06,0.003185928631081985,0.00032020520382454454,0.01737973442558958,0.06861989840950874,0.04814511987175253,0.052861553896906575
Ependymal_cells,0.007570643348138734,0.0048166317257813535,0.002639838228238062,0.0017646284318572915,0.012426781311375765,0.02453356019014929,0.510697179552649,0.04339853619442242,0.004018187472213693,0.013988888646078133,0.03315801876690114,0.01444269512261051,0.008646068985500684,0.005488118087578535,0.061119618986140344,0.006874622224745298,0.017701657265701574,0.0004291770692806708,0.019945230083462277,0.004145685531070638,0.012312786498357877,0.0009855278643357672,0.008930014333758835,3.6084185921615844e-06,0.0025217716729753043,0.0003423600239809733,0.03736552176440485,0.07334446814546688,0.041381213292150054,0.0250069607620819
Epithelial_cells,0.025370507764509533,0.009049436503638182,0.003385940726112153,0.0032898359152972387,0.018135388304501496,0.07786041119792046,0.041064666655336056,0.09984066807523954,0.0065060773202987345,0.032652908611212256,0.0672064231693015,0.0350446717553296,0.03536024111137333,0.008012031582306902,0.08081178747702647,0.013704247486741433,0.03435852167881412,0.0013989043149502927,0.032164843405065244,0.00947400133968978,0.03295811048386713,0.001243831299147442,0.010020276072136652,9.41482493316491e-06,0.006392577498446617,0.00040076299478742576,0.10346888492996677,0.07510679568891171,0.08991241878500217,0.04579541302813658
Eye_and_other,0.013273312903607075,0.007081514793243319,0.011759629644418517,0.003073268149119651,0.017193250608596538,0.02646962219297791,0.015281520075218095,0.023655502470262484,0.46112272815182676,0.06835807959489837,0.016624231133667816,0.020471364557971165,0.023568448022654565,0.018435215846069445,0.018545372681799857,0.005100531112207507,0.01753872472268343,0.0006596770932150023,0.02605541833452821,0.007097288138258099,0.03604461677732499,0.0021148138056352787,0.027219215804529646,1.1023466119317985e-05,0.008067820338727338,0.0013455605563235935,0.008224110238863451,0.05176213086558853,0.032906391205985965,0.030939616713678078
Glands,0.0013408226172083632,0.0004416665891276665,0.005342103346692467,0.002005245696498444,0.0003386539633207374,0.1419021584661035,0.13848781082239756,0.016851459948544364,0.00825499806345525,0.21953525341168778,0.11914215548835193,0.008208144157752228,0.011382029909369555,0.001103003003583209,0.009941421087777574,0.0019240502034274943,0.013674315499356923,0.0004517358738153711,0.0961684326139471,0.0006884629587887275,0.010448380924904226,0.0016386432675984726,0.033081049759593126,2.300544254507595e-06,0.0034849258269815967,0.0002582816138566714,0.005528338052522865,0.010851970479264469,0.09230350367444187,0.04521868213537596
Gut,0.02417921333926121,0.00807140135352209,0.002788576132705359,0.0020478130818131386,0.018022260137272938,0.050378245600043094,0.019839890785553968,0.041976341139786176,0.004524683224596649,0.04592341669252203,0.193337057780227,0.1186465500946652,0.01936428668682931,0.005897539811754419,0.10361158355684758,0.01555606853939065,0.028292483409494296,0.001006014902488865,0.0231082333305022,0.010088989757422109,0.019428492066690665,0.0010763973958924748,0.007137536245480633,8.188078227045669e-06,0.0028889356886265187,0.00030315577909005174,0.016861332992061797,0.08228868446959549,0.08930064210737194,0.04404598582026511
Hepatocytes,0.002788980349615711,0.0014640043268756104,0.0007590881680049597,0.0003428577149846847,0.0042517875776979215,0.002898816812358839,0.0007997922045330564,0.0022358503922081333,0.0007661549275163642,0.0032273823051280565,0.0018660041413876738,0.9459408234207101,0.0012238400921881962,0.001384114891742193,0.0022496977623605568,0.0006661135920636474,0.0018478177392185614,5.7557545064446396e-05,0.004148668279243347,0.001378992966660677,0.0022708359915262124,0.00027859825967732084,0.0011971777229909907,8.377881772972788e-07,0.00037236783587732506,6.958471430699934e-05,6.360034811346523e-05,0.008663880921426457,0.001521182645378855,0.005263588562962385
Intermediate_mesoderm_and_kidney,0.014096868702166306,0.005166076764447267,0.0025663441916772634,0.002144558195057819,0.01184042117637176,0.029707097523820412,0.012702718807591742,0.033161812654400186,0.005019761326403865,0.01978707380593383,0.025071338668734053,0.0161405751363545,0.5446352547202461,0.0067184457969560836,0.031144402113997393,0.0062056898379798525,0.013741969596630524,0.0005847483023792906,0.024997214702508444,0.006131983569943113,0.02063746261498863,0.0009806417261094716,0.0070089183329030726,8.525955597802415e-06,0.004104893328033023,0.0002980018135566257,0.0396604290633943,0.040136945862780285,0.05275304049212631,0.022846785216910633
Intermediate_neuronal_progenitors,0.003474152056802341,0.001587708762996752,0.007186460532827987,0.0005642427307482993,0.0037160535570456028,0.004074766893344518,0.001420941713803532,0.003174330206853734,0.003337866963596169,0.029534024176077426,0.0023341261112625245,0.004059623122147751,0.003450541631815726,0.8773278867596609,0.0023553008948099248,0.000846693900739469,0.0023892420157776064,8.062836674476277e-05,0.006300590197519703,0.0017614458305557422,0.006160759093500107,0.0010280486051197477,0.011082173670699887,1.5835700462911305e-06,0.0025900293483598195,0.0006084996465353898,0.0028010167589279365,0.008834967665206035,0.0025102780983327975,0.005406017118141544
Intestine,0.02772926607206211,0.0092129017353913,0.0023581296875598893,0.0017768567572235495,0.01975724815427404,0.05520771955174235,0.021201306488476304,0.04460447536838614,0.004066883139747396,0.012552349381085612,0.0928039746892945,0.05129969674271494,0.017005613068901557,0.005195586371589441,0.2848162338294612,0.0107834979225884,0.03735006935521287,0.0010339060128577667,0.017236962884256395,0.008392390804774682,0.0169900506703887,0.0008547402911038945,0.005955627465399272,6.658625985462559e-06,0.0027364657049429534,0.00024158983690547822,0.0617024271977756,0.09715054607467877,0.03829515304840768,0.051681673066811776
