,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
B_cells,0.12010099638966008,0.011933490534731302,0.0003396075307091113,0.03605589985667423,0.14622272429467856,0.006399424227756719,0.048856060545684386,0.009818426251722459,0.004621242600249302,0.05991068060051082,0.012339442865759588,0.003065919943736157,0.005279655058737288,0.0946802116507909,0.0062261344347228735,0.00342625353430204,0.004266216849822659,0.17270666217240452,0.01330856967826506,0.036303367163852934,0.014556613629709907,0.026038983620242245,0.031153620892984638,2.7089111883764247e-07,0.00015022822356191768,0.0019042121553773156,0.004025311175788843,6.911321679664001e-09,0.12630976631512364
CNS_neurons,1.0878459912169636e-08,0.8116248847182589,0.000327836634869636,0.0001816951844628216,0.001054549706315101,0.0041316980501793785,0.0029612125367318273,0.0037466478539252305,0.009909368121511709,0.0008102102439114468,0.00040171892038544203,0.00014908819868905319,0.11717885734280052,0.0007089401479864889,6.412169751438607e-05,5.8516037833165617e-05,0.0005132735823994782,0.0022039611361260006,0.0005819644430530122,0.0009611072602155527,0.011284110137899109,0.024339050057934356,0.003998638131280414,0.0018947642532017848,4.750356311639038e-06,1.4971733437313447e-05,0.00010140270752845248,1.0945884200553705e-08,0.0007926389808937333
Cardiocytes,1.151710040880295e-13,0.0015989399095999194,0.6307005396425345,0.0006063210418225614,0.0020721487597365152,0.000675687345375891,0.0011975615261768221,0.0003567351439905036,2.865091169084382e-05,0.0008902681448531459,0.0001577956309408421,0.00010237694547591172,0.00075482351394596,0.0006969296495208398,0.00011039582943432854,0.00011728573213385517,0.12509490768155196,0.02784536455054808,0.2026440089588251,0.0007983762910399459,0.00017099864206590967,0.002017840079832686,9.773858062347991e-05,1.007840018577094e-05,5.3045851945319395e-06,2.973359239264711e-05,8.063784621234308e-05,7.119186685196864e-15,0.0011385510641728875
Definitive_erythroid,0.00022029105908810071,0.005256306834944231,0.0008673650031930437,0.7708225917357924,0.02481981767942144,0.0007038324865564316,0.01132624694381139,0.0034100909874700282,0.0011017226869059664,0.01613899832569114,0.005476894796784431,0.0011527451985720541,0.00256279412485161,0.01406487757993602,0.0013901728710025692,0.006335921202583986,0.003714781808858977,0.009516160827423693,0.0021268180083859516,0.0073778910428385245,0.0011568087921474317,0.01486016845416444,0.0006718254298262439,2.8953950054710713e-05,0.018001531877407405,0.00043469909848235767,0.008661050167728,0.00011340360178224723,0.06768523742429518
Endothelium,0.002924064451469979,0.01949260941146142,0.009473078850826069,0.0056448342041469,0.3686549118926355,0.020729448748630662,0.09986214541280082,0.01043098518781244,0.012551341464269183,0.0709772624300369,0.020502273074115607,0.010481247740606308,0.010895421829959055,0.03128264023362307,0.008571244657404716,0.002716439800786449,0.001469933217961006,0.11903401847503259,0.016177579431398078,0.06434611841033061,0.00852021748870461,0.030548642491250316,0.00944421343621225,0.00013763720775850774,0.0003441908082758735,0.0034210852796233595,0.003044560374579542,0.002241326242801721,0.03608052774548644
Ependymal_cells,6.059833752464711e-06,0.025915120388646046,0.003885504133427096,0.0013134211123305918,0.01413363428386765,0.6001534167633705,0.01755755122322791,0.022253743212759587,0.10327348351619883,0.009957086737873095,0.0009914412608274564,0.0007945820881580277,0.008985775082186134,0.00601777684232032,0.001378749196784308,0.00046295961422854437,0.00029574953082533577,0.03388092873226584,0.0011078196732896674,0.01046630502569874,0.00280013852989484,0.11389355547936064,0.011312776621671496,0.000679381856902583,0.0001430973427736702,0.0003078111471052875,0.0009258535120111404,4.171708551618871e-09,0.0071062730865336056
Epithelial_cells,0.0011946661267777342,0.031317893074799444,0.009792035338986281,0.004733684421214334,0.07307060728407211,0.02527384804991251,0.329199668162017,0.02480994696732028,0.020157661069563904,0.08541140612378176,0.015650916674248793,0.012883633234931656,0.014893117198661614,0.032568338903931474,0.006657014062810827,0.0021697177781177905,0.005273881310933747,0.08390940634469392,0.008628630916730386,0.0777237108830401,0.018348663845611728,0.05982496151774727,0.01753692496105767,0.000572739104559749,0.0010800612972833063,0.005630847471011309,0.002346076511386997,0.0035287928383399116,0.025811148526456395
Eye_and_other,5.4964249184621947e-08,0.04006820741213939,0.0013207697259159303,0.001889022509128931,0.011127044061444404,0.017782975860827235,0.013652889727936955,0.6506047568090069,0.007704581046421398,0.009105734042604025,0.005820866494151626,0.003526607468547787,0.014651668045641575,0.00771046700538179,0.0008728992971512246,0.0006588732681375298,0.00043274353751956366,0.015432623972293776,0.0015367676559551512,0.025607078661388092,0.004089551247163681,0.1526640877533636,0.0033644579139232252,0.0004343670365735962,4.702845629918733e-05,0.00042683991253321754,0.0010947065266576528,1.3434868027151143e-12,0.008372329586299876
Glands,8.496975492362267e-12,0.1289464204934396,0.0006548949013813056,0.0002595613125577545,0.005812052500444483,0.011917089762736434,0.012047860487648384,0.008765723349816706,0.45697512146358227,0.010315078067712318,0.001135427943695898,0.00048810833264659886,0.024192947324506303,0.0037851512006224237,0.0003618464894581279,0.00012029334619430481,0.1334463475505747,0.020094085011457166,0.0005557586424468608,0.008086071159225178,0.08200215355133161,0.021024986606342933,0.06484863754357557,0.0008781045701284028,0.00011263609947766265,0.00037087569071018615,0.00022716985596789926,1.1138133592961322e-16,0.0025755967338217385
Gut,0.00220327767795548,0.02476464658419548,0.04115511662872355,0.008516588793383364,0.07341093237054379,0.00693536797749488,0.12007298521024543,0.01759469615592287,0.032448379713904706,0.09129917207544666,0.22659939989934566,0.006314679693889214,0.012346566094789646,0.06419796950531605,0.0104012521854485,0.003986590361095919,0.0013790673649340776,0.073476579433206,0.007140191879395563,0.056057167491101866,0.007475793488276469,0.050848794657553306,0.004029718510586515,0.00017711728939309,0.0002153689467926707,0.00550311220066015,0.0033644662109759593,1.0803030328403192e-05,0.04807419856909475
