,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
CNS_neurons,1.2494243769463724e-08,0.9493511327866393,2.2962271130649036e-06,6.722120152355335e-05,9.123071357850127e-05,1.520130450872799e-05,0.0005212130822711827,0.00018185759539613637,2.2165144732718975e-07,1.811858716704474e-05,8.271856658545142e-06,1.4156291619216714e-06,0.01972149065596314,1.5838910357495958e-06,3.924613133570065e-06,1.802747790421322e-07,8.378996050733651e-06,0.0021865627724295417,0.00014075922977906555,0.0001340006505283788,0.0006879391586915036,0.026361919756170735,1.0876929774738423e-06,0.0003456973283508763,2.8167014509415543e-05,5.141483925502311e-06,4.122888959746042e-09,2.0161459280755407e-06,4.9662090939016805e-09,0.00011294811694002992
Cardiocytes,7.364238399230407e-07,0.034372845403308185,0.3918817397200409,0.0020403478896489995,0.014791953394727948,8.83535703880579e-05,0.02752180599977575,0.0001207946259393123,5.761732707964019e-06,0.0003156615226123261,4.327154061693402e-06,2.3089573397808444e-05,0.0005950731206851783,5.695017910581e-05,1.3472727991623448e-05,1.9470377698934084e-05,0.0001154441708028026,0.1325108178035587,0.3199803929494939,0.0028538895404423724,0.0004838742598851559,0.049071603216398224,8.661501316538648e-06,0.000189158893725479,0.0004000359666145131,0.00021305288967144728,9.029744216161532e-08,7.196238594662989e-06,2.1150966461380573e-06,0.022311283759477506
Definitive_erythroid,4.314438627803296e-05,0.028532107321194374,0.0001346152229998617,0.6699053417202371,0.006314490706948301,0.0002877659764950249,0.02222020848488304,0.000865556037405721,6.823849697382584e-09,0.001286065045758687,0.0006903094237489613,8.265901570457872e-05,0.0023466382774237093,0.00014896892610252613,0.00026263228771754554,0.00029281767369467124,0.004809955436993035,0.06437686611720309,0.00761663096187451,0.00602177230641594,0.0019060737037700655,0.08683610412066378,2.0633261763672594e-05,0.0009981719437365526,2.3262092445073605e-05,0.03314186892398856,0.0006760089661023059,0.0009885967838420768,1.3003716061145838e-07,0.05917059801359893
Endothelium,0.0006318280073873694,0.02922101457125377,0.00010365106335798142,0.004393470215848277,0.5773033772927946,0.000616029050483903,0.03789115131408201,0.0007735213514478506,3.815167598096136e-07,0.0037559975784843508,0.00022782706569605856,0.00013859102110612743,0.001756195760556732,0.003007916410311642,0.0007246632937563894,8.992058854254257e-05,0.001055825435232249,0.21678734851635015,0.013993899068889485,0.014127224421013367,0.002096460300061691,0.06696755010910552,1.7516295803447457e-05,0.0009845277993277392,9.433932055700472e-07,0.00021870474609406873,7.383160558838628e-06,8.905269772533439e-05,1.0758779862798667e-05,0.023007269174900414
Ependymal_cells,8.929104624637139e-07,0.07096195503715057,5.059559805512155e-05,0.0009429686437725473,0.0013672795885787343,0.4299849289678615,0.02295282147307435,0.007251319003075996,0.005340019358754625,0.0004203391744263327,9.588906789900656e-05,6.443807377251137e-05,0.002520313089437372,3.7647384763981554e-05,9.3148222120257e-05,7.692946791359431e-06,0.00010942151144467464,0.05324733282936518,0.0018149994993958585,0.002353911134734202,0.0021072580503270475,0.39247674173318575,1.9865300216286435e-05,0.00364050245410397,5.770356971584067e-06,4.089955934469314e-05,3.702804577093719e-08,5.045217802595285e-05,5.025146620076771e-07,0.002040057310180323
Epithelial_cells,4.9653926349317025e-06,0.07662069667977865,0.00013089937743826773,0.002927534051724946,0.007186817116956798,0.0013361404326296398,0.5856659882869395,0.0025157180773086006,0.0014385617096782512,0.006405333105946793,0.00020803803852275437,0.0009694633387246296,0.003553231299381912,0.0033254719216807838,0.0004884826295405669,0.000425498006355315,0.0005537365076726577,0.10465438014567531,0.008176124380203533,0.011271606173607137,0.003221852963705003,0.16620084488395617,0.000439042580891995,0.004421812837397441,4.961279444812508e-05,0.00014465291749441402,4.2723666205051477e-05,0.00014458918010059352,1.249659826843825e-05,0.007463684905131803
Eye_and_other,7.364115614699434e-07,0.12037703759874298,2.494613411662834e-05,0.0006262759557086765,0.0010429876654131315,0.0006687594612282067,0.011426623101712814,0.3197334405575234,5.971348951276016e-06,0.0004235303012517792,8.490985111077231e-05,2.939247404365918e-05,0.0032243615195680086,7.61901971827101e-05,7.014824869869871e-05,1.0131457226843879e-05,0.00011218956512940853,0.029903727547156093,0.0027937744992061497,0.004081325050543623,0.0014267468510825766,0.5014484987131633,2.5989495620778164e-05,0.0007251123984308463,3.511225355399517e-06,2.0621870217705368e-05,4.530578641475655e-07,3.676268509241198e-05,2.0031374816411902e-06,0.0015938416196148418
Glands,3.2594659628625104e-10,0.7382364120073565,1.2145702133452228e-05,4.97278208297043e-10,3.854676299090943e-06,0.00019711914820456821,0.10980585734963948,8.304500452836143e-06,0.012149948374951905,0.00012092992732901248,3.158513315936625e-11,1.4886616246055356e-05,0.01496561958172307,4.993589196792992e-06,2.414192529147402e-07,1.7237482195203046e-09,1.746309144624914e-06,0.0005797815854643437,4.087537860738673e-06,1.4118174184011467e-05,0.005424709412533525,0.0977011302726834,2.3579278041020226e-09,0.020215216605132397,0.0005257207558500713,7.001537338014866e-08,1.5632481963829011e-12,1.3029250297314304e-06,8.512931338841426e-08,1.1713446595499e-05
Gut,9.998010412700775e-06,0.07666922851231923,6.978899628835758e-05,0.0035130181269336066,0.014582055622569314,0.0005441136657100548,0.2898709661470021,0.001457294426040821,2.4484713978902694e-05,0.09549178794089472,0.0002489610792646625,0.0001488131333366713,0.002893044332753878,0.032068653221473106,0.024935057119597398,3.066104378112542e-05,0.00032355879990366907,0.16526671811426188,0.020284169720118546,0.05141265646765043,0.0034170527800596704,0.17729638161229772,1.9342154119639026e-05,0.003546468441986412,6.124308520942102e-05,9.109802195691295e-05,1.4256951547412711e-05,0.0001467251661984443,5.136857327118672e-05,0.035511034019062006
Hepatocytes,4.0610922818118855e-06,0.07365412491059091,3.41263451952702e-05,0.007068417002573333,0.012611004566522605,6.263907848403407e-05,0.033162286030708844,0.00044906002331507116,4.931036919893169e-08,0.004307878831424309,0.6855891459823983,3.7855909855997553e-05,0.0010539646449004444,0.0007842479419487257,0.00028811527015495334,0.00024416520052972864,0.00029799118866317487,0.1048417986060147,0.008459701537953463,0.004588382460921005,0.007129345052433481,0.04745667838395765,6.766525508002109e-06,0.00045560695861876293,2.4579078372402e-07,7.061802400868597e-05,0.00017656665506239196,2.421879992051801e-05,1.9481589779803403e-05,0.007121456285121144
Intermediate_mesoderm_and_kidney,1.522944359177796e-06,0.1264457035889096,3.204163479507075e-05,0.0009425369262811376,0.005790994178804874,0.0011880611336527473,0.08711444099421509,0.013570552864352487,2.4638501131689725e-06,0.026088238166391886,0.00010569720461890721,0.000253032937001941,0.0029441277247313443,0.028520202532148955,0.0004884529934958698,1.1990587393336838e-05,0.0008977415353077133,0.5194150515046264,0.014399767979489901,0.007384217862663977,0.002384346543671426,0.14951670823934887,2.1998521922402342e-05,0.008412930644032436,0.00031422039017547015,0.00046362719467374835,2.790473516548648e-06,5.738973456734346e-05,1.5229828080641636e-05,0.0032139192866574968
Intermediate_neuronal_progenitors,8.219189284826136e-09,0.24711920032842913,5.56589775229577e-06,0.00019445096622725306,0.00016524227324869238,4.4406353822369225e-05,0.001140030505637948,0.00016810991745882034,1.7710914486016085e-08,4.6468778678106596e-05,2.129024063705556e-05,3.7270955993547053e-06,0.6769289703605244,3.944109003831754e-06,8.769423829093756e-06,3.4347196980771854e-07,2.87680809728981e-05,0.0048764089631622275,0.0003844181670124239,0.0003264428100537794,0.0004818501127093527,0.06710312096824259,2.6409746999325227e-06,0.00047331649085457275,0.00016730654983573262,7.4755074818190234e-06,9.235551439849401e-09,6.198708735158949e-06,7.389222482473334e-09,0.0002914903885437198
Intestine,7.054953500657357e-19,0.0016590422674948346,6.330254970132046e-07,1.939575382216635e-05,0.007767520368667263,2.2449408831775723e-05,0.5133354021910715,1.0174169167094982e-05,1.211111476199618e-22,0.2764032114536694,6.071627581048946e-16,6.718049526165287e-21,9.933613756230692e-10,0.0007316157552869802,3.1478570374956632e-06,1.1823018999135535e-06,1.6771760376959866e-07,0.030761268021917556,0.002247434498769733,0.009150910778327524,0.007778189597509015,0.03367472372946402,1.5976471863434655e-17,0.11460897542735898,9.276931799508567e-24,4.92181714370272e-08,0.00010291905046835134,4.221489694477647e-09,1.1967769808627405e-20,0.001721582193112337
Lung_and_airways,1.1718117630489144e-05,0.046678023791424786,5.505290216707699e-05,0.009631111911699209,0.022473142699169647,0.002503182193773919,0.1309391516540564,0.0013434356815537458,8.606530808848677e-06,0.03755177065550265,0.000151850671219796,0.00024148578046004476,0.001837911258691871,0.0023155383960836154,0.3829690692260103,3.717165846009296e-05,0.0006089415789694878,0.20422548896466614,0.005863643530596722,0.017448659431508723,0.0030596981714935564,0.11864569405998052,3.529886340953238e-05,0.0018535155679334423,5.129286201459347e-05,0.000209422819061007,1.161771851355244e-05,0.00031756934631514775,1.2766758621830757e-05,0.008908167198203226
Mast_cells,0.0002738749296243621,0.15261901929123606,0.00011284665036198098,0.04135915299581387,0.06651751607581662,0.0018009702354549874,0.15027278652654366,0.004658747923570345,6.065976010483116e-06,0.012255024441410202,0.0004092201819229926,0.0008513495815860294,0.005658939572848028,0.002484974929105252,0.00015794762395300067,0.002855922609779214,0.058619657720819215,0.09601722113880728,0.00876151856704162,0.018207957899991245,0.0025790201247893733,0.15178620821119382,2.5311531083272176e-05,0.0020047018417594814,0.0002890034223289252,0.0038291368682098455,1.1643735216937371e-05,0.002511558370464415,7.084269571062878e-06,0.21305561675368642
Megakaryocytes,0.0001325914835403212,0.06001869173144947,0.0035343740479984362,0.07783288714309217,0.047486681925474256,0.00034298361230409707,0.05470140271773234,0.0009283233605516491,0.0002896006134803472,0.0019506583733906707,0.0001524541916143185,0.000917760940926634,0.0015870571433585915,0.00034457690139203185,0.00012343456055023325,0.009325611690107628,0.31954491904159726,0.05277940637666571,0.016479248901575087,0.010461499189517389,0.012665260636748839,0.06918348637580785,6.291882091831652e-06,0.0008063672599342414,0.00041853403682407474,0.033698120613039284,0.00031068997516350936,0.0009248651272411229,7.472053817433793e-07,0.22305147294144886
Mesoderm,2.213540962589831e-05,0.06263749601062271,0.00010895158582680933,0.0010812782379218389,0.00664835282820932,0.00033477630297444133,0.0268512553998643,0.0010035558821375344,1.3761015838138858e-05,0.0014968126879158143,0.00013554054512701823,4.5944092933212964e-05,0.0033826767389771102,0.0004906521877606053,0.0006108357485932323,7.369916987732179e-06,0.00015528250138109373,0.778606061403266,0.009436949416464559,0.005624867110053557,0.001977252400503045,0.09507648715779243,0.00010068129643319052,0.0015380500187728025,3.167959723488083e-05,4.601973378319102e-05,1.2844272074037165e-06,4.1817974061182105e-05,5.080587655134151e-05,0.002441366495179505
