,CNS_neurons,Cardiocytes,Endothelium,Epithelial_cells,Extraembryonic_visceral_endoderm,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells
CNS_neurons,0.0033028165976817115,0.11779865017752109,0.061381385304360776,0.09252232583212368,0.026549889274348835,0.08677444161526757,0.03463452504088339,0.022793949342783115,0.0006616493580179094,0.12052779771006214,0.09391125554511513,0.026294986298763083,0.09076676796794116,0.12109334890239792,0.011840773138475959,0.02664346669919686,0.06250197119505968
Cardiocytes,0.00017332626009646147,0.863399630345986,0.011122089718284435,0.016097956619978624,0.00462381856003141,0.010164057671287344,0.007733456908119462,0.003458766527597855,0.00011248444327885389,0.02156738913319076,0.010764062285241625,0.004250477854400407,0.011677315408150963,0.016855734740554195,0.0016649768313859736,0.005872996035652976,0.010461460656762666
Definitive_erythroid,0.0011094733549588465,0.11339549930705954,0.0756048524496186,0.10338022817520047,0.034378452468282396,0.06373286691822448,0.01951568295435845,0.02307031381136306,0.000730066176541522,0.14157389926986894,0.03722765121175922,0.02884630536628495,0.09706918437580815,0.12861550737995647,0.008893047971454866,0.04682471382385014,0.07603225498540987
Endothelium,0.0006175928579699548,0.0854065310195427,0.3321722607192317,0.07042956690036012,0.026837437769517344,0.04699922578452167,0.09329175651494923,0.01514119913780294,0.0010049187594589927,0.07182198362316206,0.04401308881740465,0.019508230504276112,0.04135593225232373,0.05421795956066336,0.0074581432939454725,0.03728428661836382,0.052439885866506136
Epithelial_cells,0.001079648690845144,0.0953027792194177,0.05633614364113748,0.1656242693154413,0.027758349508433065,0.0835643824982207,0.0878836105609272,0.02415655458710615,0.0006191889163622318,0.09802919242218798,0.07470888351794107,0.02751920078180136,0.06382371235211855,0.08508878612979588,0.011154056089774255,0.030277064746684363,0.0670741770218056
Extraembryonic_visceral_endoderm,0.0005480134423540527,0.05687965976670643,0.039311246130667575,0.05356269472423783,0.4884361158741826,0.04021880137734707,0.05970775495028926,0.010109390401342308,0.0003517572570667221,0.05982599566751119,0.025857503283175626,0.012895589106467787,0.036213402669389716,0.05136694895920688,0.005206886817593519,0.022104059003328846,0.03740418056913259
Gut,0.0011580967852350072,0.09587433057405807,0.054330434400422234,0.09623521436951708,0.037381271429011674,0.13311561303527902,0.15046952137292852,0.019026677410020405,0.00052890039405678,0.09265722182057139,0.05263186582843893,0.021676124528868874,0.05785849688030361,0.07828053587758384,0.01469143015250341,0.030521718875002643,0.06356254626619853
Intermediate_mesoderm_and_kidney,0.0012529818528574156,0.1065791041701351,0.053872247101108515,0.1015725225503637,0.017209677283121685,0.07781199482256096,0.06971873447285702,0.10249122385519117,0.000827309629683067,0.10617192993442214,0.09942926615204903,0.031492144340502626,0.062257473357031745,0.0761977594568641,0.010843662707299303,0.029146176267564723,0.05312579204638771
Mesoderm,0.001148641078243068,0.11692852209056612,0.05636568586791544,0.09785838159151235,0.023422922302357346,0.0835014186453096,0.11153959179710426,0.025836090786297897,0.0009064182276315223,0.12764857362420973,0.0764566937167386,0.029250624725825517,0.06376795297374285,0.08075324226451548,0.010743958583484132,0.034391510296797184,0.059479771427748886
Neural_crest_PNS_glia,0.00792029276262049,0.08246289548450533,0.05856406784077482,0.10720352321185263,0.020119088681134215,0.06621224864906643,0.06984585193075021,0.030752266233228586,0.0006833074407460546,0.10989866630711967,0.07044846976207302,0.10949715453775212,0.05887463410238983,0.09760166242776022,0.009264901773284356,0.035662872891761614,0.06498809596318042
Neural_crest_PNS_neurons,0.0011244816654530838,0.11094503799373558,0.07365164127289155,0.10612894546484704,0.03324126809644403,0.06304441363798313,0.020322123450161562,0.023308722196491417,0.000729054092844819,0.14336268538712235,0.04017022606373778,0.029078258069458875,0.09697237566789581,0.1315079176415679,0.008869465400242579,0.04161909948765011,0.07592428441147238
Neuroectoderm_and_glia,0.003530504744430414,0.09203546884658977,0.05546587119353896,0.11001323484648243,0.02172541907160616,0.07945957473699013,0.0660341729110443,0.025995985534429642,0.0006248816839843247,0.11291306775828994,0.08094416991894596,0.03705900392186243,0.06512196111081062,0.13920120358518343,0.012022113895588589,0.031247249531694735,0.06660611670852817
Notochord,0.000796978823413979,0.07670215477323841,0.03654348831212601,0.061861399238894506,0.0176209806477955,0.0791510115910778,0.03990044796541973,0.013193581184557086,0.0003218446783252818,0.058289792085011935,0.0509913933600922,0.01329909630642103,0.03430198487650908,0.04905235369281228,0.4063802042294394,0.019857695222758705,0.041735593012107094
Primitive_erythroid,0.0008569709962062991,0.0887879020958323,0.05946829416102015,0.07861177203553786,0.029804467525739245,0.054575069272126665,0.0453931670795743,0.01566657488810217,0.000819410231348632,0.08939179402994722,0.03959159716903381,0.021656914579103834,0.05333337035961602,0.0800155881379663,0.0092507334529231,0.2670406213650644,0.06573575262085768
Primordial_germ_cells,0.0008464457067280367,0.09370955410343536,0.07327146341573137,0.10466746610056635,0.03496572498635094,0.07798500634141463,0.10007677580267925,0.018545848040305072,0.0033335053606485163,0.09029172679390679,0.043988277824647745,0.026549709034683396,0.06527668467942106,0.08089554595194645,0.011975797315671409,0.07624954254175668,0.09737092600010691
White_blood_cells,0.0007217967743613222,0.1418385673098965,0.07478696949998233,0.06906144410608697,0.13576661226548922,0.07825904441134579,0.14297996646983854,0.012871060687480874,0.0006074306517523385,0.06864005416321639,0.0370968398796741,0.016190003813848067,0.04914560977832129,0.05615801064549226,0.008781935202328695,0.06482882881867867,0.042265825522206674
