,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
CNS_neurons,0.9183206404971092,6.191591079539102e-06,0.00018079348654512608,0.0005070759131698746,0.00018646329097327165,0.0013761385114308235,0.00015144300161509512,0.00010169845166627444,2.2414345575005395e-05,0.00020636108475935295,0.00654599152756812,4.51276711573244e-06,6.642783662853837e-06,0.00034951971027702536,0.006682888958832635,0.0003904582634598101,0.0009080147568405511,0.011285491099367283,0.049902937473512834,6.268404727032164e-06,0.002433534903817282,1.3867463845180257e-05,1.2903871505132346e-05,0.0003977478415449932
Cardiocytes,0.00034328108113521017,0.9638187995181383,4.957158864406117e-07,0.0001535021601052367,7.018226790921105e-07,8.760247246597218e-05,1.5506317544714992e-06,1.5612118837204934e-05,1.2041623302561317e-07,0.001051169017208303,2.009304745516101e-07,9.499107386854434e-08,8.982486679190082e-08,9.319571851700425e-07,0.020171743116307966,0.013864396298064574,7.92982618751505e-06,6.582658973026016e-06,0.00044670029237771467,7.010925964227923e-08,9.843957938903896e-08,1.2218075224315516e-07,5.768551213641095e-08,2.814673494219529e-05
Definitive_erythroid,0.00239735687405547,0.0012686355496472656,0.6367495289340676,0.020543469856120596,3.5810602565433773e-06,0.018617118448103487,0.000207256736947665,0.001632075931995168,0.0015581960885500503,0.0005191464047693093,6.203451126295149e-05,3.7575891372651064e-05,0.00011936181247401069,0.025925173426753486,0.07716089765029298,0.007956280659642651,0.007239560391771264,0.0014060237951423332,0.04351886891132628,0.00014502094358602406,5.368601444056857e-06,0.013265803934174994,0.012146074762379267,0.127515588823864
Endothelium,0.005268324951034518,0.0001101548326277433,0.0032315326016329367,0.8910545649965141,0.0003627551997291962,0.00862907204845734,9.070449417382265e-05,0.000740278731663809,0.00020546743842006826,0.0011219100075815147,5.564715657135193e-05,3.49706445622511e-05,8.434634729617268e-05,0.0005697438954593038,0.0545011642776594,0.0018892460481894982,0.004449311447448128,0.0007575948715492614,0.01739279658554685,6.29704629229132e-05,1.3013394769529727e-05,0.001471305820726804,0.00012022070586656465,0.007782903039596871
Ependymal_cells,0.04665864059242372,0.00019378337936163116,0.00011705946461874443,0.003053691805917435,0.4976194585897807,0.04371741226900352,0.0004994132691450611,0.0005116549799953223,4.481376335246469e-05,0.0323543832755147,8.855349354365248e-05,1.4961456414043278e-05,3.930607467710237e-05,0.0318918214495392,0.036746045863962205,0.0013947700484482945,0.001124019220776899,0.001972749279170603,0.2998860946055738,0.0001618491882082811,0.000414202204867111,2.8499131675227433e-05,2.756215754065033e-05,0.0014392544364896244
Epithelial_cells,0.017430759947222797,0.0008833604505824956,0.0027175513066296825,0.019696209558066564,0.0007185172281715779,0.6425273411367262,0.0009176130396476978,0.012924807131991504,0.000610680435113225,0.009812867258138847,0.00012937639243656423,0.000411034823176551,0.0008513663769659155,0.0005593199160324198,0.17885653654952086,0.013075910494266554,0.012627325006857237,0.0043204217170395446,0.0718623622462385,0.0011521344991781203,7.79198525432301e-05,0.0001837605957716889,0.0012605118085751218,0.006392312229107198
Eye_and_other,0.21631973152006156,0.00016024827107497184,0.0011106978975249345,0.005075832052484588,0.0014381700168678306,0.0702165982697525,0.07800514489086041,0.006370434266311144,0.0003626729996279263,0.00571079895567383,0.0015676331719166859,4.7956136413093135e-05,0.00015323024594400254,0.00015820794697852644,0.11771577955964091,0.004988625797903552,0.01157853787715406,0.007932545859345046,0.4676359438579878,0.00011652676395045837,0.00034200034449671107,9.608094408074656e-05,0.0001796155757146141,0.0027169867782341284
Gut,0.029498155251274888,0.00014707740522580562,0.0022532055883002296,0.03787624585909388,0.00047212159623528986,0.21467431583742044,0.000763200131708155,0.1528133054314991,0.0007086472698518517,0.040160877066045486,0.00011252722833939335,0.00021868116871205794,0.0346356008225165,0.0009046678025358685,0.3125713270642662,0.014775428467415651,0.025359843746258017,0.02150265383212386,0.10061859664819381,0.00015620384288318658,9.796566472039132e-05,0.00013864823716105287,0.0009499459136099878,0.008590758124608903
Hepatocytes,0.0005740953381611831,0.0002697259717473649,0.0067813888739874,0.019006533179688936,1.3990764684163104e-06,0.009011438873017138,4.4473449681227516e-05,0.01361845872966365,0.876567942788335,0.00011148852138198963,1.3659479653850381e-05,7.499127459702927e-06,1.1141675497545371e-05,0.00013794864667844887,0.027608926803963395,0.004068744289956033,0.0010029519713652358,0.006378564394261239,0.008123836322555502,2.797677316587551e-05,9.64464770220266e-07,0.011918411359054498,2.3615184087722195e-05,0.014688814705398394
Intermediate_mesoderm_and_kidney,0.018146852357478385,0.0003942733817810604,0.0015035107769193683,0.02503261201367824,0.0011119022001104782,0.10205841247868577,0.0013766429867268612,0.0179214611144999,0.0002968426614330483,0.35593373223059693,6.62591058328689e-05,4.19019496148235e-05,0.002699954018090549,0.000714124193210495,0.35287127532932244,0.018974690107770472,0.011296059207970876,0.0036706035685084557,0.07652250814870491,0.0032151234914007004,9.737469547337604e-05,0.00017092720679786144,0.000302672973685565,0.005580283801706544
