,Neural Crest/Mid-HindBrain_3_corr,Neural Crest/Mid-HindBrain_3_pval,Neural Crest/Mid-HindBrain_3_qval,Neural Crest/Mid-HindBrain_3_ci_low,Neural Crest/Mid-HindBrain_3_ci_high,gene_annotation
ENSMUSG00000036712,-0.06865163318528894,1.5236072615087568e-29,2.7843699954472895e-29,-0.08052519008397829,-0.05675859551340341,Cyld
ENSMUSG00000061510,-0.0686578394824937,1.5059709209513185e-29,2.7526428823822307e-29,-0.0805313853357058,-0.05676481111164869,Gm10101
ENSMUSG00000028121,-0.06865886576559849,1.5030741296934668e-29,2.7478503285072516e-29,-0.08053240979222462,-0.056765838932877045,Bcar3
ENSMUSG00000015377,-0.06866115520052198,1.496631869618766e-29,2.736573175386297e-29,-0.08053469515230519,-0.05676813179914131,Dennd6b
ENSMUSG00000036334,-0.06866927473809623,1.474004340709236e-29,2.695691917902773e-29,-0.08054280023734178,-0.05677626350706189,Igsf10
ENSMUSG00000026873,-0.06869764454009168,1.3975759803866074e-29,2.5563855503687717e-29,-0.08057111952959786,-0.05680467584484231,Phf19
ENSMUSG00000034793,-0.06871315873160713,1.3574575840477182e-29,2.483456977767505e-29,-0.08058660609146043,-0.05682021330544722,G6pc3
ENSMUSG00000000823,-0.06871624998493839,1.3496014663302293e-29,2.4695360774569614e-29,-0.0805896918388082,-0.05682330919590884,Zfp512b
ENSMUSG00000066894,-0.06872189699958557,1.3353664371139398e-29,2.4439356462553802e-29,-0.08059532879469196,-0.056828964682125886,Vsig10
ENSMUSG00000030409,-0.06877739593109727,1.2031548831983892e-29,2.2023702785985524e-29,-0.08065072882813737,-0.05688454691294496,Dmpk
ENSMUSG00000034401,-0.06877821545581542,1.2013032552895552e-29,2.1993834772785706e-29,-0.08065154689192805,-0.05688536766825429,Spata6
ENSMUSG00000026816,-0.06878077451191712,1.1955395245413844e-29,2.1892318706123134e-29,-0.08065410138602001,-0.05688793056711584,Gtf3c5
ENSMUSG00000036158,-0.06878595698200224,1.183951033103837e-29,2.1684084855381628e-29,-0.0806592746168776,-0.0568931208198426,Prickle1
ENSMUSG00000036960,-0.06879315626472002,1.1680375098300302e-29,2.1396547166697748e-29,-0.08066646106376392,-0.05690033091496549,Clca2
ENSMUSG00000024878,-0.06886364997221661,1.0230070542478254e-29,1.8750129293398562e-29,-0.08073682902055333,-0.05697093056056991,Cbwd1
ENSMUSG00000019846,-0.06887416021833609,1.002972403566263e-29,1.8386295207447536e-29,-0.08074732050775613,-0.0569814566117004,Lama4
ENSMUSG00000052906,-0.0688872156928757,9.78627452656165e-30,1.7943297628459204e-29,-0.08076035267693606,-0.056994531722375466,Ubxn8
ENSMUSG00000000776,-0.06893946283352867,8.869317615205947e-30,1.6265024051358787e-29,-0.08081250651045972,-0.05704685748636749,Polr3d
ENSMUSG00000022831,-0.06894052143168775,8.851648557112907e-30,1.6235598967558524e-29,-0.08081356321741741,-0.057047917678217694,Hcls1
ENSMUSG00000039114,-0.06894632778521363,8.755354128722996e-30,1.6061922819157945e-29,-0.08081935919733153,-0.05705373277353012,Nrn1
ENSMUSG00000052684,-0.0689544348783003,8.62264014982558e-30,1.5821358073074458e-29,-0.08082745180496963,-0.05706185207364395,Jun
ENSMUSG00000031995,-0.06896466634621681,8.457995942103504e-30,1.5522106702337133e-29,-0.08083766498945023,-0.05707209894955065,St14
ENSMUSG00000016520,-0.06896514543081572,8.450363470094496e-30,1.551094616390326e-29,-0.08083814321787311,-0.057072578755684264,Lnx2
ENSMUSG00000016946,-0.0689879374605471,8.095044516716544e-30,1.486147331873792e-29,-0.0808608945094636,-0.05709540511814363,Kctd5
ENSMUSG00000006281,-0.0690037153528038,7.85779746324276e-30,1.442856677055226e-29,-0.08087664419329933,-0.05711120678467926,Tep1
ENSMUSG00000005161,-0.06901039656556965,7.759425871918356e-30,1.4250552565506622e-29,-0.08088331345930748,-0.057117898066556164,Prdx2
ENSMUSG00000002428,-0.06901263636224028,7.726722262771432e-30,1.4193097470189993e-29,-0.08088554925073253,-0.05712014123901497,Hltf
ENSMUSG00000004897,-0.06902797425902835,7.5064172116902e-30,1.3790955744424397e-29,-0.08090085971680108,-0.05713550225607905,Hdgf
ENSMUSG00000036655,-0.06907594544232305,6.856833663436188e-30,1.2606791070851605e-29,-0.08094874507093673,-0.057183545787262986,Colec11
ENSMUSG00000011463,-0.06910479578209855,6.493362131943897e-30,1.1940717418065278e-29,-0.08097754376582196,-0.05721243966429187,Cpb1
ENSMUSG00000031925,-0.06910533421651559,6.486763665581595e-30,1.1930777387496037e-29,-0.08097808123620104,-0.05721297891143483,Maml2
ENSMUSG00000025743,-0.06911812021947356,6.332012695973465e-30,1.164829414270321e-29,-0.0809908443444772,-0.057225784215933606,Sdc3
ENSMUSG00000032839,-0.06912486972789167,6.2518055527522984e-30,1.1502862102580127e-29,-0.0809975817656211,-0.05723254391487714,Trpc1
ENSMUSG00000021732,-0.06913928492514868,6.08386437842613e-30,1.1197983394857592e-29,-0.08101197114396608,-0.057246980880101356,Fgf10
ENSMUSG00000042129,-0.06914337759622446,6.0370049332771874e-30,1.1113779332248135e-29,-0.08101605648379864,-0.05725107973230636,Rassf4
ENSMUSG00000025487,-0.06915695513806784,5.884097771019012e-30,1.083428055794331e-29,-0.08102960970119653,-0.05726467778307657,Psmd13
ENSMUSG00000006463,-0.06918860602264056,5.542412896075358e-30,1.0208902000507198e-29,-0.08106120386551148,-0.057296376493558364,Zdhhc24
ENSMUSG00000030306,-0.069202605624098,5.397633017100489e-30,9.944054932020062e-30,-0.08107517837124437,-0.05731039725669108,Tmtc1
ENSMUSG00000021707,-0.06920716921452214,5.3512537024533206e-30,9.860426943897772e-30,-0.08107973377995478,-0.05731496774641247,Dhfr
ENSMUSG00000020656,-0.06921431193994733,5.2794555742535166e-30,9.729921810271871e-30,-0.08108686369873583,-0.057322121271306474,Grhl1
ENSMUSG00000034486,-0.06921470881040236,5.275494417194572e-30,9.724413672248059e-30,-0.08108725985758108,-0.057322518741846996,Gbx2
ENSMUSG00000031818,-0.06924060880374815,5.023264190414626e-30,9.262888051658908e-30,-0.08111311340275476,-0.057348457905266666,Cox4i1
ENSMUSG00000040666,-0.06924950593380927,4.939410152366717e-30,9.109941262203463e-30,-0.081121994573317,-0.057357368494682724,Sh3bgr
ENSMUSG00000022791,-0.06925451446863302,4.892818160253265e-30,9.025674525462581e-30,-0.08112699412309901,-0.057362384607125685,Tnk2
ENSMUSG00000034723,-0.06927430405383958,4.7129527631656506e-30,8.697089431935136e-30,-0.08114674820101152,-0.05738220413868612,Tmx4
ENSMUSG00000070327,-0.06928549244351462,4.614182547376149e-30,8.516394513429586e-30,-0.0811579165118867,-0.05739340946320629,Rnf213
ENSMUSG00000091712,-0.06931342355105528,4.3764834542026706e-30,8.080656303919259e-30,-0.08118579748096123,-0.057421382860593645,Sec14l5
ENSMUSG00000023403,-0.06935678875579726,4.0312997057204014e-30,7.444690130600927e-30,-0.08122908480503896,-0.05746481376059447,Stk31
ENSMUSG00000007805,-0.06936105979644938,3.998800497008747e-30,7.386037120444675e-30,-0.0812333481727987,-0.057469091274009995,Twist2
ENSMUSG00000025280,-0.06936418072312774,3.975217278035759e-30,7.34383387776789e-30,-0.08123646349248106,-0.057472216930729764,Polr3a
ENSMUSG00000074158,-0.06944219688383922,3.428526435709167e-30,6.335045150977766e-30,-0.08131433941550063,-0.05755035140761283,Zfp976
ENSMUSG00000064141,-0.06944239474370985,3.427239505805462e-30,6.333837563861509e-30,-0.08131453691952462,-0.057550549567734983,Zfp69
ENSMUSG00000043088,-0.0694424910526259,3.4266132620947244e-30,6.333837563861509e-30,-0.08131463305523086,-0.057550646022799745,Il17re
ENSMUSG00000033658,-0.06944429121712943,3.41492866354319e-30,6.313419603518561e-30,-0.08131642998213102,-0.05755244891909257,Ddx19b
ENSMUSG00000038260,-0.06948860399585685,3.139444801648255e-30,5.805186393580354e-30,-0.08136066303980787,-0.057596828967892484,Trpm4
ENSMUSG00000026803,-0.06950007890441971,3.071778082972378e-30,5.681113525009022e-30,-0.08137211729677551,-0.05760832130387563,Ttf1
ENSMUSG00000032937,-0.069571978450028,2.679544219314726e-30,4.9575286203787714e-30,-0.08144388737211966,-0.05768033011805142,Fshr
ENSMUSG00000096956,-0.0695816003788522,2.630974353106538e-30,4.868568381026162e-30,-0.08145349196529525,-0.05768996667908666,Snhg18
ENSMUSG00000022421,-0.06965638733982682,2.2820839590750526e-30,4.225298942927333e-30,-0.08152814410883324,-0.0577648674452593,Nptxr
ENSMUSG00000039115,-0.0696704641717242,2.2217474066612367e-30,4.11434704937266e-30,-0.08154219554972122,-0.05777896571319617,Itga9
ENSMUSG00000002930,-0.0696720540958493,2.2150329299580417e-30,4.102672587438491e-30,-0.08154378260573265,-0.05778055805873774,Ppp1r17
ENSMUSG00000045394,-0.06968377398956722,2.1661556323928538e-30,4.012885573162012e-30,-0.08155548135571167,-0.057792295803440766,Epcam
ENSMUSG00000022272,-0.06969286757779593,2.128970045297108e-30,3.944728636829921e-30,-0.08156455853603815,-0.05780140324470081,Myo10
ENSMUSG00000031883,-0.06971682676485579,2.0340020309452434e-30,3.769462622211348e-30,-0.08158847448320818,-0.05782539894029226,Car7
ENSMUSG00000074071,-0.06974192449430675,1.939028354460505e-30,3.5947874572868094e-30,-0.08161352690334499,-0.05785053492789787,Fam169b
ENSMUSG00000026208,-0.06974964262372248,1.9107165297886366e-30,3.543613742189608e-30,-0.08162123109608782,-0.0578582648256078,Des
ENSMUSG00000040219,-0.06977113242168703,1.8340304478073765e-30,3.402022718989754e-30,-0.08164268208231999,-0.05787978739786624,Ttc12
ENSMUSG00000041164,-0.06979396443580022,1.755899730300514e-30,3.257698943043625e-30,-0.08166547284853568,-0.057902654245410676,Zmiz2
ENSMUSG00000032841,-0.06980043501861388,1.7343646050261847e-30,3.2183421878385315e-30,-0.08167193173945542,-0.05790913470227267,Prr5l
ENSMUSG00000059743,-0.06983576092176094,1.6213347946415202e-30,3.009158861621233e-30,-0.08170719379356571,-0.05794451453008504,Fdps
