,Neural Crest/Mid-HindBrain_2_corr,Neural Crest/Mid-HindBrain_2_pval,Neural Crest/Mid-HindBrain_2_qval,Neural Crest/Mid-HindBrain_2_ci_low,Neural Crest/Mid-HindBrain_2_ci_high,gene_annotation
ENSMUSG00000039001,0.3607978489307509,0.0,0.0,0.3503675901889251,0.37113863084975035,Rps21
ENSMUSG00000025362,0.3396880126362633,0.0,0.0,0.32908312252015093,0.35020722916906444,Rps26
ENSMUSG00000049751,0.32978909974986087,0.0,0.0,0.31910603056625914,0.34038836893704133,Rpl36al
ENSMUSG00000059278,0.31654691606763896,0.0,0.0,0.3057629651526926,0.3272496594992206,Naa38
ENSMUSG00000090733,0.3164319549673391,0.0,0.0,0.30564714679817745,0.3271355785813144,Rps27
ENSMUSG00000034892,0.31451103448814915,0.0,0.0,0.30371194941225776,0.32522931917919545,Rps29
ENSMUSG00000057863,0.3042029480960259,0.0,0.0,0.29332877175078265,0.31499841920563404,Rpl36
ENSMUSG00000030432,0.3037145683543228,0.0,0.0,0.2928368979554451,0.3145136341687526,Rpl28
ENSMUSG00000045128,0.2964045106031187,0.0,0.0,0.2854752292256083,0.30725670863758286,Rpl18a
ENSMUSG00000041841,0.2910862724394713,0.0,0.0,0.2801202532086418,0.30197633212891034,Rpl37
ENSMUSG00000024925,0.27940257636015126,0.0,0.0,0.26835824345047016,0.29037346771219363,Rnaseh2c
ENSMUSG00000033751,0.27919163599986063,0.0,0.0,0.2681459194542315,0.2901639570559112,Gadd45gip1
ENSMUSG00000028234,0.27595407994169646,0.0,0.0,0.2648872616863424,0.2869482124257299,Rps20
ENSMUSG00000007892,0.2746815852778459,0.0,0.0,0.26360654236466446,0.28568422272624844,Rplp1
ENSMUSG00000073702,0.27352836648042583,0.0,0.0,0.2624459035640198,0.28453867862161597,Rpl31
ENSMUSG00000029715,0.27198235061626047,0.0,0.0,0.2608899906828488,0.28300290218938917,Pop7
ENSMUSG00000014294,0.26869370405614784,0.0,0.0,0.2575804830970091,0.2797358487219759,Ndufa2
ENSMUSG00000049960,0.26383001642121895,0.0,0.0,0.2526864213214393,0.27490362699924326,Mrps16
ENSMUSG00000062997,0.26328533511458996,0.0,0.0,0.25213837393724553,0.27436243470529453,Rpl35
ENSMUSG00000047675,0.25989995417261247,0.0,0.0,0.24873223200209096,0.2709985818253906,Rps8
ENSMUSG00000070493,0.259686565033786,0.0,0.0,0.2485175434990273,0.27078654057248375,Chchd2
ENSMUSG00000040952,0.2592577586175887,0.0,0.0,0.24808612932284002,0.27036043948195315,Rps19
ENSMUSG00000028998,0.25914656200508046,0.0,0.0,0.24797425719846225,0.2702499436950309,Tomm7
ENSMUSG00000060938,0.25657571397372436,0.0,0.0,0.24538787451934396,0.2676952170838677,Rpl26
ENSMUSG00000069310,0.25598585152202397,0.0,0.0,0.24479447021837816,0.267109031522269,Hist1h3c
ENSMUSG00000024309,0.2540152426868935,0.0,0.0,0.24281208958448822,0.2651506467321313,Pfdn6
ENSMUSG00000061477,0.24989050777655378,0.0,0.0,0.2386630176796618,0.2610512008714901,Rps7
