,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000028946,0.437704558541512,0.0,0.0,0.4280017347170588,0.4473064956797444,Hes3
ENSMUSG00000048562,0.43407869152502354,0.0,0.0,0.4243383527230889,0.44371858820569704,Sp8
ENSMUSG00000001260,0.4205528431663601,0.0,0.0,0.41067537203994364,0.43033161603943737,Gabrg1
ENSMUSG00000079466,0.4171802639962385,0.0,0.0,0.4072692906390072,0.42699299458579204,Prdm12
ENSMUSG00000027967,0.416609672533621,0.0,0.0,0.4066930583507876,0.4264281218149195,Neurog2
ENSMUSG00000039095,0.41008022065310484,0.0,0.0,0.4000996185180855,0.41996356537224483,En2
ENSMUSG00000059246,0.3880704764275443,0.0,0.0,0.377881789548836,0.39816518241367305,Foxb1
ENSMUSG00000035456,0.38504121007303416,0.0,0.0,0.37482480227174225,0.3951641135244403,Prdm8
ENSMUSG00000030519,0.3844542136604157,0.0,0.0,0.37423245992875265,0.3945825560848183,Apba2
ENSMUSG00000045994,0.3733439123571713,0.0,0.0,0.3630225470096769,0.3835736697920729,B3gat1
ENSMUSG00000058665,0.37178968132585455,0.0,0.0,0.3614546193889475,0.3820333939675108,En1
ENSMUSG00000032936,0.36514511995703686,0.0,0.0,0.35475216217009153,0.3754478513184291,Camkv
ENSMUSG00000062961,0.36434763253009017,0.0,0.0,0.3539477978110447,0.3746573774549366,Ccdc177
ENSMUSG00000095139,0.3630939349111238,0.0,0.0,0.3526833203491812,0.3734146752724615,Pou3f2
ENSMUSG00000024227,0.35906858145580234,0.0,0.0,0.3486236121360277,0.36942437538175715,Pdzph1
ENSMUSG00000022935,0.3581195090479109,0.0,0.0,0.3476664968733069,0.3684835120428993,Grik1
ENSMUSG00000032269,0.3561779294165922,0.0,0.0,0.34570853131314383,0.36655866009311183,Htr3a
ENSMUSG00000050840,0.35288727134558745,0.0,0.0,0.34239030996984227,0.3632961497471709,Cdh20
ENSMUSG00000039982,0.3517051620446964,0.0,0.0,0.3411983629879437,0.3621240896802733,Dtx4
ENSMUSG00000041703,0.347915393290217,0.0,0.0,0.3373772830280434,0.35836631601055224,Zic5
ENSMUSG00000045608,0.34240765325501027,0.0,0.0,0.3318246568331977,0.3529044712413971,Dbx2
ENSMUSG00000032517,0.34124282811788403,0.0,0.0,0.33065043271532274,0.35174926078539104,Mobp
ENSMUSG00000079278,0.3393460185489975,0.0,0.0,0.328738387959982,0.34986803934461924,Tmem233
ENSMUSG00000014030,0.3378811944180101,0.0,0.0,0.3272618578573988,0.34841519517655867,Pax5
ENSMUSG00000022997,0.3372718219742666,0.0,0.0,0.32664763095788635,0.34781079153558125,Wnt1
ENSMUSG00000021803,0.3350061062174821,0.0,0.0,0.3243639444950889,0.3455634735158163,Cdhr1
ENSMUSG00000028707,0.334149681191827,0.0,0.0,0.32350075897279645,0.3447139711687632,Dmbx1
ENSMUSG00000025469,0.33313816499368226,0.0,0.0,0.322481280838601,0.3437106089982686,Msx3
ENSMUSG00000021175,0.3311026703510707,0.0,0.0,0.3204298391602816,0.34169144970647575,Cdca7l
ENSMUSG00000028736,0.33058186941802054,0.0,0.0,0.31990497410776775,0.3411748126246237,Pax7
