,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000054580,-0.17609452126934105,1.4364373046805173e-187,7.339996447013373e-187,-0.18763957171643403,-0.1645008218023165,Pla2r1
ENSMUSG00000019960,-0.1761810311627191,9.356400439104636e-188,4.783435807313209e-187,-0.18772570661191215,-0.16458768432438775,Dusp6
ENSMUSG00000041084,-0.17618476574673678,9.184793055568663e-188,4.698103864741004e-187,-0.1877294250034808,-0.16459143413523897,Ostc
ENSMUSG00000024989,-0.17619187570906938,8.866725754741829e-188,4.537730683081796e-187,-0.1877365041374486,-0.16459857308759349,Cep55
ENSMUSG00000035498,-0.17622501967203466,7.523210012540677e-188,3.852130062744842e-187,-0.1877695043743766,-0.1646318522071357,Cdcp1
ENSMUSG00000032186,-0.176260762992624,6.301302039007925e-188,3.228126044573732e-187,-0.18780509266782125,-0.16466774131370956,Tmod2
ENSMUSG00000021492,-0.17627223626468835,5.952770431928132e-188,3.05113809939935e-187,-0.1878165161711937,-0.1646792613882214,F12
ENSMUSG00000016942,-0.1763357308695019,4.3444299040924664e-188,2.2279127713294698e-187,-0.18787973529301738,-0.16474301506115352,Tmprss6
ENSMUSG00000032436,-0.17635079376123092,4.031577354702399e-188,2.0685363543880962e-187,-0.18789473281759034,-0.16475813942609988,Cmtm7
ENSMUSG00000039672,-0.1763513566595581,4.0203327080241e-188,2.0638258254743842e-187,-0.18789529327305096,-0.1647587046217789,Kcne2
ENSMUSG00000030530,-0.17639295809338143,3.2704125986130354e-188,1.6805820136757633e-187,-0.18793671414413393,-0.16480047586423413,Furin
ENSMUSG00000041577,-0.17645287019644726,2.429068026509432e-188,1.248878162729785e-187,-0.18799636613849743,-0.1648606325894426,Prelp
ENSMUSG00000023902,-0.1764838788281775,2.0824297227905176e-188,1.0712087051391552e-187,-0.1880272401126493,-0.1648917678638175,Zscan10
ENSMUSG00000001435,-0.1764979114229677,1.942250480873336e-188,9.996142464608009e-188,-0.18804121176222446,-0.1649058577768533,Col18a1
ENSMUSG00000019194,-0.17650434899912468,1.8811350585216203e-188,9.686586295167973e-188,-0.18804762137766529,-0.1649123216498422,Scn1b
ENSMUSG00000039497,-0.17657851513894057,1.3014001666608827e-188,6.704792203301817e-188,-0.18812146531625842,-0.16498679082247714,Dse
ENSMUSG00000028980,-0.17666515554025236,8.460519239685853e-189,4.361092391590646e-188,-0.18820772915892628,-0.1650737853921325,H6pd
ENSMUSG00000043013,-0.17669480749327238,7.300796861304591e-189,3.765238195618665e-188,-0.18823725219699258,-0.16510355859773398,Onecut1
ENSMUSG00000029634,-0.1767386204297634,5.871441367380168e-189,3.029639508452099e-188,-0.18828087461399717,-0.16514755073248066,Rnf6
ENSMUSG00000026676,-0.17674019566165095,5.825619673361528e-189,3.007547585628047e-188,-0.18828244299517913,-0.16514913240804585,Ccdc3
ENSMUSG00000005575,-0.17678079728019266,4.760238749372246e-189,2.4588010069071516e-188,-0.18832286801639736,-0.16518990013301985,Ube2m
ENSMUSG00000030895,-0.17680835496229783,4.150326583363424e-189,2.1448716193092627e-188,-0.18835030581368642,-0.16521757057970488,Hpx
ENSMUSG00000027566,-0.17681403022673287,4.034762242887181e-189,2.0862265992177773e-188,-0.18835595638665117,-0.16522326906928814,Psma7
ENSMUSG00000002108,-0.17683121810205762,3.704009674260253e-189,1.9161974517642284e-188,-0.1883730694777304,-0.16524052728807442,Nr1h3
ENSMUSG00000034707,-0.1769456684160554,2.095204012331049e-189,1.086160711420969e-188,-0.1884870216410221,-0.1653554461848445,Gns
ENSMUSG00000028541,-0.17702970062351933,1.3785899927456002e-189,7.150363032912864e-189,-0.1885706878962533,-0.1654398226375679,B4galt2
ENSMUSG00000090841,-0.1771229997955487,8.659376658157006e-190,4.493708696500781e-189,-0.18866358056304175,-0.1655335042165527,Myl6
ENSMUSG00000097313,-0.1772149960559954,5.473251364867246e-190,2.841771217480398e-189,-0.18875517579283074,-0.1656258777484832,Gm26569
ENSMUSG00000037541,-0.17730464659659406,3.4992623941148676e-190,1.8187434480846505e-189,-0.18884443533507186,-0.16571589613654483,Shank2
ENSMUSG00000001334,-0.1773186320364532,3.2633304670010727e-190,1.696999722829471e-189,-0.18885835976218796,-0.16572993897783872,Fndc5
ENSMUSG00000040907,-0.17740357725862987,2.1353760561766174e-190,1.1115960729706493e-189,-0.18894293430348216,-0.16581523294768974,Atp1a3
ENSMUSG00000079042,-0.17743564596152656,1.8193445133883353e-190,9.480690533550472e-190,-0.18897486302162197,-0.16584743335564067,Apela
ENSMUSG00000067288,-0.1774642636639057,1.576992001380908e-190,8.222064657877519e-190,-0.18900335578278413,-0.16587616861079912,Rps28
ENSMUSG00000019894,-0.17753255542843857,1.12105828575146e-190,5.847982711275221e-190,-0.18907134931572867,-0.1659447409765496,Slc6a15
ENSMUSG00000055435,-0.1775480510385722,1.0375099232917391e-190,5.41497872281701e-190,-0.18908677724080203,-0.1659603002715556,Maf
ENSMUSG00000032796,-0.17758372424588723,8.680509551484057e-191,4.532903160043894e-190,-0.18912229460535315,-0.1659961201128821,Lama1
ENSMUSG00000018166,-0.17762398596926388,7.097676126705117e-191,3.708294737045516e-190,-0.18916238040420685,-0.16603654736800488,Erbb3
ENSMUSG00000046562,-0.1776677798580809,5.70154521889001e-191,2.9804209194406743e-190,-0.1892059828909568,-0.166080521354912,Unc119b
ENSMUSG00000033855,-0.17771760272313245,4.4436787604387267e-191,2.3240997701039366e-190,-0.1892555879488517,-0.16613054916766654,Ston1
ENSMUSG00000074884,-0.17774440335184752,3.8859699037512947e-191,2.033474570251855e-190,-0.18928227139076104,-0.16615746006616453,Serf2
ENSMUSG00000018733,-0.17774836532217023,3.809679635255425e-191,1.9945966676729973e-190,-0.18928621603576654,-0.16616143833927088,Pex12
ENSMUSG00000028776,-0.17775855246670927,3.6203176985332364e-191,1.897441141788908e-190,-0.18929635863118724,-0.16617166740377923,Tinagl1
ENSMUSG00000033917,-0.17777152754391373,3.392683464408462e-191,1.779068413428664e-190,-0.18930927696387762,-0.1661846958768709,Gde1
ENSMUSG00000048834,-0.1777792954211818,3.263304414313558e-191,1.7121219382547524e-190,-0.1893170108676121,-0.16619249572295183,Vstm2a
ENSMUSG00000022512,-0.17783003520117033,2.5312797637940263e-191,1.328755781519174e-190,-0.18936752869723988,-0.1662434443589159,Cldn1
ENSMUSG00000029616,-0.17784160768898719,2.3887719327042833e-191,1.2546071075127537e-190,-0.18937905055511967,-0.16625506449027436,Erp29
ENSMUSG00000027298,-0.17785545150716767,2.2287824212907793e-191,1.1711941257439723e-190,-0.18939283380205948,-0.16626896530721416,Tyro3
ENSMUSG00000029755,-0.17792119368263057,1.603464574193748e-191,8.430413113531798e-191,-0.1894582882718989,-0.16633497822392887,Dlx5
ENSMUSG00000022658,-0.17796395192696002,1.2942465426334746e-191,6.808240624058257e-191,-0.18950085933950103,-0.1663779126121846,Tagln3
ENSMUSG00000035671,-0.17796537606634216,1.2850429845242748e-191,6.76338412907513e-191,-0.18950227724388297,-0.16637934261910947,Zswim4
ENSMUSG00000022425,-0.17798386750959772,1.1713110296543989e-191,6.168041230407577e-191,-0.18952068772569927,-0.16639791025268458,Enpp2
ENSMUSG00000025277,-0.1780148859219336,1.0026572341275587e-191,5.282704078648887e-191,-0.18955157031131112,-0.16642905648867878,Abhd6
ENSMUSG00000050248,-0.17804605736944326,8.57603944458495e-192,4.520843144219795e-191,-0.18958260523897488,-0.16646035641377918,Evc2
