,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000048368,-0.06236678789494407,1.1740413057889083e-24,3.1291079578595637e-24,-0.07425105918557674,-0.050464804596340514,Omd
ENSMUSG00000075284,-0.06237459342311264,1.1585191179537334e-24,3.0885606983570606e-24,-0.0742588519904504,-0.05047262064836675,Wipf1
ENSMUSG00000030760,-0.06237868290323462,1.1504680573274155e-24,3.067914819539775e-24,-0.07426293480399156,-0.05047671564274076,Acer3
ENSMUSG00000059481,-0.06238183734445035,1.1442957202961025e-24,3.0522691925742933e-24,-0.07426608410263422,-0.050479874337676145,Plg
ENSMUSG00000058966,-0.06238215105525243,1.1436836746613145e-24,3.051450572735631e-24,-0.0742663973019918,-0.050480188471525855,Fam57b
ENSMUSG00000078945,-0.062388094063406625,1.132150019231483e-24,3.0214839050746814e-24,-0.07427233062078324,-0.05048613949443452,Naip2
ENSMUSG00000030559,-0.0624095305946537,1.0914972250426006e-24,2.913767285217834e-24,-0.07429373219534349,-0.05050760494205924,Rab38
ENSMUSG00000092544,-0.06241768686811798,1.0764121853377283e-24,2.8742648473637602e-24,-0.07430187516544617,-0.050515772220652407,Gm20422
ENSMUSG00000029260,-0.062417893364017256,1.0760329638423375e-24,2.8740196683823116e-24,-0.07430208132451793,-0.050515978995193944,Ugt2b34
ENSMUSG00000040247,-0.06243884245657081,1.038240726107431e-24,2.7738197331216433e-24,-0.07432299624050406,-0.05053695636142058,Tbc1d10c
ENSMUSG00000001120,-0.06243986250377099,1.0364345148455769e-24,2.7697341390849197e-24,-0.0743240146233217,-0.050537977785582444,Pcbp3
ENSMUSG00000029163,-0.06244767162920315,1.02270954409059e-24,2.733786538600882e-24,-0.0743318110060007,-0.0505457974533778,Emilin1
ENSMUSG00000066235,-0.06245838259815993,1.0041768442131568e-24,2.685682921137087e-24,-0.07434250449467927,-0.05055652288457621,Pomgnt2
ENSMUSG00000090231,-0.06245858679010313,1.0038267915566274e-24,2.6854649319331924e-24,-0.07434270835335513,-0.050556727352251606,Cfb
ENSMUSG00000025389,-0.062460354753647376,1.0008009665753377e-24,2.6788034437241375e-24,-0.07434447343131528,-0.05055849770322091,Mip
ENSMUSG00000086080,-0.062462172688276474,9.976990399080214e-25,2.6712156356305796e-24,-0.0743462883987223,-0.0505603180928331,1700123O12Rik
ENSMUSG00000028923,-0.062464431000064206,9.938589637031516e-25,2.6616469301102076e-24,-0.07434854302439729,-0.05056257945441008,Necap2
ENSMUSG00000022512,-0.06247335044165325,9.788347756492402e-25,2.6221129805765877e-24,-0.07435744790610621,-0.05057151094265763,Cldn1
ENSMUSG00000104414,-0.06247596861485392,9.74467516340564e-25,2.6111133878364523e-24,-0.07436006180510463,-0.050574132652342264,Gm37799
ENSMUSG00000020216,-0.06249617222628253,9.41409701065685e-25,2.5232101341883812e-24,-0.07438023242837938,-0.05059436355921161,Jsrp1
ENSMUSG00000019539,-0.06249932629677936,9.363501555573447e-25,2.510322132861514e-24,-0.07438338134807965,-0.05059752189179558,Rcn3
ENSMUSG00000027356,-0.06250961606354968,9.200305801596765e-25,2.467231376132144e-24,-0.07439365430936253,-0.05060782556475577,Fermt1
ENSMUSG00000027695,-0.0625124959969695,9.155136924650805e-25,2.455777072062984e-24,-0.07439652953875603,-0.05061070939073906,Pld1
ENSMUSG00000108371,-0.0625136074277912,9.137764057242265e-25,2.451774633013755e-24,-0.07439763915413579,-0.050611822323841295,Gm45050
ENSMUSG00000050700,-0.06251692474209342,9.086104828136579e-25,2.438568123493446e-24,-0.0744009510496697,-0.05061514412221209,Emilin3
ENSMUSG00000026618,-0.06254111115140853,8.718103921165508e-25,2.3404305828632237e-24,-0.0744250979430329,-0.05063936323265562,Iars2
ENSMUSG00000048895,-0.06254382179724007,8.677792494949495e-25,2.3302342897286506e-24,-0.07442780415932083,-0.05064207754427624,Cdk5r1
ENSMUSG00000017195,-0.0625459667836747,8.646024213369355e-25,2.322327212830877e-24,-0.07442994564044796,-0.050644225431645255,Zpbp2
ENSMUSG00000020288,-0.06254683970564683,8.633128829541305e-25,2.3194865205645634e-24,-0.07443081713587153,-0.050645099534210855,Ahsa2
ENSMUSG00000036186,-0.06256229099466129,8.408000302427342e-25,2.2596077136327176e-24,-0.07444624317104093,-0.050660571723518566,Fam69b
ENSMUSG00000004771,-0.06257938593503773,8.165696159163458e-25,2.195079612678349e-24,-0.07446331016453393,-0.0506776897941415,Rab11a
ENSMUSG00000029330,-0.0625795636583803,8.163213792336647e-25,2.1950023641668854e-24,-0.07446348759729704,-0.05067786775798871,Cds1
ENSMUSG00000057069,-0.06258331513113644,8.1109888641824805e-25,2.181546224901151e-24,-0.0744672329361817,-0.050681624307612985,Ero1lb
ENSMUSG00000024069,-0.06260364906199159,7.833623487369704e-25,2.1075123721737164e-24,-0.074487533614069,-0.05070198576223671,Slc30a6
ENSMUSG00000052363,-0.06260910607064872,7.760800188228865e-25,2.088482289620254e-24,-0.07449298169696444,-0.05070745015912022,Zdhhc19
