,Forebrain/Midbrain/Hindbrain_1_corr,Forebrain/Midbrain/Hindbrain_1_pval,Forebrain/Midbrain/Hindbrain_1_qval,Forebrain/Midbrain/Hindbrain_1_ci_low,Forebrain/Midbrain/Hindbrain_1_ci_high,gene_annotation
ENSMUSG00000001755,0.631248257482101,0.0,0.0,0.6272858423557144,0.635177991321143,Coasy
ENSMUSG00000085111,0.6233476610782308,0.0,0.0,0.6193201621124133,0.6273423560157079,Ascl4
ENSMUSG00000051008,0.6168325001791497,0.0,0.0,0.6127519540889775,0.6208801561515475,4930412M03Rik
ENSMUSG00000089739,0.6146745689979531,0.0,0.0,0.6105765770827216,0.6187396452690229,Gm20431
ENSMUSG00000030224,0.6146197000790233,0.0,0.0,0.6105212653814079,0.618685218502719,Strap
ENSMUSG00000021737,0.6129412777450213,0.0,0.0,0.6088293177946837,0.6170203026186151,Psmd6
ENSMUSG00000015536,0.6075667615290646,0.0,0.0,0.6034117437151947,0.6116887900443378,Mocs2
ENSMUSG00000090685,0.6049979535739142,0.0,0.0,0.6008224912560151,0.6091404038832636,Gm9047
ENSMUSG00000059920,0.6027169971743954,0.0,0.0,0.5985234547267051,0.6068775091766963,4930453N24Rik
ENSMUSG00000072511,0.6018180291612925,0.0,0.0,0.5976173799691494,0.6059856410869532,Hhla1
ENSMUSG00000019837,0.5992245458547304,0.0,0.0,0.595003454140401,0.6034125820301803,Gtf3c6
ENSMUSG00000109127,0.5986929429030428,0.0,0.0,0.5944676719808466,0.6028851547982839,Gm45158
ENSMUSG00000073967,0.5972225375038404,0.0,0.0,0.5929857264978977,0.6014262802896887,Olfr557
ENSMUSG00000089682,0.5943944504976995,0.0,0.0,0.5901355246939868,0.5986202922729748,Bcl2l2
ENSMUSG00000042572,0.5931544489490673,0.0,0.0,0.588885860183229,0.5973899475300332,Ube2q1
ENSMUSG00000061984,0.5919321937503003,0.0,0.0,0.5876541002881054,0.5961771914202194,Olfr392
ENSMUSG00000087651,0.5918623763798306,0.0,0.0,0.5875837405913312,0.5961079160695459,1500009L16Rik
ENSMUSG00000057497,0.5892723570419435,0.0,0.0,0.5849736482605591,0.5935379594052772,Fam136a
ENSMUSG00000030519,0.5867405466470882,0.0,0.0,0.5824223020571333,0.5910256767047407,Apba2
ENSMUSG00000048696,0.585313170002182,0.0,0.0,0.5809839490735655,0.5896092726805585,Mex3d
ENSMUSG00000020577,0.5831989572383225,0.0,0.0,0.5788535279785593,0.5875112638720489,Tspan13
ENSMUSG00000068947,0.5824224768058927,0.0,0.0,0.5780711096562396,0.586740720060677,Olfr366
ENSMUSG00000003444,0.5809757342272296,0.0,0.0,0.57661332491121,0.5853050177677975,Med29
ENSMUSG00000045691,0.5788186188656504,0.0,0.0,0.5744397970924178,0.5831643132251431,Thtpa
ENSMUSG00000020949,0.5780506913814396,0.0,0.0,0.5736660417197609,0.5824022133821238,Fkbp3
ENSMUSG00000074502,0.5777491582472953,0.0,0.0,0.5733622223562085,0.5821029664284452,Ubtfl1
ENSMUSG00000085580,0.5764705862174277,0.0,0.0,0.5720739695754206,0.5808340752431785,1700061F12Rik
ENSMUSG00000076432,0.576405448856659,0.0,0.0,0.5720083396056559,0.5807694305092153,Ywhaq
