,timepoint,weight,marginal,celltype
128,10.75,50,target_marginals,Eye_and_other
129,10.75,50,target_marginals,Lung_and_airways
130,11.0,1/2,source_marginals,Ependymal_cells
131,11.0,50,source_marginals,White_blood_cells
132,11.0,1/2,target_marginals,Mesoderm
133,11.0,1/2,target_marginals,CNS_neurons
134,11.0,1/2,target_marginals,Neuroectoderm_and_glia
135,11.0,1/2,target_marginals,Muscle_cells
136,11.0,1/2,target_marginals,Definitive_erythroid
137,11.0,1/2,target_marginals,White_blood_cells
138,11.0,50,target_marginals,Eye_and_other
139,11.0,25,target_marginals,Gut
140,11.0,400,target_marginals,Intestine
141,11.0,20,target_marginals,Lung_and_airways
142,11.0,10,target_marginals,Intermediate_neuronal_progenitors
143,11.0,10,target_marginals,Intermediate_mesoderm_and_kidney
144,11.0,500,target_marginals,Primordial_germ_cells
145,11.0,150,target_marginals,T_cells
146,11.0,50,target_marginals,Notochord
147,11.25,1/2,source_marginals,Ependymal_cells
148,11.25,10,source_marginals,White_blood_cells
149,11.25,20,source_marginals,Gut
150,11.25,1/2,target_marginals,Mesoderm
151,11.25,1/3,target_marginals,CNS_neurons
152,11.25,3/4,target_marginals,Definitive_erythroid
153,11.25,1/2,target_marginals,Muscle_cells
154,11.25,1/3,target_marginals,Neuroectoderm_and_glia
155,11.25,50,target_marginals,Eye_and_other
156,11.25,25,target_marginals,Gut
157,11.25,150,target_marginals,Intestine
158,11.25,50,target_marginals,Lung_and_airways
159,11.25,5,target_marginals,White_blood_cells
160,11.25,300,target_marginals,Mast_cells
161,11.25,300,target_marginals,Notochord
162,11.25,1,target_marginals,Primitive_erythroid
163,11.25,300,target_marginals,Testis_and_adrenal
164,11.5,10,source_marginals,Gut
165,11.5,100,source_marginals,White_blood_cells
166,11.5,20,source_marginals,Mesoderm
167,11.5,7/8,target_marginals,Mesoderm
168,11.5,1/5,target_marginals,CNS_neurons
169,11.5,2/3,target_marginals,Epithelial_cells
170,11.5,1/5,target_marginals,Neuroectoderm_and_glia
171,11.5,2/7,target_marginals,Definitive_erythroid
172,11.5,1/3,target_marginals,Neural_crest_PNS_neurons
173,11.5,1,target_marginals,White_blood_cells
174,11.5,300,target_marginals,Mast_cells
175,11.5,250,target_marginals,Intestine
176,11.5,40,target_marginals,Gut
177,11.5,1000,target_marginals,Notochord
178,11.5,60,target_marginals,Eye_and_other
179,11.5,50,target_marginals,Lung_and_airways
180,11.5,10,target_marginals,Megakaryocytes
181,11.5,70,target_marginals,Cardiocytes
182,11.5,20,target_marginals,Intermediate_mesoderm_and_kidney
183,11.5,20,target_marginals,Ependymal_cells
184,11.5,15,target_marginals,Primordial_germ_cells
185,11.5,50,target_marginals,Olfactory_sensory_neurons
186,11.5,5/8,target_marginals,Muscle_cells
187,11.5,3/4,target_marginals,Primitive_erythroid
188,11.75,100,source_marginals,White_blood_cells
189,11.75,1,target_marginals,Mesoderm
190,11.75,3,target_marginals,CNS_neurons
191,11.75,2,target_marginals,Epithelial_cells
192,11.75,4,target_marginals,Neuroectoderm_and_glia
193,11.75,1000,target_marginals,Mast_cells
194,11.75,1000,target_marginals,Intestine
195,11.75,350,target_marginals,Gut
196,11.75,70,target_marginals,Eye_and_other
197,11.75,20,target_marginals,Epithelial_cells
198,11.75,50,target_marginals,Ependymal_cells
199,11.75,50,target_marginals,Cardiocytes
200,11.75,200,target_marginals,Intermediate_mesoderm_and_kidney
201,11.75,16,target_marginals,Intermediate_neuronal_progenitors
202,11.75,100,target_marginals,Lung_and_airways
203,11.75,25,target_marginals,Neural_crest_PNS_glia
204,11.75,7,target_marginals,Neural_crest_PNS_neurons
205,11.75,2,target_marginals,Muscle_cells
206,11.75,50,target_marginals,Megakaryocytes
207,11.75,30,target_marginals,Endothelium
208,11.75,2,target_marginals,Definitive_erythroid
209,11.75,150,target_marginals,White_blood_cells
210,11.75,50,target_marginals,Hepatocytes
211,11.75,1000,target_marginals,Notochord
212,11.75,100,target_marginals,Primitive_erythroid
213,11.75,150,target_marginals,Glands
214,11.75,1000,target_marginals,Primordial_germ_cells
215,11.75,1000,target_marginals,T_cells
216,11.75,1000,target_marginals,Olidendrocytes
217,11.75,200,target_marginals,Olfactory_sensory_neurons
218,12.0,10,source_marginals,Gut
219,12.0,30,source_marginals,White_blood_cells
220,12.0,5,target_marginals,Mesoderm
221,12.0,3,target_marginals,CNS_neurons
222,12.0,5,target_marginals,Epithelial_cells
223,12.0,17,target_marginals,Definitive_erythroid
224,12.0,1000,target_marginals,Mast_cells
225,12.0,450,target_marginals,Intestine
226,12.0,250,target_marginals,Gut
227,12.0,1000,target_marginals,Glands
228,12.0,5,target_marginals,Eye_and_other
229,12.0,50,target_marginals,Hepatocytes
230,12.0,700,target_marginals,Lung_and_airways
231,12.0,20,target_marginals,Cardiocytes
232,12.0,15,target_marginals,Neural_crest_PNS_neurons
233,12.0,7,target_marginals,Muscle_cells
234,12.0,20,target_marginals,Neural_crest_PNS_glia
