,train_elbo,val_elbo
0,5898.28125,5796.1005859375
1,5532.52099609375,5552.009765625
2,5473.02734375,5463.47021484375
3,5421.2568359375,5404.75146484375
4,5377.3076171875,5371.9716796875
5,5340.21875,5332.37548828125
6,5306.61767578125,5312.47412109375
7,5274.8564453125,5287.69384765625
8,5249.58935546875,5281.10009765625
9,5225.98779296875,5265.57861328125
10,5202.8408203125,5247.666015625
11,5182.0498046875,5238.59716796875
12,5162.4482421875,5231.63232421875
13,5144.6318359375,5237.205078125
14,5128.2919921875,5218.1953125
15,5111.09228515625,5219.21435546875
16,5096.78857421875,5213.12548828125
17,5080.6884765625,5209.0810546875
18,5066.9228515625,5208.58740234375
19,5054.71435546875,5205.099609375
20,5041.07373046875,5206.7724609375
21,5029.6767578125,5205.04443359375
22,5017.51513671875,5205.76904296875
23,5007.10107421875,5205.99658203125
24,4996.30029296875,5205.8544921875
25,4987.232421875,5203.74072265625
26,4975.98486328125,5212.4404296875
27,4966.5380859375,5212.37841796875
28,4957.06689453125,5219.27001953125
29,4949.18896484375,5213.87744140625
30,4939.73193359375,5226.373046875
31,4932.216796875,5220.43017578125
32,4924.9892578125,5217.99853515625
33,4916.50048828125,5222.509765625
34,4908.38525390625,5225.9794921875
35,4900.01123046875,5222.42236328125
36,4892.1650390625,5227.2041015625
37,4885.91357421875,5237.203125
38,4881.30908203125,5229.5966796875
39,4874.36572265625,5231.37109375
40,4867.62158203125,5239.62060546875
41,4862.322265625,5248.39404296875
42,4856.96435546875,5252.00341796875
43,4851.41455078125,5249.78955078125
44,4846.19970703125,5253.501953125
45,4838.708984375,5247.552734375
46,4833.14306640625,5255.1904296875
47,4841.30322265625,5258.05908203125
48,4829.8515625,5271.08642578125
49,4822.72265625,5258.39306640625
50,4816.31982421875,5272.1728515625
51,4814.53173828125,5270.0302734375
52,4807.337890625,5273.8349609375
53,4801.83935546875,5274.701171875
54,4797.0107421875,5276.2138671875
55,4793.326171875,5269.2197265625
56,4787.67138671875,5275.3515625
57,4784.94677734375,5286.0009765625
58,4781.25732421875,5282.7314453125
59,4776.4453125,5286.52783203125
60,4772.67431640625,5294.517578125
61,4769.27392578125,5292.08349609375
62,4765.62890625,5294.52587890625
63,4763.47216796875,5289.0400390625
64,4760.44873046875,5299.84814453125
65,4756.09228515625,5300.54052734375
66,4751.63720703125,5305.94482421875
67,4749.91552734375,5313.88916015625
68,4747.1005859375,5311.16748046875
69,4745.19873046875,5318.1083984375
70,4744.1533203125,5308.1708984375
71,4737.68798828125,5317.79248046875
72,4735.44482421875,5335.42236328125
