,Mesenchyme_3_corr,Mesenchyme_3_pval,Mesenchyme_3_qval,Mesenchyme_3_ci_low,Mesenchyme_3_ci_high,gene_annotation
ENSMUSG00000104586,0.30057405025367684,0.0,0.0,0.2945949245103326,0.30652964353471973,4921539H07Rik
ENSMUSG00000070471,0.3005692097610477,0.0,0.0,0.29459006508175056,0.30652482228174177,Erich6
ENSMUSG00000054135,0.3005682914047965,0.0,0.0,0.294589143132935,0.30652390757567427,A430110L20Rik
ENSMUSG00000055320,0.3005315830091501,0.0,0.0,0.2945522911449663,0.30648734507560355,Tead1
ENSMUSG00000020496,0.30049881168576964,0.0,0.0,0.2945193916449436,0.30645470398526514,Rnf187
ENSMUSG00000003644,0.30049670878907037,0.0,0.0,0.2945172805237861,0.3064526094449865,Rps6ka1
ENSMUSG00000035383,0.30048150022459696,0.0,0.0,0.2945020124801432,0.30643746131408134,Pmch
ENSMUSG00000020598,0.3004774983826013,0.0,0.0,0.29449799498785234,0.3064334753735185,Nrcam
ENSMUSG00000020323,0.3004583514685221,0.0,0.0,0.2944787731974654,0.3064144045373561,Prss57
ENSMUSG00000024474,0.30045090592393775,0.0,0.0,0.29447129853749093,0.3064069885754396,Ik
ENSMUSG00000079386,0.30044713818492064,0.0,0.0,0.29446751606521765,0.3064032358061428,Gm3173
ENSMUSG00000063687,0.3004097222165699,0.0,0.0,0.2944299537967297,0.3063659684862844,Pcdhb5
ENSMUSG00000037872,0.3004000506521061,0.0,0.0,0.2944202444184973,0.3063563353426452,Ackr1
ENSMUSG00000001444,0.300391242784044,0.0,0.0,0.2944114021146106,0.30634756246326467,Tbx21
ENSMUSG00000026715,0.3003822681371035,0.0,0.0,0.29440239238084887,0.3063386234664832,Serpinc1
ENSMUSG00000020863,0.30038050727110727,0.0,0.0,0.29440062463078553,0.3063368695950848,Luc7l3
ENSMUSG00000031748,0.30036277163219316,0.0,0.0,0.2943828196570616,0.30631920440428667,Gnao1
ENSMUSG00000042759,0.3003457016444687,0.0,0.0,0.29436568294071086,0.3063022022167562,Apobr
ENSMUSG00000021907,0.30028480696310034,0.0,0.0,0.29430455024606816,0.30624154937169107,Msmb
ENSMUSG00000038700,0.30025791433447213,0.0,0.0,0.29427755252034743,0.30621476352868443,Hoxb5
ENSMUSG00000023467,0.3002536942001204,0.0,0.0,0.2942733158944672,0.3062105601508443,Tulp2
ENSMUSG00000097222,0.3002358327233446,0.0,0.0,0.29425538462084494,0.3061927695924716,1010001N08Rik
ENSMUSG00000074361,0.30023313829787185,0.0,0.0,0.2942526796667986,0.3061900858647649,C5ar2
ENSMUSG00000107660,0.30023058942910835,0.0,0.0,0.2942501208383182,0.3061875471157718,Gm6559
ENSMUSG00000034266,0.3002042747393847,0.0,0.0,0.2942237033288308,0.30616133689827363,Batf
ENSMUSG00000111726,0.30019875258150774,0.0,0.0,0.2942181595953074,0.30615583666282703,RP23-130L13.2
ENSMUSG00000068959,0.30019800362239085,0.0,0.0,0.2942174077099602,0.3061550906769745,Zfp619
ENSMUSG00000095432,0.3001650956473719,0.0,0.0,0.2941843711687229,0.30612231333485157,Zfp748
ENSMUSG00000052144,0.3001576384965068,0.0,0.0,0.29417688488594307,0.30611488578424645,Ppp4r2
ENSMUSG00000005503,0.3001487912448363,0.0,0.0,0.2941680030727774,0.30610607364973264,Evx1
ENSMUSG00000110541,0.30014845204371343,0.0,0.0,0.29416766254659715,0.3061057357949713,RP23-227D17.1
ENSMUSG00000040680,0.3001143151705896,0.0,0.0,0.2941333923287463,0.30607173441069463,Kremen2
ENSMUSG00000025474,0.30011353427994775,0.0,0.0,0.29413260838798594,0.30607095661922074,Tubgcp2
ENSMUSG00000032114,0.3001050129707685,0.0,0.0,0.2941240537955367,0.30606246912856,Slc37a4
ENSMUSG00000063611,0.30010344323135607,0.0,0.0,0.2941224779250041,0.30606090561886884,Gm10134
