,train_elbo,val_elbo
0,4232.6796875,3968.781494140625
1,2982.68408203125,2851.45556640625
2,2766.307373046875,2732.021240234375
3,2704.1435546875,2691.1865234375
4,2675.838134765625,2671.088134765625
5,2661.5751953125,2660.396240234375
6,2652.55615234375,2652.58740234375
7,2646.13818359375,2648.412353515625
8,2640.93359375,2642.491455078125
9,2636.432861328125,2640.70751953125
10,2632.65478515625,2637.32080078125
11,2629.087646484375,2634.44287109375
12,2626.57861328125,2631.91943359375
13,2623.314208984375,2638.14306640625
14,2620.761474609375,2627.1962890625
15,2617.99462890625,2626.393310546875
16,2616.60888671875,2627.75390625
17,2613.935302734375,2622.01611328125
18,2612.06201171875,2620.560546875
19,2610.224609375,2618.9443359375
20,2608.03125,2617.57763671875
21,2606.8720703125,2617.08447265625
22,2605.523681640625,2615.89453125
23,2603.9482421875,2614.7529296875
24,2601.8974609375,2614.50439453125
25,2601.56689453125,2612.652099609375
26,2599.739013671875,2611.1953125
27,2598.096435546875,2610.149169921875
28,2596.7001953125,2609.068603515625
29,2595.601806640625,2607.929931640625
30,2594.37548828125,2607.6298828125
31,2593.19921875,2606.9873046875
32,2592.438720703125,2605.88671875
33,2591.191162109375,2605.503662109375
34,2590.617431640625,2606.1748046875
35,2589.589111328125,2602.894287109375
36,2588.34423828125,2604.224853515625
37,2587.473876953125,2632.348876953125
38,2587.3193359375,2601.421142578125
39,2585.688232421875,2601.21484375
40,2585.691650390625,2600.911865234375
41,2584.536376953125,2601.07177734375
42,2583.330078125,2598.2626953125
43,2582.805908203125,2598.68603515625
44,2582.165283203125,2601.07080078125
