,train_recon_loss,val_recon_loss
0,2592.160888671875,2526.664794921875
1,2519.3896484375,2508.462158203125
2,2505.878173828125,2501.28271484375
3,2498.66162109375,2497.09765625
4,2493.871826171875,2494.745849609375
5,2490.60009765625,2493.245849609375
6,2487.892578125,2491.404541015625
7,2485.7138671875,2490.835693359375
8,2483.900634765625,2489.86767578125
9,2482.365234375,2489.332275390625
10,2481.167724609375,2488.8935546875
11,2479.9482421875,2488.263427734375
12,2479.5361328125,2488.017578125
13,2478.40185546875,2492.59423828125
14,2477.688720703125,2487.328125
15,2476.630615234375,2487.1171875
16,2476.545166015625,2488.650634765625
17,2475.597412109375,2486.99560546875
18,2475.151611328125,2486.851318359375
19,2474.7158203125,2486.69140625
20,2473.91357421875,2486.490478515625
21,2473.928955078125,2486.68505859375
22,2473.73779296875,2486.641845703125
23,2473.160400390625,2486.68115234375
24,2472.450439453125,2486.49658203125
25,2473.011474609375,2486.4677734375
26,2472.36376953125,2486.326904296875
27,2471.654296875,2486.398193359375
28,2471.2119140625,2486.45361328125
29,2470.97509765625,2486.28515625
30,2470.6298828125,2486.43896484375
31,2470.345947265625,2486.35546875
32,2470.372802734375,2486.55615234375
33,2469.993408203125,2486.368408203125
34,2470.18505859375,2486.770263671875
35,2469.941650390625,2486.621826171875
36,2469.4814453125,2486.633056640625
37,2469.350830078125,2516.192626953125
38,2469.926025390625,2486.52197265625
39,2468.9892578125,2486.748046875
40,2469.581298828125,2487.2060546875
41,2469.130859375,2486.784912109375
42,2468.63330078125,2487.067626953125
43,2468.69775390625,2486.8095703125
44,2468.796142578125,2488.46826171875
