,train_loss,val_loss
0,2592.160888671875,2526.664794921875
1,2520.552001953125,2509.322509765625
2,2507.169189453125,2502.438232421875
3,2500.204345703125,2498.55322265625
4,2495.693603515625,2496.509521484375
5,2492.742431640625,2495.33544921875
6,2490.35888671875,2493.82373046875
7,2488.514892578125,2493.593017578125
8,2487.043212890625,2492.92041015625
9,2485.82666015625,2492.737060546875
10,2484.95263671875,2492.6064453125
11,2484.052001953125,2492.28369140625
12,2483.953125,2492.33251953125
13,2483.115234375,2497.324951171875
14,2482.697021484375,2492.223876953125
15,2481.924072265625,2492.339111328125
16,2482.148193359375,2494.21435546875
17,2481.474853515625,2492.7333984375
18,2481.31005859375,2492.866943359375
19,2481.14306640625,2492.973388671875
20,2480.61962890625,2493.045654296875
21,2480.90576171875,2493.53125
22,2480.989990234375,2493.75
23,2480.684326171875,2494.04443359375
24,2480.2177734375,2494.176513671875
25,2481.048095703125,2494.354736328125
26,2480.640625,2494.442626953125
27,2480.1845703125,2494.75244140625
28,2479.9912109375,2495.036865234375
29,2480.006591796875,2495.104248046875
30,2479.913818359375,2495.529052734375
31,2479.8583984375,2495.705322265625
32,2480.133056640625,2496.102294921875
33,2479.99462890625,2496.197509765625
34,2480.422119140625,2496.91748046875
35,2480.40771484375,2496.79638671875
36,2480.17724609375,2497.217529296875
37,2480.278564453125,2526.93701171875
38,2481.08056640625,2497.437744140625
39,2480.358154296875,2497.910888671875
40,2481.19384765625,2498.576904296875
41,2480.95947265625,2498.498779296875
42,2480.679443359375,2498.745361328125
43,2480.9677734375,2498.83740234375
44,2481.269287109375,2500.85400390625
