,train_elbo,val_elbo
0,1193.149169921875,1428.586669921875
1,1014.803955078125,938.6488037109375
2,877.1923828125,856.3914794921875
3,837.2372436523438,826.59619140625
4,815.3756103515625,810.5408935546875
5,800.4176025390625,796.4501342773438
6,789.8490600585938,785.590576171875
7,781.6702270507812,781.0918579101562
8,775.6458129882812,774.6728515625
9,770.6581420898438,769.0704956054688
10,766.46142578125,768.7435302734375
11,763.048095703125,762.8955078125
12,760.0494384765625,760.388916015625
