,train_loss,val_loss
0,720.6626586914062,686.4122314453125
1,686.21728515625,677.2241821289062
2,680.559814453125,673.1716918945312
3,677.9437255859375,671.0993041992188
4,676.3674926757812,669.9879150390625
5,675.3290405273438,669.0515747070312
6,674.4895629882812,668.1637573242188
7,673.8916625976562,667.5075073242188
8,673.3499755859375,667.1157836914062
9,672.9749755859375,666.6527709960938
10,672.5580444335938,666.2999877929688
11,672.225830078125,665.9439086914062
12,671.9664916992188,665.7244262695312
