,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000042462,0.2289046843851596,0.0,0.0,0.2175597187515651,0.2401878069684027,Dctpp1
ENSMUSG00000041453,0.2129280664859723,5.855942501176611e-276,7.188755014444407e-272,0.2015007743737618,0.22429740346572632,Rpl21
ENSMUSG00000027133,0.20778367650684615,1.6949774465096186e-262,1.387169542223472e-258,0.19633118290311694,0.2191794869894576,Nop10
ENSMUSG00000057130,0.18647268022911245,1.2952057464980654e-210,7.949972872005124e-207,0.17492256716194124,0.19797147715829802,Txnl4a
ENSMUSG00000057497,0.18377730897511746,1.7205185223644818e-204,8.44843415221855e-201,0.172215627005393,0.1952883642742079,Fam136a
ENSMUSG00000019505,0.1776764183993548,5.460419534999527e-191,2.2344036737218064e-187,0.16608919542678477,0.1892145836719404,Ubb
ENSMUSG00000014226,0.17450850781244578,3.5728064523896344e-184,1.2531363431295758e-180,0.16290837535806754,0.18606040174703972,Cacybp
ENSMUSG00000044627,0.17312743955387677,3.0400882799873483e-181,9.330030931281172e-178,0.16152175461040036,0.18468524404453923,Swi5
ENSMUSG00000098274,0.17216882822038077,3.175123515950824e-179,8.661736951513848e-176,0.16055931618816663,0.1837307086694846,Rpl24
ENSMUSG00000030224,0.1703900317219244,1.644203765368266e-175,4.036849084732167e-172,0.15877347664288846,0.1819594177355906,Strap
ENSMUSG00000001056,0.1678348554486493,3.0103000628441132e-170,6.718989740268061e-167,0.15620831629932655,0.1794148915337131,Nhp2
ENSMUSG00000055762,0.16547648976564108,1.8202029604194773e-165,3.7241352570182507e-162,0.15384087473211847,0.1770662181016744,Eef1d
ENSMUSG00000057322,0.1616389426518702,7.68622856354441e-158,1.451632951478018e-154,0.14998884481565417,0.17324416010122123,Rpl38
ENSMUSG00000046330,0.16103113415973588,1.1910767575994767e-156,2.0888083251844536e-153,0.14937877491404972,0.172638772778684,Rpl37a
ENSMUSG00000010607,0.16084464739942245,2.7552612711611057e-156,4.5098116486364977e-153,0.14919159609050633,0.17245302711934585,Pigyl
ENSMUSG00000026377,0.16006678201181437,9.006054835507673e-155,1.3819791145086524e-151,0.1484108530058829,0.17167824407590276,Nifk
ENSMUSG00000071451,0.16000695607744242,1.1767413577154263e-154,1.699491400860538e-151,0.14835080634841843,0.17161865461098708,Psmg4
ENSMUSG00000027566,0.15954696716657843,9.165557457847079e-154,1.2501820372503415e-150,0.14788912321540512,0.1711604810254132,Psma7
ENSMUSG00000063316,0.15924228414605446,3.5574614158623235e-153,4.596989088539567e-150,0.14758332078961944,0.17085699765708173,Rpl27
ENSMUSG00000070493,0.15908802933220406,7.061088599767313e-153,8.668192365074354e-150,0.14742850009362338,0.17070334936240927,Chchd2
ENSMUSG00000039670,0.15898443882190721,1.1185151553077312e-152,1.3077040044340673e-149,0.14732452988332845,0.1706001658457258,Oxld1
ENSMUSG00000058558,0.15838085689281584,1.6213146657407953e-151,1.8093871669667274e-148,0.14671874071348082,0.16999895024472814,Rpl5
ENSMUSG00000001289,0.15670812793535946,2.53181413061995e-148,2.7026565449991742e-145,0.14503994046142102,0.1683327339810861,Pfdn5
ENSMUSG00000027404,0.1556558757713479,2.476850278090635e-146,2.5338178344867195e-143,0.14398390349298018,0.167284544674272,Snrpb
ENSMUSG00000025362,0.15542630498790694,6.702967641763285e-146,6.582850461622886e-143,0.14375351050805288,0.16705585679457677,Rps26
ENSMUSG00000043716,0.15311120800491143,1.4079337233797577e-141,1.3295226452469158e-138,0.14143019278745755,0.16474959347814075,Rpl7
ENSMUSG00000024608,0.15217511218745544,7.529155473974791e-140,6.846512044334409e-137,0.14049080949581577,0.16381703336879017,Rps14
ENSMUSG00000036992,0.15154336351972067,1.0881636470149634e-138,9.541640664825494e-136,0.13985685407940077,0.1631876591058566,Nxt1
ENSMUSG00000028643,0.15101165875229483,1.0209178907350322e-137,8.643302087353969e-135,0.13932329944981292,0.16265794538683284,Svbp
ENSMUSG00000054000,0.15071266297976277,3.5822572674801834e-137,2.931719347705782e-134,0.13902326641771212,0.16236006629981345,Tusc1
ENSMUSG00000039771,0.15023158252362495,2.684858353595456e-136,2.1264078160476006e-133,0.13854052152820437,0.1618807781207458,Polr2j
ENSMUSG00000032959,0.15008808706476223,4.889572105837934e-136,3.7515241982041545e-133,0.13839653068207436,0.16173781619356858,Pebp1
ENSMUSG00000017764,0.14992233356307466,9.765091355331623e-136,7.265227968366726e-133,0.13823020556723004,0.16157267837273864,Zswim1
ENSMUSG00000090862,0.14965922026427433,2.922885989185138e-135,2.1106675531315735e-132,0.13796618625717588,0.1613105410517123,Rps13
ENSMUSG00000075227,0.1494975716245498,5.726589771034243e-135,4.01712091595522e-132,0.1378039818163637,0.16114949120712263,Znhit2
ENSMUSG00000028964,0.14903613256067547,3.8889965374296277e-134,2.6522956385270063e-131,0.13734095962428192,0.16068975803816163,Park7
ENSMUSG00000086727,0.14840131558468522,5.369382252941308e-133,3.562947920924729e-130,0.1367039730387847,0.16005727965455996,4931428L18Rik
ENSMUSG00000008668,0.14810163333269094,1.8464851930388808e-132,1.1930238015655421e-129,0.13640326992594778,0.15975869807184506,Rps18
ENSMUSG00000085301,0.14803036303575215,2.4759891465287186e-132,1.5587303980916177e-129,0.13633175716564042,0.15968768922163126,Gm12132
ENSMUSG00000023723,0.14721691189381564,6.970882254322639e-131,4.278727527703236e-128,0.13551554727921397,0.15887721358370602,Mrps23
ENSMUSG00000067847,0.14695417707177852,2.0401852596805414e-130,1.2217226462360158e-127,0.13525192480960282,0.15861543645557413,Romo1
ENSMUSG00000059689,0.1463788725286009,2.1272843516058078e-129,1.2435496523958523e-126,0.13467468239040906,0.158042223227841,Zfp637
ENSMUSG00000019689,0.14608784547042705,6.938593039757482e-129,3.9617752630726904e-126,0.13438267805216797,0.15775225110112023,Fmc1
