,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000020469,0.8447158929081903,0.0,0.0,0.8419083916437465,0.847477665143379,Myl7
ENSMUSG00000061086,0.750027923679083,0.0,0.0,0.7457444402608825,0.7542494012665832,Myl4
ENSMUSG00000013936,0.709109070758655,0.0,0.0,0.7042429083509927,0.713908609401502,Myl2
ENSMUSG00000091898,0.7024960909012762,0.0,0.0,0.6975388807349397,0.707386059396159,Tnnc1
ENSMUSG00000002100,0.7011437474960729,0.0,0.0,0.6961680250905894,0.7060521061701334,Mybpc3
ENSMUSG00000059741,0.6848810730905586,0.0,0.0,0.6796855724149452,0.6900078552630705,Myl3
ENSMUSG00000068614,0.6819362485365343,0.0,0.0,0.6767015116483642,0.6871020437063382,Actc1
ENSMUSG00000018845,0.6506098775968745,0.0,0.0,0.6449683968999853,0.656180451373567,Unc45b
ENSMUSG00000067818,0.6393205308270857,0.0,0.0,0.6335372353040575,0.6450323904928211,Myl9
ENSMUSG00000026414,0.6359901744471318,0.0,0.0,0.6301655257614108,0.6417432489597633,Tnnt2
ENSMUSG00000001349,0.6216518931670479,0.0,0.0,0.6156517137657184,0.6275799937174246,Cnn1
ENSMUSG00000019787,0.6029410307347773,0.0,0.0,0.5967179113472428,0.6090916301130488,Trdn
ENSMUSG00000019528,0.5667004174436028,0.0,0.0,0.5600651880572722,0.5732629464838761,Gyg
ENSMUSG00000026418,0.5618709442782329,0.0,0.0,0.5551827571932834,0.568486471886154,Tnni1
ENSMUSG00000007122,0.5546363300399788,0.0,0.0,0.5478696739632521,0.5613304156236593,Casq1
ENSMUSG00000030470,0.5503700651226064,0.0,0.0,0.5435576204452656,0.5571100072362779,Csrp3
ENSMUSG00000032648,0.546076975794013,0.0,0.0,0.5392188175628351,0.5528627112830562,Pygm
ENSMUSG00000020475,0.5380636575589679,0.0,0.0,0.5311211460128711,0.5449339258145546,Pgam2
ENSMUSG00000022490,0.5239722586982366,0.0,0.0,0.5168844873696298,0.5309881969578155,Ppp1r1a
ENSMUSG00000041616,0.5120584579399445,0.0,0.0,0.5048509322189842,0.5191945895783436,Nppa
ENSMUSG00000029683,0.5055316592248084,0.0,0.0,0.4982597153596686,0.5127324845608163,Lmod2
ENSMUSG00000030785,0.5054034365696732,0.0,0.0,0.4981302355914785,0.5126055246777244,Cox6a2
ENSMUSG00000001504,0.49518057901757595,0.0,0.0,0.4878081953917705,0.5024823310661488,Irx2
ENSMUSG00000040666,0.4870825495303963,0.0,0.0,0.4796330615021706,0.49446182894525564,Sh3bgr
ENSMUSG00000035783,0.485592078810643,0.0,0.0,0.4781285403520741,0.49298549046792806,Acta2
ENSMUSG00000026564,0.4785366668962798,0.0,0.0,0.47100721256879824,0.48599639822942775,Dusp27
ENSMUSG00000027488,0.4747274204806216,0.0,0.0,0.4671627858292874,0.4822225614074296,Snta1
ENSMUSG00000026208,0.4743418176974646,0.0,0.0,0.466773637750589,0.4818405275647268,Des
ENSMUSG00000015579,0.4721740768355666,0.0,0.0,0.46458602086907363,0.47969279713342944,Nkx2-5
ENSMUSG00000006221,0.46972028691755063,0.0,0.0,0.46210984389969306,0.47726154944915733,Hspb7
ENSMUSG00000026787,0.46467131430792125,0.0,0.0,0.4570151804612453,0.47225859704364864,Gad2
ENSMUSG00000038663,0.46327634626818526,0.0,0.0,0.4556076771833094,0.47087625761851976,Fsd2
ENSMUSG00000030399,0.46016624336122164,0.0,0.0,0.45246976480377293,0.46779417604351575,Ckm
ENSMUSG00000040752,0.42267890850080747,0.0,0.0,0.41466221824720373,0.4306299936300736,Myh6
ENSMUSG00000067279,0.41907311955008947,0.0,0.0,0.4110270876814167,0.42705386560902264,Ppp1r3c
ENSMUSG00000035458,0.4148414495005661,0.0,0.0,0.406761309315371,0.42285668649138525,Tnni3
ENSMUSG00000042258,0.412457789537392,0.0,0.0,0.4043585915930944,0.4204923035247792,Isl1
ENSMUSG00000026308,0.41020404564756596,0.0,0.0,0.4020869314596965,0.41825668561095475,Klhl30
ENSMUSG00000068697,0.4082229115823981,0.0,0.0,0.40009013080397515,0.4162914044512331,Myoz1
ENSMUSG00000021798,0.4063029056161314,0.0,0.0,0.3981550153158004,0.41438669030645336,Ldb3
ENSMUSG00000031880,0.4040636762526983,0.0,0.0,0.3958982558988222,0.41216520575017784,Rrad
ENSMUSG00000079243,0.40317716300296036,0.0,0.0,0.3950048297354631,0.41128569107067564,Xirp1
ENSMUSG00000053093,0.40139661613817246,0.0,0.0,0.393210445103125,0.40951915509787257,Myh7
ENSMUSG00000034413,0.3934990426900369,0.0,0.0,0.38525224617715426,0.40168299232081084,Neurl1b
ENSMUSG00000061816,0.39283973268961564,0.0,0.0,0.38458793047554923,0.40102875483774586,Myl1
ENSMUSG00000070369,0.38765557836983955,0.0,0.0,0.3793647141501274,0.39588419461947566,Itgad
ENSMUSG00000021200,0.3868281124759968,0.0,0.0,0.37853106229740807,0.39506300071194894,Asb2
ENSMUSG00000026430,0.3817036504580221,0.0,0.0,0.3733685906964345,0.38997708770494466,Rassf5
ENSMUSG00000026417,0.3804385136854692,0.0,0.0,0.3720941495002565,0.38872139028607383,Pigr
ENSMUSG00000032419,0.3798138797874895,0.0,0.0,0.3714649333457881,0.38810140551809513,Tbx18
ENSMUSG00000087296,0.37907767436808204,0.0,0.0,0.37072333703767657,0.3873706700214781,Gm12130
ENSMUSG00000037568,0.3788680057452251,0.0,0.0,0.37051213505838393,0.3871625573063144,Vash2
ENSMUSG00000043301,0.37778105124701533,0.0,0.0,0.3694172452544252,0.38608365532551603,Kcnj6
ENSMUSG00000038583,0.3777534381667795,0.0,0.0,0.36938943088749343,0.386056246516228,Pln
ENSMUSG00000022551,0.3723091210903119,0.0,0.0,0.36390571998456667,0.3806519180035335,Cyc1
ENSMUSG00000026817,0.37073011592093763,0.0,0.0,0.3623153984671188,0.3790844040214776,Ak1
ENSMUSG00000030247,0.3702321775935498,0.0,0.0,0.36181390169751476,0.3785900794893142,Kcnj8
ENSMUSG00000097541,0.3701568437906393,0.0,0.0,0.36173802995710147,0.3785152920074098,Gm26752
ENSMUSG00000032366,0.3700119551102351,0.0,0.0,0.36159210698087046,0.3783714537534278,Tpm1
ENSMUSG00000032609,0.36884903983098066,0.0,0.0,0.3604209051093089,0.37721695485366585,Klhdc8b
