,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000021342,0.6499992043288468,0.0,0.0,0.6443499878670695,0.6555774828680037,Prl
ENSMUSG00000075024,0.649992020444475,0.0,0.0,0.6443427130240911,0.655570389579166,Gm10803
ENSMUSG00000008333,0.6499218015161522,0.0,0.0,0.6442716050740681,0.6555010561256915,Snrpb2
ENSMUSG00000048895,0.6499036134340567,0.0,0.0,0.6442531867338132,0.6554830973836436,Cdk5r1
ENSMUSG00000027718,0.6498885973253227,0.0,0.0,0.6442379805285254,0.6554682706136525,Il21
ENSMUSG00000067543,0.6498643512872019,0.0,0.0,0.6442134275569129,0.655444330285761,Prb1
ENSMUSG00000002372,0.6498446703636263,0.0,0.0,0.6441934974987397,0.6554248975041583,Ranbp3
ENSMUSG00000097266,0.6497919239864717,0.0,0.0,0.644140083459694,0.6553728161299925,Gm26802
ENSMUSG00000034064,0.6497026368491262,0.0,0.0,0.6440496662543532,0.6552846545644218,Poglut1
ENSMUSG00000025436,0.6496886101032505,0.0,0.0,0.6440354619924845,0.6552708046287299,Xrcc6bp1
ENSMUSG00000078754,0.6496724398146505,0.0,0.0,0.6440190870650455,0.655254838165479,Scgb2b3
ENSMUSG00000020521,0.6496549371713146,0.0,0.0,0.6440013629274435,0.6552375561361087,Rnft1
ENSMUSG00000055045,0.6496261763312076,0.0,0.0,0.6439722381348549,0.6552091578024386,Gm11190
ENSMUSG00000050796,0.6495430368971601,0.0,0.0,0.6438880467095345,0.6551270661829852,B3galt6
ENSMUSG00000022338,0.6495338915896469,0.0,0.0,0.6438787856917242,0.6551180361266469,Eny2
ENSMUSG00000078784,0.6495292876759251,0.0,0.0,0.6438741235279665,0.6551134902318536,1810022K09Rik
ENSMUSG00000032116,0.6494909415931517,0.0,0.0,0.6438352922958789,0.6550756273741046,Stt3a
ENSMUSG00000085473,0.6494848109435248,0.0,0.0,0.6438290840848254,0.6550695739783556,Gm16686
ENSMUSG00000093803,0.6494801967552466,0.0,0.0,0.6438244115210019,0.6550650179341665,Ppp2r3d
ENSMUSG00000078655,0.6494446884943438,0.0,0.0,0.6437884540480495,0.655029957104678,Gm10972
ENSMUSG00000057132,0.6494340269964448,0.0,0.0,0.6437776576773051,0.6550194299451629,Rpgrip1
ENSMUSG00000109835,0.6493880540370883,0.0,0.0,0.6437311031646883,0.6549740362353978,Olfr730
ENSMUSG00000075222,0.6493844463562215,0.0,0.0,0.6437274498487973,0.6549704740088431,Olfr988
ENSMUSG00000046272,0.6493589414216815,0.0,0.0,0.6437016222993109,0.654945290411956,Olfr1444
ENSMUSG00000041891,0.6492517295426099,0.0,0.0,0.6435930544253953,0.6548394291637697,Lman1
ENSMUSG00000060376,0.6491686744655724,0.0,0.0,0.6435089490405516,0.6547574202449944,Bckdha
ENSMUSG00000057691,0.6491439590967556,0.0,0.0,0.6434839211495589,0.6547330161645206,Zfp746
ENSMUSG00000020869,0.6491053918068282,0.0,0.0,0.6434448662061425,0.6546949346036365,Lrrc59
ENSMUSG00000073096,0.6490625335918011,0.0,0.0,0.6434014661167728,0.6546526161256798,Lrrc61
ENSMUSG00000033478,0.6490467342419244,0.0,0.0,0.6433854670182861,0.6546370157368654,Fam160b1
ENSMUSG00000028291,0.6489380322152803,0.0,0.0,0.6432753908236643,0.6545296824647254,Akirin2
ENSMUSG00000024791,0.6489100888060533,0.0,0.0,0.643247094202746,0.6545020908769836,Cdca5
ENSMUSG00000022779,0.6489088888080661,0.0,0.0,0.6432458790368301,0.6545009059872372,Top3b
ENSMUSG00000096497,0.6488750352048749,0.0,0.0,0.6432115975371439,0.654467478597098,Olfr787
ENSMUSG00000029998,0.6488651713047254,0.0,0.0,0.6432016089653703,0.6544577388782277,Pcyox1
ENSMUSG00000073945,0.6488617449016053,0.0,0.0,0.6431981392557703,0.654454355611274,Olfr618
ENSMUSG00000108932,0.6488317941733615,0.0,0.0,0.6431678099886821,0.6544247819335062,Gm31463
ENSMUSG00000069421,0.6487515589229114,0.0,0.0,0.6430865607550049,0.6543455566823329,Olfr810
ENSMUSG00000097469,0.6487487368960123,0.0,0.0,0.6430837030667023,0.6543427701768005,Gm26733
ENSMUSG00000039555,0.6487445493535335,0.0,0.0,0.6430794626073565,0.654338635343402,Cylc2
ENSMUSG00000072707,0.6486548323958116,0.0,0.0,0.6429886120036171,0.6542500475830191,Olfr31
ENSMUSG00000100837,0.6486273881065752,0.0,0.0,0.6429608209655338,0.6542229486829678,1700063D05Rik
ENSMUSG00000021149,0.6485988808614055,0.0,0.0,0.6429319535572462,0.6541948001891792,Gtpbp4
ENSMUSG00000012429,0.6485456669279854,0.0,0.0,0.6428780673572473,0.6541422558886746,Mplkip
ENSMUSG00000039834,0.6484919069532501,0.0,0.0,0.642823628274606,0.6540891723632716,Zfp335
ENSMUSG00000073532,0.6484821814959003,0.0,0.0,0.6428137799692413,0.6540795692732141,Gm7276
ENSMUSG00000036372,0.6484242008528445,0.0,0.0,0.6427550669772101,0.6540223181146331,Tmem258
ENSMUSG00000035186,0.6484051339402893,0.0,0.0,0.6427357592465232,0.65400349107876,Ubd
ENSMUSG00000027416,0.6484000074257883,0.0,0.0,0.6427305679845589,0.6539984290586405,Otor
ENSMUSG00000075196,0.6483745910670448,0.0,0.0,0.6427048306269509,0.6539733324443121,Olfr1047
ENSMUSG00000023032,0.6483001589770734,0.0,0.0,0.6426294585618435,0.6538998366585399,Slc4a8
ENSMUSG00000024668,0.6482492754446888,0.0,0.0,0.6425779325034467,0.653849593144972,Sdhaf2
ENSMUSG00000062012,0.6481854950353345,0.0,0.0,0.6425133467866769,0.6537866149030551,Zfp13
ENSMUSG00000039095,0.6481815890790025,0.0,0.0,0.6425093915153813,0.6537827580694895,En2
ENSMUSG00000108827,0.6481052714385432,0.0,0.0,0.6424321103811026,0.6537074001697981,Olfr1310
ENSMUSG00000020260,0.6480705277281846,0.0,0.0,0.642396928077085,0.6536730933459344,Pofut2
ENSMUSG00000052673,0.6480654094399337,0.0,0.0,0.642391745179196,0.6536680394159049,Gm9887
ENSMUSG00000021872,0.6480159719820333,0.0,0.0,0.6423416836846311,0.6536192235672291,Rnase10
ENSMUSG00000033581,0.6479807578341418,0.0,0.0,0.6423060250668869,0.6535844521612275,Igf2bp2
ENSMUSG00000092120,0.6479562086090722,0.0,0.0,0.6422811659982078,0.6535602115756729,Vmn2r90
ENSMUSG00000096156,0.6479291812091632,0.0,0.0,0.6422537974906612,0.6535335239582691,Gm9242
ENSMUSG00000022760,0.6478975033689083,0.0,0.0,0.6422217198688724,0.6535022443470911,Thap7
ENSMUSG00000074928,0.6478742033834227,0.0,0.0,0.6421981258449704,0.6534792372586149,Krtap14
ENSMUSG00000005609,0.6478438282505932,0.0,0.0,0.6421673674037617,0.6534492439467625,Ctr9
ENSMUSG00000031818,0.6478347314828157,0.0,0.0,0.6421581558460573,0.6534402615235956,Cox4i1
ENSMUSG00000091614,0.6477670742988819,0.0,0.0,0.6420896449638139,0.6533734547278395,Gm17657
ENSMUSG00000041459,0.6477659694075982,0.0,0.0,0.6420885261317651,0.6533723637232919,Tardbp
ENSMUSG00000021403,0.647746444869942,0.0,0.0,0.6420687552507917,0.6533530845743547,Serpinb9b
ENSMUSG00000028959,0.6477077350482257,0.0,0.0,0.6420295570451712,0.6533148612447606,Fastk
ENSMUSG00000045539,0.6476796694481445,0.0,0.0,0.6420011373729673,0.6532871483459006,Sprr3
ENSMUSG00000048832,0.6476657309729004,0.0,0.0,0.6419870230574509,0.6532733850303003,Vps37c
ENSMUSG00000020719,0.6476630931005175,0.0,0.0,0.6419843519075286,0.6532707803066633,Ddx5
ENSMUSG00000028621,0.6475756804612952,0.0,0.0,0.6418958366100056,0.6531844660607257,Cyb5rl
ENSMUSG00000107071,0.6475548608080931,0.0,0.0,0.6418747543516179,0.653163907997709,Gm42420
ENSMUSG00000046650,0.6475257972853161,0.0,0.0,0.6418453242553569,0.653135209632043,Olfr1440
ENSMUSG00000102661,0.6474959867774671,0.0,0.0,0.6418151377698071,0.6531057736497625,Gm34816
ENSMUSG00000020079,0.6473267146874881,0.0,0.0,0.6416437311110117,0.652938627895372,Supv3l1
ENSMUSG00000064326,0.6473078917219277,0.0,0.0,0.6416246708176142,0.6529200413434176,Siva1
ENSMUSG00000022394,0.6472256697875269,0.0,0.0,0.641541412276905,0.6528388520248563,L3mbtl2
ENSMUSG00000043429,0.6472200841515329,0.0,0.0,0.6415357562253204,0.6528333365335455,Ccdc185
ENSMUSG00000068551,0.6472143914034373,0.0,0.0,0.6415299917119565,0.6528277152746397,Zfp467
ENSMUSG00000006705,0.6471460277973217,0.0,0.0,0.6414607663345167,0.6527602101263075,Pknox1
ENSMUSG00000002980,0.6471267357920482,0.0,0.0,0.6414412311567019,0.6527411603591243,Bcam
ENSMUSG00000040463,0.647116052381338,0.0,0.0,0.6414304130865357,0.652730611090513,Mybbp1a
ENSMUSG00000097239,0.6470859685963561,0.0,0.0,0.6413999501214915,0.6527009050291999,Gm27029
ENSMUSG00000016503,0.6470695802271339,0.0,0.0,0.6413833551986086,0.6526847224205361,Gtf3a
ENSMUSG00000004846,0.6470323827996104,0.0,0.0,0.6413456889665837,0.6526479919981052,Plod3
ENSMUSG00000063253,0.6470206011829692,0.0,0.0,0.6413337588702581,0.6526363582914297,Scoc
ENSMUSG00000046974,0.6469937413662629,0.0,0.0,0.6413065605587502,0.6526098356710567,BC053393
ENSMUSG00000078934,0.6469688816877209,0.0,0.0,0.6412813876044337,0.6525852880669843,9230113P08Rik
ENSMUSG00000085795,0.6468568622445702,0.0,0.0,0.6411679566706975,0.6524746747068784,Zfp703
ENSMUSG00000039850,0.6468343701859891,0.0,0.0,0.6411451812329895,0.6524524649427694,Endov
ENSMUSG00000024037,0.6468233270833152,0.0,0.0,0.6411339990011078,0.6524415604368975,Wdr4
ENSMUSG00000022178,0.646820742983451,0.0,0.0,0.6411313823451835,0.6524390087685228,Ajuba
ENSMUSG00000030814,0.646820208792555,0.0,0.0,0.6411308414242425,0.6524384812819208,Bcl7c
ENSMUSG00000018167,0.646778328698305,0.0,0.0,0.6410884337180075,0.6523971267814578,Stard3
ENSMUSG00000096658,0.6467623619931431,0.0,0.0,0.6410722658709425,0.6523813604491036,Vmn2r39
ENSMUSG00000032396,0.6467254044024785,0.0,0.0,0.6410348427233137,0.6523448666359214,Dis3l
ENSMUSG00000096979,0.6467029627254336,0.0,0.0,0.6410121183603341,0.6523227065647491,Gm26880
ENSMUSG00000053251,0.646699778842126,0.0,0.0,0.6410088943721408,0.6523195626331247,Olfr212
ENSMUSG00000111544,0.6466376881352859,0.0,0.0,0.6409460215974156,0.6522582510079675,RP23-33B7.1
ENSMUSG00000020592,0.6465998310464453,0.0,0.0,0.6409076877144158,0.6522208688939672,Sdc1
ENSMUSG00000031835,0.6465516175462207,0.0,0.0,0.6408588670264771,0.6521732602659557,Mbtps1
ENSMUSG00000019823,0.6465376026580385,0.0,0.0,0.6408446756472417,0.6521594211960673,Mical1
ENSMUSG00000032328,0.6465193266124574,0.0,0.0,0.6408261694552215,0.6521413744198332,Tmem30a
ENSMUSG00000036646,0.6464376913836337,0.0,0.0,0.6407435062917363,0.6520607632108759,Man1b1
ENSMUSG00000054226,0.6464006929624767,0.0,0.0,0.6407060420372505,0.6520242288504071,Tprkb
ENSMUSG00000103640,0.6463339675108727,0.0,0.0,0.6406384765389114,0.6519583402511747,Gm31406
ENSMUSG00000066975,0.6463144885216139,0.0,0.0,0.6406187523336047,0.6519391055460568,Cryba4
ENSMUSG00000023348,0.6462713417153644,0.0,0.0,0.6405750623899351,0.6518964998140031,Trip6
ENSMUSG00000027599,0.6462586533297632,0.0,0.0,0.6405622142883585,0.6518839705378948,Armc1
ENSMUSG00000038485,0.6462191838580323,0.0,0.0,0.6405222480121758,0.6518449959847984,Socs7
ENSMUSG00000097056,0.646174362031034,0.0,0.0,0.6404768620477519,0.6518007361550616,Gm4262
ENSMUSG00000041684,0.6461691693180022,0.0,0.0,0.640471603980658,0.651795608548244,Bivm
ENSMUSG00000105092,0.6461635870862226,0.0,0.0,0.6404659514930361,0.6517900963058892,Gm42468
ENSMUSG00000099690,0.646130033996596,0.0,0.0,0.6404319761300133,0.6517569638887858,Gm29513
ENSMUSG00000096861,0.6460922365811036,0.0,0.0,0.6403937030520138,0.6517196403334113,Vmn2r68
ENSMUSG00000048232,0.6460871201538919,0.0,0.0,0.6403885222391725,0.6517145880479303,Fbxo10
ENSMUSG00000075054,0.6460840012297582,0.0,0.0,0.6403853640664413,0.651711508223725,Yae1d1
ENSMUSG00000048292,0.646038816583651,0.0,0.0,0.6403396108375513,0.6516668900073938,Olfr1417
ENSMUSG00000002731,0.6460216035025614,0.0,0.0,0.6403221811656129,0.6516498926973588,Prkra
ENSMUSG00000079722,0.6459230506535181,0.0,0.0,0.6402223883468077,0.6515525751285552,Ttll2
ENSMUSG00000019777,0.6458879647121545,0.0,0.0,0.6401868610084701,0.6515179289163592,Hdac2
ENSMUSG00000033365,0.6458834796466246,0.0,0.0,0.64018231952055,0.6515135000600875,Ipo13
ENSMUSG00000028902,0.6458715603373086,0.0,0.0,0.640170250267553,0.6515017301281137,Sf3a3
ENSMUSG00000069299,0.6458522701301184,0.0,0.0,0.6401507173975102,0.651482681667434,Vmn1r188
ENSMUSG00000105688,0.6457976975829888,0.0,0.0,0.6400954583901648,0.6514287929896382,Gm34082
ENSMUSG00000099810,0.6457922416975829,0.0,0.0,0.6400899338792054,0.6514234054708823,Gm29509
ENSMUSG00000026127,0.6457902716822288,0.0,0.0,0.640087939084628,0.651421460141272,Imp4
ENSMUSG00000029462,0.6457747237992421,0.0,0.0,0.6400721956401446,0.6514061070821155,Vps29
ENSMUSG00000002908,0.6457550768392054,0.0,0.0,0.6400523015672098,0.6513867063030839,Kcnn1
