,train_loss,val_loss
0,6520.87744140625,5950.6728515625
1,5516.4306640625,5478.5361328125
2,5387.6259765625,5353.8935546875
3,5329.896484375,5306.2138671875
4,5295.357421875,5271.1748046875
5,5264.330078125,5245.3525390625
6,5240.63818359375,5225.765625
7,5219.34423828125,5203.9541015625
8,5200.17333984375,5188.3046875
9,5183.8720703125,5172.89306640625
10,5169.46337890625,5163.36181640625
11,5156.38525390625,5152.240234375
12,5144.85791015625,5148.431640625
13,5133.38525390625,5136.05322265625
14,5122.44970703125,5127.064453125
15,5113.48583984375,5121.66015625
16,5104.62939453125,5114.4091796875
17,5097.03759765625,5110.44580078125
18,5090.13818359375,5104.60302734375
19,5082.9580078125,5099.86572265625
20,5075.8251953125,5095.484375
21,5069.51904296875,5094.314453125
22,5063.90380859375,5089.36083984375
23,5058.82177734375,5083.7216796875
24,5051.521484375,5084.17138671875
25,5046.71044921875,5078.4052734375
26,5042.81689453125,5078.03369140625
27,5036.93603515625,5074.89111328125
28,5032.4814453125,5072.3505859375
29,5028.11767578125,5071.841796875
30,5024.1396484375,5068.32568359375
31,5021.02587890625,5067.97998046875
32,5015.55078125,5065.27099609375
33,5013.54296875,5070.96533203125
34,5015.54296875,5065.24267578125
35,5007.22705078125,5063.19140625
36,5003.65625,5061.3701171875
37,4999.24462890625,5060.90576171875
38,4996.8671875,5058.86474609375
39,4993.689453125,5061.01416015625
40,4992.125,5058.478515625
41,4987.9833984375,5058.51025390625
42,4986.5166015625,5060.39404296875
43,4983.47216796875,5056.59765625
44,4980.9609375,5057.3701171875
45,4978.04736328125,5056.24365234375
46,4975.8056640625,5056.77099609375
47,4975.0712890625,5059.56689453125
48,4972.00927734375,5056.29833984375
49,4970.96630859375,5056.4228515625
50,4968.74609375,5056.875
51,4966.75048828125,5059.18896484375
52,4966.60498046875,5061.94384765625
53,4964.44970703125,5059.70361328125
54,4961.74658203125,5057.61083984375
55,4959.99951171875,5060.29931640625
56,4958.63623046875,5063.79248046875
57,4957.9912109375,5058.919921875
58,4955.85791015625,5059.13818359375
59,4953.6611328125,5059.03955078125
60,4952.64990234375,5059.83203125
61,4951.728515625,5059.5166015625
62,4951.32763671875,5061.529296875
63,4949.376953125,5060.26220703125
64,4947.419921875,5059.814453125
65,4945.91796875,5062.29248046875
66,4946.056640625,5063.84619140625
67,4945.2177734375,5061.2373046875
68,4942.7666015625,5063.97705078125
69,4942.36572265625,5063.5048828125
70,4940.748046875,5062.1943359375
71,4940.55322265625,5064.00732421875
72,4939.1220703125,5064.62158203125
