,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000024099,-0.19358953538997467,0.0,0.0,-0.1998956762235203,-0.1872673572617497,Ndufv2
ENSMUSG00000042784,-0.19360990484862442,0.0,0.0,-0.1999159931672349,-0.18728777767931323,Muc1
ENSMUSG00000029312,-0.19362027430385406,0.0,0.0,-0.19992633588666825,-0.18729817307823327,Klhl8
ENSMUSG00000068264,-0.1936906331501581,0.0,0.0,-0.19999651328808185,-0.1873687079951131,Ap5s1
ENSMUSG00000050503,-0.19374934202275693,0.0,0.0,-0.2000550707098048,-0.18742756383452772,Fbxl22
ENSMUSG00000104586,-0.19380804507390537,0.0,0.0,-0.20011362228005444,-0.18748641388330428,4921539H07Rik
ENSMUSG00000026605,-0.19390550993823386,0.0,0.0,-0.2002108355406954,-0.18758412290849324,Cenpf
ENSMUSG00000024593,-0.1939121054617663,0.0,0.0,-0.2002174140335247,-0.18759073495910128,Megf10
ENSMUSG00000019539,-0.19391446409253882,0.0,0.0,-0.20021976657379498,-0.18759309950027442,Rcn3
ENSMUSG00000033788,-0.19393974180920218,0.0,0.0,-0.20024497901328192,-0.18761844056397944,Dysf
ENSMUSG00000028195,-0.19400720122452403,0.0,0.0,-0.20031226418052586,-0.18768606907668278,Cyr61
ENSMUSG00000010461,-0.1940788295886023,0.0,0.0,-0.20038370746300324,-0.1877578770538548,Eya4
ENSMUSG00000050796,-0.19409836621914897,0.0,0.0,-0.20040319360091943,-0.18777746268558632,B3galt6
ENSMUSG00000053158,-0.19409969877957572,0.0,0.0,-0.2004045227171478,-0.1877787985884839,Fes
ENSMUSG00000072294,-0.19413051838124584,0.0,0.0,-0.20043526265454958,-0.18780969550170545,Klf12
ENSMUSG00000002221,-0.1942919885738751,0.0,0.0,-0.20059631526689703,-0.18797157094980851,Paxip1
ENSMUSG00000047181,-0.19430587275923952,0.0,0.0,-0.2006101635302693,-0.18798548999752546,Samd14
ENSMUSG00000048636,-0.19433988502988725,0.0,0.0,-0.20064408779169726,-0.1880195876816618,A730049H05Rik
ENSMUSG00000098202,-0.19437375106216756,0.0,0.0,-0.20067786617813846,-0.18805353877532596,B830012L14Rik
ENSMUSG00000033557,-0.19438767493182704,0.0,0.0,-0.20069175400824982,-0.1880674976219796,Fam20b
ENSMUSG00000028982,-0.19443765038969785,0.0,0.0,-0.20074160009235278,-0.18811759864006702,Slc25a33
ENSMUSG00000090919,-0.19446692885133982,0.0,0.0,-0.20077080274433032,-0.18814695067729498,Pabpc4l
ENSMUSG00000034327,-0.19447142302883566,0.0,0.0,-0.20077528528422267,-0.18815145614947595,Kctd9
ENSMUSG00000018927,-0.1945587307967502,0.0,0.0,-0.2008623669176399,-0.18823898339046274,Ccl6
ENSMUSG00000078517,-0.19456196983954493,0.0,0.0,-0.2008655975691235,-0.18824223057745015,Emc1
ENSMUSG00000020955,-0.1945641374970515,0.0,0.0,-0.20086775961085476,-0.1882444036853541,Ap4s1
ENSMUSG00000026107,-0.19458593826182724,0.0,0.0,-0.20088950389272317,-0.1882662592698095,Nabp1
ENSMUSG00000030780,-0.19460686395051816,0.0,0.0,-0.20091037535987102,-0.18828723758362217,BC017158
ENSMUSG00000026708,-0.19461496089533287,0.0,0.0,-0.2009184513227729,-0.18829535489264537,Cenpl
ENSMUSG00000025105,-0.1949062336202917,0.0,0.0,-0.20120896869212843,-0.18858736075681234,Bnc1
ENSMUSG00000073412,-0.19492162217028722,0.0,0.0,-0.2012243173042631,-0.18860278807116726,Lst1
ENSMUSG00000078923,-0.1949285185730034,0.0,0.0,-0.20123119580776028,-0.18860970184720366,Ube2v1
