,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000089926,-0.12270307119568659,1.7484014882566127e-136,4.444683510009977e-136,-0.13226568480461026,-0.11311761932176315,Gm15734
ENSMUSG00000101288,-0.1227077360897136,1.7073075502509655e-136,4.34066635329416e-136,-0.13227033815077055,-0.11312229492194133,Gm28342
ENSMUSG00000061937,-0.12271347986239699,1.6580317758700903e-136,4.215823960352367e-136,-0.1322760677042623,-0.11312805187743628,Csn1s2a
ENSMUSG00000010122,-0.1227139661775575,1.6539254620389476e-136,4.205818533814629e-136,-0.13227655281547948,-0.11312853930879191,Slc47a1
ENSMUSG00000110094,-0.12271631497643805,1.6342353257526824e-136,4.156178342436281e-136,-0.1322788957995049,-0.11313089349872249,Gm45326
ENSMUSG00000054321,-0.12272046837189612,1.5999882056536699e-136,4.0695027893099455e-136,-0.13228303891225754,-0.11313505642747085,Taf4b
ENSMUSG00000107013,-0.12272351260529947,1.5753426622631165e-136,4.007233013249486e-136,-0.13228607560873423,-0.11313810764851807,Gm43635
ENSMUSG00000039313,-0.12272839447355759,1.5366087670017933e-136,3.909109775922498e-136,-0.13229094539006644,-0.11314300072285058,AF529169
ENSMUSG00000097868,-0.12273527605567469,1.4836180713392772e-136,3.77469335621989e-136,-0.13229780993341964,-0.11314989810207068,A330069E16Rik
ENSMUSG00000027379,-0.1227514384112102,1.3662260520504006e-136,3.47673943096408e-136,-0.13231393226743426,-0.11316609756293917,Bub1
ENSMUSG00000052302,-0.12275151511870047,1.3656916183792347e-136,3.475739671861405e-136,-0.132314008784968,-0.1131661744465457,Tbc1d30
ENSMUSG00000104382,-0.1227558296855238,1.3359649451395227e-136,3.400436588540904e-136,-0.13231831266711985,-0.11317049891956563,4930402C01Rik
ENSMUSG00000078903,-0.122760006332066,1.3078040225167e-136,3.3291036143939885e-136,-0.13232247897019542,-0.11317468515598696,Gm14391
ENSMUSG00000094349,-0.12276818238351665,1.254381306925015e-136,3.193774743090632e-136,-0.13233063477267365,-0.11318287998122156,Gm8082
ENSMUSG00000059674,-0.12277023407114729,1.2413209941883725e-136,3.1608497250894965e-136,-0.13233268137885046,-0.1131849363801256,Cdh24
ENSMUSG00000020604,-0.12277520997438557,1.2102072748204674e-136,3.081942641986528e-136,-0.1323376449578358,-0.11318992370983061,Arsg
ENSMUSG00000093877,-0.12277590488262798,1.2059245077896918e-136,3.0713546177647832e-136,-0.13233833814490029,-0.11319062021387119,Olfr1348
ENSMUSG00000029638,-0.12277626979168009,1.2036816107487688e-136,3.0659602559501787e-136,-0.13233870215012655,-0.11319098596090992,Glcci1
ENSMUSG00000004508,-0.1227824887795373,1.1660908786973959e-136,2.9705191174287678e-136,-0.13234490573407295,-0.11319721923061174,Gab2
ENSMUSG00000079652,-0.12278893972841502,1.1283360307529001e-136,2.874640056765093e-136,-0.13235134070370033,-0.11320368499482752,Fam71f2
ENSMUSG00000064201,-0.12279656456686332,1.0852815460618213e-136,2.765237911883545e-136,-0.13235894665408887,-0.11321132734563173,Krt2
ENSMUSG00000032718,-0.12279817472758325,1.0764014907419496e-136,2.742896668468744e-136,-0.1323605528260148,-0.11321294120463508,Mansc1
ENSMUSG00000028420,-0.12283098652385761,9.104425317409557e-137,2.3204801244995273e-136,-0.1323932833278523,-0.11324582837541061,Tmem38b
ENSMUSG00000043119,-0.12283857078810384,8.758715920155581e-137,2.2325995979200563e-136,-0.1324008487983744,-0.11325343006504214,Olfr448
ENSMUSG00000045126,-0.1228410185653096,8.649962090990634e-137,2.205107146277666e-136,-0.1324032905097771,-0.11325588346642924,Olfr1445
ENSMUSG00000109458,-0.12284235628388208,8.591098531631951e-137,2.1903286723637347e-136,-0.13240462491331853,-0.11325722425868537,Gm44889
ENSMUSG00000020272,-0.12285168349009536,8.191640264727848e-137,2.0889193163647497e-136,-0.13241392900460489,-0.1132665728970442,Stk10
ENSMUSG00000044501,-0.1228566999310977,7.984524632183404e-137,2.0363150386347454e-136,-0.1324189330130348,-0.11327160086557556,Zfp758
ENSMUSG00000019867,-0.12285997797902323,7.852015436447164e-137,2.0027288904597006e-136,-0.13242220293649737,-0.1132748864465555,Gje1
ENSMUSG00000031996,-0.12286653787869603,7.593399795203097e-137,1.9369678106163785e-136,-0.13242874657719164,-0.11328146142170792,Aplp2
ENSMUSG00000050815,-0.12287108900710293,7.4189910012840215e-137,1.8926752604273204e-136,-0.1324332864249517,-0.11328602300967712,Olfr1441
ENSMUSG00000096141,-0.1228896475119855,6.748235347151142e-137,1.7217361970617776e-136,-0.1324517989256734,-0.11330462417054737,Dnah7a
ENSMUSG00000009647,-0.1228909706048781,6.702794958718184e-137,1.71032032661036e-136,-0.13245311873853313,-0.11330595030477313,Mcu
ENSMUSG00000017737,-0.12289703423793184,6.49842195772503e-137,1.6583437886505034e-136,-0.13245916733901447,-0.11331202787645989,Mmp9
