,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000020098,0.45618775791609056,0.0,0.0,0.4484559829229828,0.463851265399727,Pcbd1
ENSMUSG00000006611,0.44465748604816774,0.0,0.0,0.43682517770643275,0.45242237961737936,Hfe
ENSMUSG00000041079,0.4088697998028631,0.0,0.0,0.4007421260556104,0.4169331246040393,Rwdd2b
ENSMUSG00000097148,0.40085568207374306,0.0,0.0,0.39266531944390953,0.40898246550985495,Gm3839
ENSMUSG00000042312,0.3841336655012734,0.0,0.0,0.375816565491056,0.3923888857744701,S100a13
ENSMUSG00000086784,0.38239323260004987,0.0,0.0,0.37406325760489784,0.39066151182637,Isoc2a
ENSMUSG00000018919,0.374406312143059,0.0,0.0,0.3660180168520339,0.3827337726528376,Tm4sf5
ENSMUSG00000024521,0.3735689920175057,0.0,0.0,0.36517465524473613,0.3819025858500855,Pmaip1
ENSMUSG00000018821,0.3715397068043443,0.0,0.0,0.3631307853721185,0.37988810910814946,Avpi1
ENSMUSG00000090619,0.37030537876771147,0.0,0.0,0.3618876256875051,0.3786627497037548,Vmn2r60
ENSMUSG00000022982,0.36605667997207586,0.0,0.0,0.3576087562233963,0.37444469796910906,Sod1
ENSMUSG00000089712,0.36440084694512503,0.0,0.0,0.3559412609198976,0.3728007149153913,Gm15889
ENSMUSG00000021336,0.3638312161968851,0.0,0.0,0.3553676306314438,0.37223514853989764,Slc17a4
ENSMUSG00000020258,0.36281565855406245,0.0,0.0,0.35434495828227053,0.3712268215210305,Glyctk
ENSMUSG00000024650,0.3618072505832023,0.0,0.0,0.35332950574222177,0.3702255736406674,Slc22a6
ENSMUSG00000058135,0.35862106546090666,0.0,0.0,0.35012119373976525,0.3670618831375128,Gstm1
ENSMUSG00000061833,0.35202252578734455,0.0,0.0,0.3434774637655173,0.36050930843048595,Gm6311
ENSMUSG00000021622,0.35155297493427895,0.0,0.0,0.34300472977162416,0.3600429965094588,Ckmt2
ENSMUSG00000009646,0.34824114349116564,0.0,0.0,0.3396705700036447,0.3567538893862603,Pla2g12b
ENSMUSG00000020629,0.3464546596716243,0.0,0.0,0.33787213116499326,0.3549795759960165,Adi1
ENSMUSG00000073676,0.3464244268226593,0.0,0.0,0.3378416965392886,0.3549495485800051,Hspe1
ENSMUSG00000078439,0.3439901650397146,0.0,0.0,0.33539124717618257,0.35253176994043983,Smim24
ENSMUSG00000028478,0.34212279180953314,0.0,0.0,0.3335115349768772,0.35067696397938175,Clta
ENSMUSG00000024683,0.3396685555271085,0.0,0.0,0.331041186054954,0.3482391424405746,Mrpl16
ENSMUSG00000029859,0.3396027270144323,0.0,0.0,0.33097492699107556,0.3481737526142763,Epha1
ENSMUSG00000025467,0.3379347263255147,0.0,0.0,0.32929604513703997,0.3465168397801185,Prap1
ENSMUSG00000025497,0.3365494044541672,0.0,0.0,0.3279017276691038,0.34514068597749736,Cdhr5
ENSMUSG00000021492,0.33590290291506497,0.0,0.0,0.32725104096151314,0.34449845034691384,F12
ENSMUSG00000046598,0.33579174233842213,0.0,0.0,0.32713916160653495,0.3443880224472306,Bdh1
ENSMUSG00000034371,0.3357909203477441,0.0,0.0,0.32713833430166483,0.3443872058735373,Tkfc
ENSMUSG00000076441,0.3348245779334096,0.0,0.0,0.326165753630674,0.34342722273787757,Ass1
ENSMUSG00000003355,0.33443118687447954,0.0,0.0,0.3257698282723735,0.34303641534709894,Fkbp11
ENSMUSG00000027999,0.33284530925171657,0.0,0.0,0.32417376493425193,0.3414609230544607,Pla2g12a
ENSMUSG00000027317,0.3304532074746862,0.0,0.0,0.3217663926460724,0.33908439467696705,Ppp1r14d
ENSMUSG00000027637,0.32304070242855326,0.0,0.0,0.314307281426906,0.33171944792205066,1110008F13Rik
ENSMUSG00000008193,0.3216068006400048,0.0,0.0,0.3128644884377269,0.3302946238525659,Spib
ENSMUSG00000024885,0.3209772679778243,0.0,0.0,0.31223106497462966,0.3296690641163896,Aldh3b1
ENSMUSG00000047719,0.31974645861506806,0.0,0.0,0.3109926711092224,0.32844600023672194,Ubiad1
ENSMUSG00000024039,0.31634676586707566,0.0,0.0,0.30757218318784435,0.3250675501628389,Cbs
