,Mixed_1_corr,Mixed_1_pval,Mixed_1_qval,Mixed_1_ci_low,Mixed_1_ci_high,gene_annotation
ENSMUSG00000034892,0.21435383221001922,0.0,0.0,0.20506072699205152,0.2236082917510365,Rps29
ENSMUSG00000025362,0.2073895365778887,0.0,0.0,0.19806845392243683,0.21667311404483972,Rps26
ENSMUSG00000036114,0.2056048599225217,0.0,0.0,0.19627676043337344,0.21489574833667566,Rpp25l
ENSMUSG00000033751,0.19700684590228984,0.0,0.0,0.1876458143282909,0.2063320936378045,Gadd45gip1
ENSMUSG00000045128,0.1948496362836078,0.0,0.0,0.18548056899080034,0.20418328044552064,Rpl18a
ENSMUSG00000043716,0.19400727899276998,0.0,0.0,0.18463509857353005,0.20334417741161231,Rpl7
ENSMUSG00000061983,0.19318501447042127,0.0,0.0,0.18380980856137022,0.2025250762937189,Rps12
ENSMUSG00000025508,0.19146159397647955,0.0,0.0,0.18208008969259734,0.20080824371570144,Rplp2
ENSMUSG00000044533,0.18780283235023676,0.0,0.0,0.1784081493017472,0.1971632776697594,Rps2
ENSMUSG00000025794,0.1865652491972641,0.0,0.0,0.17716616762775314,0.19593030232477748,Rpl14
ENSMUSG00000057841,0.1862839793889326,0.0,0.0,0.17688390232725235,0.19565007561924702,Rpl32
ENSMUSG00000090862,0.1845184516780918,5.7076543137194e-310,4.756378594766175e-307,0.17511216123618698,0.19389106052066357,Rps13
ENSMUSG00000052146,0.18296776526513478,1.0627347652975276e-304,8.174882809980982e-302,0.17355606778033633,0.19234604450815504,Rps10
ENSMUSG00000030432,0.18291623475392957,1.5875113287190534e-304,1.1339366633707524e-301,0.17350435839568185,0.19229470163056145,Rpl28
ENSMUSG00000032288,0.18283257722997334,3.0447954938901665e-304,2.029863662593444e-301,0.1734204105890395,0.19221134861220307,Imp3
ENSMUSG00000058600,0.18152042460878545,7.969246908877894e-300,4.980779318048683e-297,0.17210372283456,0.19090395439741442,Rpl30
