,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000051910,-0.05276122020531049,1.780620409683001e-26,3.6713822880061875e-26,-0.0624495618417704,-0.043062935971981096,Sox6
ENSMUSG00000030499,-0.052802430361740635,1.6281345002099623e-26,3.357670654176041e-26,-0.06249072585447807,-0.04310418454968272,Kctd15
ENSMUSG00000020205,-0.0528065513033244,1.613617474614184e-26,3.328418883280082e-26,-0.06249484217995963,-0.043108309335143036,Phlda1
ENSMUSG00000059866,-0.05280886439978671,1.605525330965956e-26,3.312410420808657e-26,-0.06249715268524597,-0.04311062458932928,Tnip2
ENSMUSG00000028399,-0.05281072190872015,1.5990561524104206e-26,3.299744433368594e-26,-0.06249900811328635,-0.04311248383107672,Ptprd
ENSMUSG00000103115,-0.05281614606888506,1.5803128734893705e-26,3.261739676964645e-26,-0.06250442619659793,-0.04311791305166133,Gm37584
ENSMUSG00000045731,-0.052842405146577585,1.492608917067792e-26,3.081356145887267e-26,-0.0625306558473649,-0.043144196635614605,Pnoc
ENSMUSG00000038248,-0.0528437064889073,1.4883902864377886e-26,3.073281615605593e-26,-0.06253195573101264,-0.04314549919277001,Sobp
ENSMUSG00000031709,-0.052848137760137755,1.4741136592759468e-26,3.044431349186177e-26,-0.06253638203495956,-0.043149934600916505,Tbc1d9
ENSMUSG00000037124,-0.05285546587200662,1.4508013275986377e-26,2.9969042090449033e-26,-0.0625437019314624,-0.043157269554953026,Trim58
ENSMUSG00000021700,-0.05286083319051816,1.4339589499562135e-26,2.962725103215317e-26,-0.06254906323214388,-0.04316264188552696,Rab3c
ENSMUSG00000039396,-0.05287475420750164,1.3911734814495886e-26,2.874919366500493e-26,-0.06256296863829663,-0.043176575904726504,Neil3
ENSMUSG00000052727,-0.052882041708888605,1.3692829426782188e-26,2.8302665206246773e-26,-0.06257024796608315,-0.04318387021413708,Map1b
ENSMUSG00000027737,-0.05289036924735682,1.34468611079432e-26,2.780000229055861e-26,-0.06257856616319214,-0.04319220553350303,Slc7a11
ENSMUSG00000048915,-0.05290076773571942,1.3145865460189242e-26,2.7183344624047235e-26,-0.06258895298523198,-0.04320261373966639,Efna5
ENSMUSG00000044201,-0.052906139641622774,1.2992996281900834e-26,2.687279479193554e-26,-0.06259431886343833,-0.04320799066665404,Cdc25c
ENSMUSG00000052396,-0.05292373150953508,1.2504612241824967e-26,2.5868043528806303e-26,-0.06261189098798371,-0.043225598981499386,Mogat2
ENSMUSG00000041773,-0.052930684375228666,1.2316644959599834e-26,2.5484471259258915e-26,-0.06261883604881464,-0.04323255834920523,Enc1
ENSMUSG00000054951,-0.052944428347520736,1.1953286372415383e-26,2.47377615323166e-26,-0.06263256459020179,-0.04324631517702092,9130008F23Rik
ENSMUSG00000073805,-0.05295842191061183,1.1594248824412673e-26,2.3999687071854012e-26,-0.06264654243839567,-0.04326032183287059,Fam196a
ENSMUSG00000037916,-0.05296767484903169,1.1362736560712722e-26,2.3525334494229238e-26,-0.06265578498359507,-0.043269583430685404,Ndufv1
ENSMUSG00000029810,-0.052990509476572786,1.0810831575863063e-26,2.2387309123758673e-26,-0.06267859395538215,-0.04329243943522549,Tmem176b
ENSMUSG00000028782,-0.05300007972272809,1.0587503463309502e-26,2.1929377513068562e-26,-0.06268815344591629,-0.043302018643737505,Adgrb2
ENSMUSG00000029468,-0.05301609863101494,1.0223881887197511e-26,2.118061298362857e-26,-0.06270415434720768,-0.04331805255742294,P2rx7
ENSMUSG00000020490,-0.053027916941695806,9.96357488980126e-27,2.0645617260259555e-26,-0.06271595936962907,-0.043329881941877396,Btnl10
ENSMUSG00000098340,-0.053042565477978004,9.650033406978239e-27,2.00000692372606e-26,-0.06273059143164338,-0.0433445442076326,Gm27253
ENSMUSG00000052934,-0.053051547428887506,9.462639992875729e-27,1.961575454576229e-26,-0.06273956327906985,-0.04335353457902288,Fbxo31
ENSMUSG00000027792,-0.05306197592315976,9.24958917417446e-27,1.9178082467705702e-26,-0.06274998004072854,-0.043363972851864975,Bche
ENSMUSG00000042500,-0.053068657218259804,9.115599124566915e-27,1.890418731764188e-26,-0.06275665381790504,-0.04337066041298136,Ago4
ENSMUSG00000030474,-0.05307323474950146,9.02491169963716e-27,1.871999937696984e-26,-0.06276122619791916,-0.043375242237737546,Siglece
ENSMUSG00000003452,-0.053076816551469036,8.954575388378855e-27,1.857795723730053e-26,-0.06276480396889834,-0.04337882739955572,Bicd1
ENSMUSG00000042246,-0.053084323416368435,8.808920458930932e-27,1.8279561027040738e-26,-0.06277230238470456,-0.043386341306956934,Tmc7
ENSMUSG00000030507,-0.053084977204992306,8.796346823437496e-27,1.8257257831958273e-26,-0.06277295543742739,-0.04338699570897901,Dbx1
ENSMUSG00000027188,-0.05309536896876884,8.59886548451717e-27,1.78510805159169e-26,-0.06278333550317533,-0.043397397223643726,Pamr1
