,n_obs,n_genes,time,divergence,divergence_ref
0,500k,10k_genes,"8.5, 12.0",3.046589e-07,1.1334094e-08
1,500k,10k_genes,"8.5, 12.0",0.0011423684,-4.2180795e-07
