,n_obs,n_genes,time,divergence,divergence_ref
0,500k,2k_genes,"8.5, 12.0",1.9709113e-07,-9.04693e-14
1,500k,2k_genes,"8.5, 12.0",0.0012472011,-6594183000000000.0
