,n_obs,n_genes,time,divergence,divergence_ref
0,10k,10k_genes,"8.5, 12.0",1.1544907e-06,-3.5527137e-15
1,10k,10k_genes,"8.5, 12.0",0.0012894832,2.977755e-08
