,n_obs,n_genes,time,divergence,divergence_ref
0,1M,2k_genes,"8.5, 12.0",4.1315798e-07,-3.4142614e-10
1,1M,2k_genes,"8.5, 12.0",0.0010879263,-1.9595053e-10
